date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2015-01-30,588.1,194.5,256.7713305856571,,0.0,0.0,-0.0,-0.0,0.0,-53622.90030812046,-185052.78444953362
2015-02-02,617.29,195.9,283.5764455615949,,0.0,0.0,-0.0,0.0,0.0,-53622.90030812046,-185052.78444953362
2015-02-03,586.6,198.07,249.1898737742987,,0.0,0.0,-0.0,-0.0,0.0,-53622.90030812046,-185052.78444953362
2015-02-04,558.6,190.0,234.93703244871386,,0.0,0.0,-0.0,0.0,0.0,-53622.90030812046,-185052.78444953362
2015-02-05,565.9,184.57,251.486979363469,,0.0,0.0,-0.0,0.0,0.0,-53622.90030812046,-185052.78444953362
2015-02-06,563.15,176.09,263.18256865207377,,0.0,0.0,-0.0,0.0,0.0,-53622.90030812046,-185052.78444953362
2015-02-09,553.6,172.37,259.9695488588674,,0.0,0.0,-0.0,0.0,0.0,-53622.90030812046,-185052.78444953362
2015-02-10,554.1,174.33,257.1307098251804,,0.0,0.0,-0.0,0.0,0.0,-53622.90030812046,-185052.78444953362
2015-02-11,569.25,170.3,279.1457717158735,,0.0,0.0,-0.0,0.0,0.0,-53622.90030812046,-185052.78444953362
2015-02-12,578.75,178.47,274.7282641111682,,0.0,0.0,-0.0,0.0,0.0,-53622.90030812046,-185052.78444953362
2015-02-13,581.1,172.9,286.5666995283296,1.761754095962713,-1.0,-637.0,3644.0,-1000.0,-1000.0,-53622.90030812046,-185052.78444953362
2015-02-16,570.29,173.03,275.53524591895234,1.2583808886435066,-1.0,-649.0,3642.0,7359.6900000000205,6359.6900000000205,-53622.90030812046,-185052.78444953362
2015-02-18,569.5,173.47,273.9957106256757,1.126284098892314,-1.0,-650.0,3632.0,2115.189999999968,8474.879999999988,-53622.90030812046,-185052.78444953362
2015-02-19,565.25,174.53,267.94001196460016,0.8508005522337978,-1.0,-654.0,3610.0,6612.420000000009,15087.299999999997,-53622.90030812046,-185052.78444953362
2015-02-20,561.5,183.5,248.90971291757364,0.1417045908895646,0.0,0.0,-0.0,33834.2,48921.49999999999,-53622.90030812046,-185052.78444953362
2015-02-23,549.04,181.7,239.5159936627963,-0.23055629938889582,0.0,0.0,-0.0,0.0,48921.49999999999,-53622.90030812046,-185052.78444953362
2015-02-24,551.79,185.17,236.35488578172811,-0.38826801766679325,0.0,0.0,-0.0,0.0,48921.49999999999,-53622.90030812046,-185052.78444953362
2015-02-25,553.0,182.8,241.60215542960464,-0.24439405462095265,0.0,0.0,-0.0,0.0,48921.49999999999,-53622.90030812046,-185052.78444953362
2015-02-26,552.29,176.3,251.9648358984644,0.10906425113761464,0.0,0.0,-0.0,0.0,48921.49999999999,-53622.90030812046,-185052.78444953362
2015-02-27,567.15,180.59,259.516866789017,0.36672564628615323,0.0,0.0,-0.0,0.0,48921.49999999999,-53622.90030812046,-185052.78444953362
2015-02-28,567.15,180.59,259.516866789017,0.3080253300143378,0.0,0.0,-0.0,0.0,48921.49999999999,-53622.90030812046,-185052.78444953362
2015-03-02,647.54,182.5,336.6532022204751,3.9944680074083845,-1.0,-571.0,3453.0,-1000.0,47921.49999999999,-53622.90030812046,-185052.78444953362
2015-03-03,631.4,183.17,319.3718643875311,2.5845867764065122,-1.0,-586.0,3440.0,11529.449999999948,59450.94999999994,-53622.90030812046,-185052.78444953362
2015-03-04,612.75,180.59,305.116866789017,1.772953913627666,-1.0,-604.0,3489.0,2053.7000000000426,61504.64999999998,-53622.90030812046,-185052.78444953362
2015-03-05,616.79,180.23,309.77012293806155,1.826647165603279,-1.0,-600.0,3496.0,-3696.2000000000257,57808.44999999995,-53622.90030812046,-185052.78444953362
2015-03-09,591.6,172.4,297.91844417978035,1.2207151740894309,-1.0,-625.0,3655.0,-12259.679999999977,45548.769999999975,-53622.90030812046,-185052.78444953362
2015-03-10,585.45,172.73,291.2062927098229,0.8708462320074566,-1.0,-632.0,3648.0,5049.899999999928,50598.669999999904,-53622.90030812046,-185052.78444953362
2015-03-11,583.85,171.93,290.96908415214403,0.8047434931777692,-1.0,-634.0,3665.0,-1907.1999999999234,48691.46999999998,-53622.90030812046,-185052.78444953362
2015-03-12,584.1,176.03,284.2347780102479,0.5026466958201264,-1.0,-633.0,3580.0,14867.99999999998,63559.46999999996,-53622.90030812046,-185052.78444953362
2015-03-13,570.0,169.83,280.6964116882372,0.3459319720492274,-1.0,-649.0,3710.0,-13270.699999999946,50288.77000000001,-53622.90030812046,-185052.78444953362
2015-03-16,568.6,172.73,274.35629270982287,0.08343754701650487,0.0,0.0,-0.0,10667.5999999999,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-03-17,580.1,176.53,279.38303335879715,0.2610109389173893,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-03-18,581.25,171.8,288.5905377615212,0.6348933962881493,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-03-19,563.54,170.4,273.2654227855833,-0.02998786366086534,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-03-20,556.25,163.83,277.1673475056462,0.07945520183844237,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-03-23,555.2,157.87,286.27014375093927,0.43574987890644235,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-03-24,558.04,160.0,285.48171153575896,0.3696973757268396,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-03-25,562.2,157.77,293.4404926812294,0.6815218936581638,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-03-26,544.29,157.23,276.45037690479614,-0.11045971000932198,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-03-27,546.4,155.2,282.01846018968627,0.13727617635327558,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-03-30,563.54,159.17,292.39560765716726,0.581142617166319,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-03-31,560.2,156.9,292.9225283747537,0.593367969968603,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-04-01,569.65,153.8,307.6533452137483,1.2043550610173999,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-04-06,569.04,156.73,302.0521215562469,0.8926118681681354,0.0,0.0,-0.0,-0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-04-07,557.85,155.67,292.66782021732257,0.44285788897116785,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-04-08,555.9,157.27,287.9922373326801,0.19064173089341066,0.0,0.0,-0.0,-0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-04-09,572.15,155.1,307.9388091199764,1.0615538084271825,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-04-10,568.04,156.4,301.6142730262044,0.7114054993078519,0.0,0.0,-0.0,-0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-04-13,566.0,161.77,290.42653546962333,0.045336488019702435,0.0,0.0,-0.0,-0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-04-15,550.2,154.93,286.27840230146967,-0.2834802873246911,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-04-16,550.79,154.67,287.31130952022403,-0.29432741430600445,0.0,0.0,-0.0,0.0,60956.36999999991,-53622.90030812046,-185052.78444953362
2015-04-17,533.7,156.57,266.98467984471125,-1.8390208702530213,1.0,693.0,-4024.0,-1000.0,59956.36999999991,-53622.90030812046,-185052.78444953362
2015-04-20,518.25,153.27,257.15619454428617,-2.746002331439595,1.0,714.0,-4111.0,2572.3499999998985,62528.719999999805,-53622.90030812046,-185052.78444953362
2015-04-21,523.2,151.33,265.4109637919151,-1.863101048148525,1.0,707.0,-4164.0,11509.640000000023,74038.35999999983,-53622.90030812046,-185052.78444953362
2015-04-22,540.1,153.87,277.98410096254526,-0.7177349352481679,1.0,685.0,-4095.0,1371.740000000018,75410.09999999985,-53622.90030812046,-185052.78444953362
2015-04-23,538.2,155.53,273.2563087197288,-1.066051145719077,1.0,687.0,-4051.0,-8099.19999999997,67310.89999999988,-53622.90030812046,-185052.78444953362
2015-04-24,527.25,156.0,261.50566874736506,-1.9851765168393112,1.0,702.0,-4039.0,-9426.620000000026,57884.27999999985,-53622.90030812046,-185052.78444953362
2015-04-27,524.2,150.87,267.1945688712498,-1.3454357015669542,1.0,706.0,-4176.0,18578.970000000012,76463.24999999987,-53622.90030812046,-185052.78444953362
