date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2015-01-30,169.9,717.13,16.318500518337004,,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-02,172.95,723.76,17.948611040050736,,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-03,170.1,729.79,13.807218347129748,,0.0,0.0,-0.0,-0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-04,173.35,713.06,20.64013704573142,,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-05,169.4,716.94,15.859191167035988,,0.0,0.0,-0.0,-0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-06,163.44,715.09,10.2953895885789,,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-09,157.1,705.11,6.092719451821267,,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-10,157.55,690.63,9.6437752053032,,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-11,158.4,710.44,6.2512396751597805,,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-12,158.75,727.33,2.984055167127366,,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-13,155.19,721.64,0.6426330150080446,-0.24093188837579535,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-16,155.5,724.89,0.25660876094613627,-0.29041268612946425,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-18,149.94,723.06,-4.91147604368976,-0.8441362071237692,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-19,150.25,707.54,-1.2776925289080623,-0.4407183529586013,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
2015-02-20,151.35,702.55,0.8909724027131176,-0.2147097559160447,0.0,0.0,-0.0,0.0,0.0,-77874.81804949055,-97889.43019240256
