date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2015-01-30,327.91,228.5,123.23790586009369,,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-02,319.86,227.5,116.08362618455718,,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-03,315.09,233.9,105.58101610799082,,0.0,0.0,-0.0,-0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-04,313.32,239.95,98.39190814498676,,0.0,0.0,-0.0,-0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-05,305.09,232.0,97.28288472447144,,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-06,299.41,228.25,94.96183594120956,,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-09,290.95,231.8,83.32202878936414,,0.0,0.0,-0.0,-0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-10,300.95,230.7,94.307321146274,,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-11,304.27,224.2,103.44950325528666,,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-12,308.32,225.2,106.60378293082317,,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-13,312.59,220.6,114.99409642335519,-0.11157867760003808,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-16,307.32,221.2,109.1866642286771,-0.4797149717776527,0.0,0.0,-0.0,-0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-18,311.27,216.0,117.7944099158872,0.11885375298927017,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-19,307.77,216.55,113.80176373743228,-0.1289579590328264,0.0,0.0,-0.0,-0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-20,300.86,214.7,108.54884633768978,-0.4573977456752445,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-23,299.09,210.8,110.27215560309733,-0.3380620437251248,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-24,296.41,204.3,113.41433771211001,-0.11631196406139911,0.0,0.0,-0.0,0.0,0.0,-129078.58993973833,-152504.47227191413
2015-02-25,293.18,205.7,108.93032925786113,-0.42916851821236307,0.0,0.0,-0.0,-0.0,0.0,-129078.58993973833,-152504.47227191413
