date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2015-01-30,3647.35,179.95,5031.713888210634,,0.0,0.0,0.0,0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-02,3669.45,176.2,5024.964960281821,,0.0,0.0,0.0,0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-03,3607.85,188.7,5059.528053377864,,0.0,0.0,0.0,0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-04,3557.55,194.6,5054.617033319197,,0.0,0.0,0.0,0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-05,3522.7,185.8,4952.068215779582,,0.0,0.0,0.0,-0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-06,3502.6,188.6,4953.508748633096,,0.0,0.0,0.0,0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-09,3411.3,178.8,4786.816883645798,,0.0,0.0,0.0,-0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-10,3393.85,184.35,4812.063296980441,,0.0,0.0,0.0,0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-11,3454.75,186.25,4887.580087131039,,0.0,0.0,0.0,0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-12,3551.9,190.65,5018.579495900847,,0.0,0.0,0.0,0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-13,3616.95,190.2,5080.167624549389,1.4558415349165723,0.0,0.0,0.0,0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-16,3572.1,189.55,5030.317143708395,0.8078072724688689,0.0,0.0,0.0,-0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-18,3564.95,183.2,4974.316292415605,0.14765831235210702,0.0,0.0,0.0,-0.0,0.0,191753.34879892235,-326615.96958174906
2015-02-19,3595.15,197.05,5111.064999566021,1.635309332162809,-1.0,-32.0,-4491.0,-1000.0,-1000.0,191753.34879892235,-326615.96958174906
2015-02-20,3547.35,195.3,5049.802166532575,0.8606376008484428,-1.0,-32.0,-4531.0,9388.850000000006,8388.850000000006,191753.34879892235,-326615.96958174906
2015-02-23,3545.9,197.55,5065.661523289862,0.9763456629079688,-1.0,-32.0,-4480.0,-10148.350000000006,-1759.5,191753.34879892235,-326615.96958174906
2015-02-24,3588.3,189.35,5044.978534218859,0.6936462992543936,-1.0,-32.0,-4674.0,35379.20000000007,33619.70000000007,191753.34879892235,-326615.96958174906
