date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2016-01-01,138.85,227.8,-43.87257958466833,,0.0,0.0,-0.0,0.0,0.0,224882.9672308247,49165.93503072866
2016-01-04,138.1,220.7,-38.92753869331122,,0.0,0.0,-0.0,0.0,0.0,224882.9672308247,49165.93503072866
2016-01-05,139.95,217.75,-34.71128930887414,,0.0,0.0,-0.0,0.0,0.0,224882.9672308247,49165.93503072866
2016-01-06,141.55,216.85,-32.389382717011955,,0.0,0.0,-0.0,0.0,0.0,224882.9672308247,49165.93503072866
2016-01-07,136.9,209.55,-31.1839181385744,,0.0,0.0,-0.0,0.0,0.0,224882.9672308247,49165.93503072866
2016-01-08,140.1,208.95,-27.502647077332938,,0.0,0.0,-0.0,0.0,0.0,224882.9672308247,49165.93503072866
2016-01-11,137.5,204.3,-26.37279635271176,,0.0,0.0,-0.0,0.0,0.0,224882.9672308247,49165.93503072866
2016-01-12,137.85,199.4,-22.092416019239977,,0.0,0.0,-0.0,0.0,0.0,224882.9672308247,49165.93503072866
2016-01-13,138.8,200.9,-22.34559367234357,,0.0,0.0,-0.0,0.0,0.0,224882.9672308247,49165.93503072866
2016-01-14,141.1,196.05,-16.155319260641903,,0.0,0.0,-0.0,0.0,0.0,224882.9672308247,49165.93503072866
2016-01-15,144.9,184.3,-2.9304276446636095,3.993115615351352,-1.0,-3830.0,2415.0,-1000.0,-1000.0,224882.9672308247,49165.93503072866
2016-01-18,138.9,181.0,-6.28343680783567,2.849893673054147,-1.0,-3995.0,2459.0,15010.499999999975,14010.499999999975,224882.9672308247,49165.93503072866
2016-01-19,138.8,182.95,-7.947567756870342,2.3366506994884797,-1.0,-3998.0,2433.0,5194.549999999949,19205.049999999923,224882.9672308247,49165.93503072866
2016-01-20,137.1,173.65,-2.187866307627985,2.5212067503166673,-1.0,-4047.0,2563.0,-15830.29999999989,3374.7500000000327,224882.9672308247,49165.93503072866
2016-01-21,135.4,175.6,-5.451997256662651,1.9913976363936898,-1.0,-4098.0,2535.0,11877.749999999924,15252.499999999956,224882.9672308247,49165.93503072866
2016-01-22,136.7,184.6,-11.371063175284348,1.4204024035800662,-1.0,-4059.0,2411.0,17487.60000000007,32740.100000000028,224882.9672308247,49165.93503072866
2016-01-25,135.8,182.95,-10.947567756870342,1.3478305641272774,-1.0,-4086.0,2433.0,-325.0500000001057,32415.049999999923,224882.9672308247,49165.93503072866
2016-01-27,134.6,184.4,-13.310639488203861,1.1008370930959603,-1.0,-4123.0,2414.0,8431.050000000112,40846.100000000035,224882.9672308247,49165.93503072866
2016-01-28,134.3,185.25,-14.292440158295875,0.9659434762592273,-1.0,-4132.0,2403.0,3288.799999999916,44134.89999999995,224882.9672308247,49165.93503072866
2016-01-29,138.35,179.9,-5.951106528893035,1.4432601074791995,-1.0,-4011.0,2474.0,-29590.649999999914,14544.250000000036,224882.9672308247,49165.93503072866
