date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2016-01-01,84.9,227.8,-143.39334334756998,,0.0,0.0,-0.0,0.0,0.0,413133.09776207304,49165.93503072866
2016-01-04,80.75,220.7,-140.42796697457723,,0.0,0.0,-0.0,0.0,0.0,413133.09776207304,49165.93503072866
2016-01-05,82.6,217.75,-135.6215781998831,,0.0,0.0,-0.0,0.0,0.0,413133.09776207304,49165.93503072866
2016-01-06,80.55,216.85,-136.7696290821798,,0.0,0.0,-0.0,0.0,0.0,413133.09776207304,49165.93503072866
2016-01-07,76.65,209.55,-133.35381957191964,,0.0,0.0,-0.0,0.0,0.0,413133.09776207304,49165.93503072866
2016-01-08,76.9,208.95,-132.5025201601174,,0.0,0.0,-0.0,0.0,0.0,413133.09776207304,49165.93503072866
2016-01-11,77.9,204.3,-126.84244971865036,,0.0,0.0,-0.0,0.0,0.0,413133.09776207304,49165.93503072866
2016-01-12,75.6,199.4,-124.23183785559903,,0.0,0.0,-0.0,0.0,0.0,413133.09776207304,49165.93503072866
2016-01-13,76.7,200.9,-124.63508638510451,,0.0,0.0,-0.0,0.0,0.0,413133.09776207304,49165.93503072866
2016-01-14,74.7,196.05,-121.77458280637005,,0.0,0.0,-0.0,0.0,0.0,413133.09776207304,49165.93503072866
2016-01-15,71.8,184.3,-112.89913599191023,2.748597500195676,-1.0,-6956.0,2716.0,-1000.0,-1000.0,413133.09776207304,49165.93503072866
2016-01-18,71.2,181.0,-110.1919892269981,2.642190124799983,-1.0,-7015.0,2765.0,-4789.20000000007,-5789.20000000007,413133.09776207304,49165.93503072866
2016-01-19,71.85,182.95,-111.49621231535525,2.250983212020589,-1.0,-6951.0,2736.0,832.0000000000291,-4957.200000000041,413133.09776207304,49165.93503072866
2016-01-20,67.6,173.65,-106.42607143242111,2.4088629096518055,-1.0,-7388.0,2882.0,4096.950000000048,-860.2499999999927,413133.09776207304,49165.93503072866
2016-01-21,68.3,175.6,-107.68029452077828,2.0827185439216183,-1.0,-7313.0,2850.0,448.2999999999465,-411.9500000000462,413133.09776207304,49165.93503072866
2016-01-22,72.35,184.6,-112.64978569781132,1.5811074035386539,-1.0,-6903.0,2711.0,-3967.649999999976,-4379.600000000022,413133.09776207304,49165.93503072866
2016-01-25,72.0,182.95,-111.34621231535525,1.5644496618708952,-1.0,-6937.0,2736.0,-2057.1000000000545,-6436.700000000077,413133.09776207304,49165.93503072866
2016-01-27,71.05,184.4,-113.74935256054393,1.2919732039119831,-1.0,-7030.0,2714.0,10557.350000000066,4120.649999999989,413133.09776207304,49165.93503072866
2016-01-28,69.7,185.25,-115.95119339393038,1.0595261138706615,-1.0,-7166.0,2702.0,11797.399999999947,15918.049999999936,413133.09776207304,49165.93503072866
2016-01-29,70.5,179.9,-109.7896069720274,1.3995133546786527,-1.0,-7085.0,2782.0,-20188.499999999964,-4270.450000000028,413133.09776207304,49165.93503072866
2016-02-01,71.1,172.75,-102.0241223147178,1.818666937971163,-1.0,-7025.0,2897.0,-24142.299999999977,-28412.750000000007,413133.09776207304,49165.93503072866
2016-02-02,68.55,169.4,-101.21686726548883,1.7323286500554715,-1.0,-7286.0,2955.0,8208.799999999997,-20203.95000000001,413133.09776207304,49165.93503072866
