date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2016-02-01,63.5,144.3,121.94256270535519,,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-02,62.85,138.6,118.98402072738898,,0.0,0.0,0.0,-0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-03,62.5,136.3,117.70250378891137,,0.0,0.0,0.0,-0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-04,60.4,140.9,117.46553766586656,,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-05,61.25,140.9,118.31553766586657,,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-08,61.65,136.95,117.11575857587243,,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-09,61.75,139.7,118.32952882839999,,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-10,60.45,136.6,115.77400599827803,,0.0,0.0,0.0,-0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-11,61.1,129.7,113.62945518284523,,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-12,66.25,123.1,116.1064065767791,,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-15,65.95,127.8,117.70994119018982,-0.8719955779746654,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-16,63.5,127.55,115.15868934905096,-1.1118659575001688,0.0,0.0,0.0,-0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-17,65.25,127.8,117.00994119018983,-0.8552763202227319,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-18,65.05,133.65,119.17923427283937,-0.5531502544330531,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-19,65.45,135.0,120.12599421498926,-0.376861872316466,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-22,66.15,137.2,121.7170104170113,-0.07515076440483008,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-23,64.5,137.3,120.10751115346686,-0.2661597657684616,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-24,63.25,133.85,117.46023574575045,-0.7496437094669621,0.0,0.0,0.0,-0.0,0.0,-241040.46242774566,95253.36754329695
2016-02-25,64.15,138.4,120.20301925447788,-0.07020148854738573,0.0,0.0,0.0,0.0,0.0,-241040.46242774566,95253.36754329695
