date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2016-01-01,218.33,859.47,78.21270754479673,,0.0,0.0,-0.0,-0.0,0.0,53405.39550222139,23229.43209187054
2016-01-04,216.73,837.3,80.22702843293925,,0.0,0.0,-0.0,0.0,0.0,53405.39550222139,23229.43209187054
2016-01-05,216.57,837.93,79.96432107346564,,0.0,0.0,-0.0,-0.0,0.0,53405.39550222139,23229.43209187054
2016-01-06,210.07,824.57,75.6423692045249,,0.0,0.0,-0.0,0.0,0.0,53405.39550222139,23229.43209187054
2016-01-07,206.4,804.27,75.28182856534104,,0.0,0.0,-0.0,0.0,0.0,53405.39550222139,23229.43209187054
2016-01-08,209.1,786.07,80.94893006124511,,0.0,0.0,-0.0,0.0,0.0,53405.39550222139,23229.43209187054
2016-01-11,210.7,782.23,83.17495587136993,,0.0,0.0,-0.0,0.0,0.0,53405.39550222139,23229.43209187054
2016-01-12,210.1,786.1,81.94403923460351,,0.0,0.0,-0.0,-0.0,0.0,53405.39550222139,23229.43209187054
2016-01-13,210.5,771.17,84.77804062657322,,0.0,0.0,-0.0,0.0,0.0,53405.39550222139,23229.43209187054
2016-01-14,211.5,756.43,88.18106678314611,,0.0,0.0,-0.0,0.0,0.0,53405.39550222139,23229.43209187054
2016-01-15,209.27,738.6,88.8578480838038,2.354435778451341,-1.0,-4109.0,190.0,-1000.0,-1000.0,53405.39550222139,23229.43209187054
2016-01-18,210.27,722.37,92.5037852969095,2.8109551323553204,-1.0,-4089.0,194.0,-7192.700000000003,-8192.700000000003,53405.39550222139,23229.43209187054
2016-01-19,209.37,748.63,87.32268170996215,1.6052411744624548,-1.0,-4107.0,187.0,8774.54000000002,581.8400000000183,53405.39550222139,23229.43209187054
2016-01-20,205.97,744.07,84.66608735948536,1.11157370875439,-1.0,-4175.0,188.0,13111.080000000033,13692.920000000051,53405.39550222139,23229.43209187054
2016-01-21,204.27,735.13,84.42355369868223,1.0224543544589144,-1.0,-4209.0,191.0,5416.779999999943,19109.699999999993,53405.39550222139,23229.43209187054
2016-01-22,205.83,761.47,81.68940790735728,0.4682052761425513,-1.0,-4177.0,184.0,-1535.100000000005,17574.599999999988,53405.39550222139,23229.43209187054
2016-01-25,206.27,742.77,85.1780231806214,1.069153164233025,-1.0,-4168.0,189.0,-5278.6799999999985,12295.91999999999,53405.39550222139,23229.43209187054
2016-01-27,208.63,738.53,88.2292600126342,1.5667256811137062,-1.0,-4121.0,190.0,-10637.83999999994,1658.080000000049,53405.39550222139,23229.43209187054
2016-01-28,212.37,716.33,95.58847172741832,2.783465324751525,-1.0,-4049.0,196.0,-19630.540000000023,-17972.459999999974,53405.39550222139,23229.43209187054
2016-01-29,213.47,734.43,93.73767298698623,2.0991451345937966,-1.0,-4028.0,191.0,-906.2999999999943,-18878.75999999997,53405.39550222139,23229.43209187054
2016-02-01,216.5,748.03,94.55049824279415,2.0322366916143446,-1.0,-3971.0,187.0,-9607.240000000002,-28485.99999999997,53405.39550222139,23229.43209187054
2016-02-02,216.17,747.93,94.23680099826615,1.8124745959568662,-1.0,-3978.0,187.0,1291.7300000000455,-27194.269999999924,53405.39550222139,23229.43209187054
2016-02-03,214.63,739.2,94.12003155097179,1.6740224927732463,-1.0,-4006.0,190.0,4493.609999999986,-22700.659999999938,53405.39550222139,23229.43209187054
2016-02-04,214.53,757.13,91.0969474948421,1.0979028247714662,-1.0,-4008.0,185.0,3807.2999999999674,-18893.35999999997,53405.39550222139,23229.43209187054
2016-02-05,215.97,759.93,92.08047034162608,1.1772796127409528,-1.0,-3981.0,184.0,-5253.5199999999995,-24146.879999999972,53405.39550222139,23229.43209187054
2016-02-08,210.17,753.53,87.3238466918341,0.3880353447075484,-1.0,-4091.0,186.0,21912.200000000048,-2234.679999999924,53405.39550222139,23229.43209187054
2016-02-09,208.27,742.8,87.1731323539798,0.3150812034920296,-1.0,-4128.0,189.0,5777.119999999904,3542.4399999999805,53405.39550222139,23229.43209187054
2016-02-10,206.0,747.07,84.20700469532534,-0.21378288914947524,0.0,0.0,-0.0,9177.590000000062,12720.030000000042,53405.39550222139,23229.43209187054
2016-02-11,199.03,728.27,80.30192272406147,-0.9267298519945883,0.0,0.0,-0.0,0.0,12720.030000000042,53405.39550222139,23229.43209187054
2016-02-12,200.07,702.43,85.55455473802641,-0.05094674933317775,0.0,0.0,-0.0,0.0,12720.030000000042,53405.39550222139,23229.43209187054
2016-02-15,202.47,766.27,77.54687564470125,-1.483825784079716,0.0,0.0,-0.0,0.0,12720.030000000042,53405.39550222139,23229.43209187054
2016-02-16,197.0,736.0,77.01171972607581,-1.5645360680834912,1.0,4365.0,-190.0,-1000.0,11720.030000000042,53405.39550222139,23229.43209187054
2016-02-17,199.9,748.3,77.90648080301976,-1.3575157720237025,1.0,4301.0,-187.0,10321.500000000033,22041.530000000075,53405.39550222139,23229.43209187054
2016-02-18,203.63,766.43,78.68079123594605,-1.1977061114176188,1.0,4222.0,-183.0,12652.419999999956,34693.95000000003,53405.39550222139,23229.43209187054
2016-02-19,203.03,767.0,77.98786552975564,-1.36594946863904,1.0,4235.0,-183.0,-2637.509999999985,32056.44000000005,53405.39550222139,23229.43209187054
2016-02-22,199.9,766.5,74.93937930711564,-1.9558588902627494,1.0,4301.0,-183.0,-13164.049999999981,18892.39000000007,53405.39550222139,23229.43209187054
2016-02-23,195.87,753.43,73.04014944730613,-2.1475733576895584,1.0,4390.0,-186.0,-14941.219999999998,3951.170000000071,53405.39550222139,23229.43209187054
2016-02-24,191.73,741.93,70.77496632658618,-2.3054921617538544,1.0,4485.0,-189.0,-16035.600000000064,-12084.429999999993,53405.39550222139,23229.43209187054
2016-02-25,190.8,724.3,72.7191421162999,-1.796703837209799,1.0,4506.0,-194.0,-838.9799999999036,-12923.409999999896,53405.39550222139,23229.43209187054
2016-02-26,193.97,740.43,73.2595076586662,-1.5774179273450821,1.0,4433.0,-189.0,11154.799999999945,-1768.6099999999515,53405.39550222139,23229.43209187054
2016-02-29,197.1,717.33,80.15544417269831,-0.5404787851414888,1.0,4362.0,-195.0,18241.189999999962,16472.58000000001,53405.39550222139,23229.43209187054
2016-03-01,216.9,749.3,94.74345324829976,1.4394171502313973,0.0,0.0,-0.0,79133.45000000007,95606.03000000009,53405.39550222139,23229.43209187054
2016-03-02,213.03,758.6,89.35729698940368,0.7030382852968298,0.0,0.0,-0.0,-0.0,95606.03000000009,53405.39550222139,23229.43209187054
2016-03-03,212.1,804.73,80.90683589016982,-0.41437795833740454,0.0,0.0,-0.0,-0.0,95606.03000000009,53405.39550222139,23229.43209187054
2016-03-04,210.13,795.47,80.44647104687706,-0.4569465085248467,0.0,0.0,-0.0,0.0,95606.03000000009,53405.39550222139,23229.43209187054
