Date,Price_A,Price_B,Spread,ZScore,Position,Quantity_A,Quantity_B,Daily_PnL,Cumulative_PnL
2017-01-02,447.75,76.5,329.9406098922219,-1.8263482194340508,0.0,0.0,-0.0,0.0,0.0
2017-01-03,455.25,77.7,335.59261945915875,-1.4994728406536413,0.0,0.0,-0.0,0.0,0.0
2017-01-04,453.1,77.45,333.82761746604695,-1.6015490470389881,1.0,2207.0,-19884.0,-1000.0,-1000.0
2017-01-05,458.05,77.8,338.2386202564035,-1.3464454080901476,1.0,2183.0,-19794.0,3965.250000000089,2965.250000000089
2017-01-06,455.2,77.9,335.2346210536482,-1.5201771340590515,1.0,2197.0,-19769.0,-8200.950000000219,-5235.70000000013
2017-01-09,452.75,76.6,334.78661068946667,-1.5460871322207765,1.0,2209.0,-20104.0,20317.05000000025,15081.35000000012
2017-01-10,447.35,77.55,327.9236182632917,-1.9429978632280536,1.0,2235.0,-19858.0,-31027.40000000001,-15946.049999999888
2017-01-11,453.6,78.3,333.0186242426272,-1.6483359399492616,1.0,2205.0,-19668.0,-924.7500000000018,-16870.79999999989
2017-01-12,455.2,77.8,335.3886202564035,-1.5112708243410016,1.0,2197.0,-19794.0,13361.999999999925,-3508.7999999999647
2017-01-13,472.8,79.75,349.9856358026758,-0.667074626644685,1.0,2115.0,-19310.0,68.90000000000146,-3439.8999999999633
2017-01-16,477.25,78.85,355.8216286274732,-0.3295588559133782,0.0,0.0,-0.0,25790.750000000087,22350.850000000122
2017-01-17,487.2,78.45,366.38762543849424,0.2815095028521389,0.0,0.0,-0.0,0.0,22350.850000000122
2017-01-18,488.5,77.35,369.38161666880217,0.45466243295280806,0.0,0.0,-0.0,0.0,22350.850000000122
2017-01-19,483.8,81.5,358.2906497544587,-0.1867667734616135,0.0,0.0,-0.0,-0.0,22350.850000000122
2017-01-20,450.75,81.2,325.70264736272446,-2.0714443380235017,1.0,2219.0,-18965.0,-1000.0,21350.850000000122
2017-01-23,445.0,83.25,316.7956637062415,-2.586566193714501,1.0,2247.0,-18498.0,-51637.49999999995,-30286.649999999827
2017-01-24,451.25,83.95,321.9676692869547,-2.287451115576682,1.0,2216.0,-18344.0,1095.1499999999469,-29191.49999999988
2017-01-25,463.55,84.15,333.95967088144414,-1.5939119385617286,1.0,2157.0,-18301.0,23587.99999999997,-5603.499999999909
2017-01-27,472.85,85.35,341.411680448381,-1.162936296886043,1.0,2115.0,-18043.0,-1901.0999999997694,-7504.599999999678
2017-01-30,471.9,85.65,339.99968284011516,-1.2445970314571395,1.0,2119.0,-17980.0,-7422.1500000003,-14926.749999999978
2017-01-31,466.0,82.7,338.64265932139546,-1.323078423153691,1.0,2146.0,-18621.0,40538.900000000096,25612.150000000118
2017-02-01,475.65,85.85,343.4416844346046,-1.0455341031947454,1.0,2102.0,-17938.0,-37947.24999999988,-12335.099999999766
2017-02-02,482.55,84.25,352.8056716786889,-0.5039821399407564,1.0,2072.0,-18279.0,43204.59999999997,30869.500000000204
2017-02-03,490.7,84.7,360.26267526629016,-0.07271767667392086,0.0,0.0,-0.0,7661.2499999999,38530.7500000001
2017-02-06,498.3,85.4,366.7846808470033,0.30447259863535237,0.0,0.0,-0.0,0.0,38530.7500000001
2017-02-07,493.4,84.25,363.6556716786888,0.1235111114002044,0.0,0.0,-0.0,0.0,38530.7500000001
2017-02-08,487.6,85.95,355.23768523184935,-0.36333033424693595,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-02-09,485.25,86.9,351.42469280567434,-0.58384895312611,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-02-10,488.9,85.55,357.1536820428704,-0.2525215721726024,0.0,0.0,-0.0,0.0,38530.7500000001
2017-02-13,490.3,85.25,359.0156796511362,-0.14483577187768773,0.0,0.0,-0.0,0.0,38530.7500000001
2017-02-14,486.9,87.85,351.6117003794993,-0.5730336544602275,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-02-15,488.2,87.55,353.3736979877651,-0.4711312021039405,0.0,0.0,-0.0,0.0,38530.7500000001
2017-02-16,493.15,89.25,355.70571154092556,-0.33626274434874776,0.0,0.0,-0.0,0.0,38530.7500000001
2017-02-17,489.1,90.65,349.4997227023519,-0.6951766719157829,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-02-20,481.05,93.25,337.44574343071497,-1.392300233644453,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-02-21,504.35,93.25,360.74574343071504,-0.04478016394449419,0.0,0.0,-0.0,0.0,38530.7500000001
2017-02-22,525.3,92.25,383.2357354582676,1.2558943263782112,0.0,0.0,-0.0,0.0,38530.7500000001
2017-02-23,528.15,92.05,386.39373386377815,1.4385323620651616,0.0,0.0,-0.0,0.0,38530.7500000001
2017-02-27,508.95,91.6,367.8867302761769,0.36820795158010655,0.0,0.0,-0.0,0.0,38530.7500000001
2017-02-28,506.65,91.9,365.124732667911,0.20847201983755215,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-03-01,513.4,89.9,374.9547167230163,0.776974200055789,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-02,506.3,89.05,369.16370994643614,0.4420601290167242,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-03,512.9,92.55,370.3737378500018,0.512040252834394,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-06,518.65,92.9,375.5847406403584,0.8134106752922468,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-07,511.8,93.4,367.96474462658205,0.3727197929060967,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-03-08,510.15,92.25,368.0857354582676,0.3797171136763105,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-09,516.4,89.55,378.4937139326598,0.9816467222277508,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-10,515.9,89.3,378.37871193954794,0.9749957568297385,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-14,510.9,88.7,374.3027071560795,0.7392662182067035,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-15,511.7,88.55,375.33370596021246,0.7988924662927885,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-16,513.65,89.45,375.8977131354151,0.8315109636335744,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-17,517.15,88.55,380.78370596021244,1.1140849289479275,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-20,502.85,88.35,366.79170436572304,0.3048787931604492,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-21,488.3,87.3,353.8586959946533,-0.4430820798701931,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-22,485.45,86.95,351.5476932042967,-0.576735412107881,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-23,488.25,88.95,351.2677091491914,-0.5929278641872979,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-24,489.35,90.05,350.67371791888354,-0.6272804437609277,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-27,487.15,88.65,350.62970675745714,-0.6298257623580469,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-28,502.8,88.45,366.5877051629677,0.29308080947308546,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-29,504.2,88.1,368.5267023726111,0.40521976462702014,0.0,0.0,-0.0,0.0,38530.7500000001
2017-03-30,499.25,89.5,361.4207135340374,-0.005744294387654734,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-03-31,490.8,88.95,353.8177091491914,-0.4454524917523236,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-03,500.6,90.95,360.5377250940861,-0.05681058812788806,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-05,508.3,90.35,369.1617203106177,0.4419450614546311,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-06,508.7,91.4,367.94472868168737,0.3715622011696336,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-07,504.2,91.4,363.44472868168737,0.1113115439314449,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-04-10,510.75,90.95,370.6877250940861,0.5301992276426918,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-11,515.05,90.95,374.98772509408604,0.778883189003625,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-12,506.0,89.3,368.47871193954796,0.40244431090572463,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-13,507.55,89.65,369.48971472990456,0.4609141199412686,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-17,502.35,93.35,358.59174422795974,-0.1693534324350723,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-04-18,499.65,93.35,355.8917442279597,-0.32550382677798817,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-04-19,499.5,93.2,355.9727430320926,-0.32081938410885663,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-20,488.0,95.2,341.3927589769873,-1.1640305914118483,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-04-21,486.25,94.65,340.48975459214125,-1.216254476888548,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-24,498.65,97.95,347.8077809012175,-0.793027553194449,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-25,516.4,97.65,366.0197785094833,0.2602356350658826,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-26,517.15,98.05,366.15378169846224,0.2679855057333913,0.0,0.0,-0.0,0.0,38530.7500000001
2017-04-27,506.6,99.35,353.6017920626438,-0.45793972812631434,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-04-28,509.65,100.75,354.4958032240701,-0.40623595205087926,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-02,505.55,102.15,348.23981438549635,-0.7680415535872316,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-05-03,500.85,101.15,345.079806413049,-0.9507958095221939,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-04,518.85,101.95,361.8478127910069,0.018956341686178657,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-05,504.5,99.45,351.3477928598885,-0.5882963445555202,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-08,511.2,99.3,358.2787916640214,-0.18745256809047792,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-09,518.2,100.2,363.89279883922404,0.13722500015094244,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-10,526.35,99.15,373.65979046815437,0.7020841091884991,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-11,516.9,96.85,367.7517721315254,0.3604028525033969,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-12,503.0,97.05,353.54377372601493,-0.4612951304017666,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-05-15,500.1,98.25,348.79578329295174,-0.7358879372385062,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-05-16,501.5,97.6,351.1967781108609,-0.5970300529304287,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-17,502.8,96.85,353.65177213152543,-0.4550492068429257,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-18,492.0,95.95,344.2377649563228,-0.9994939967521504,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-19,501.7,95.0,355.40075738249783,-0.3538993043839336,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-22,502.3,92.3,360.15873585689,-0.07872885436488437,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-23,500.6,89.85,362.23171632439403,0.04115881877063701,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-24,499.3,92.4,357.0047366541347,-0.26113560224172666,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-05-25,507.45,95.0,361.15075738249783,-0.021356797912914727,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-26,511.45,95.2,364.8427589769873,0.19216450019604553,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-29,507.25,95.05,360.87375778112016,-0.03737664864919346,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-30,514.4,96.1,366.4067661521899,0.2826164769230954,0.0,0.0,-0.0,0.0,38530.7500000001
2017-05-31,514.05,98.25,362.74578329295167,0.07088910019987474,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-06-01,509.3,97.35,359.38177611774915,-0.1236631394224447,0.0,0.0,-0.0,0.0,38530.7500000001
2017-06-02,508.05,95.35,361.2117601728544,-0.017828794294324383,0.0,0.0,-0.0,0.0,38530.7500000001
2017-06-05,513.65,94.25,368.5057514031623,0.40400809716728125,0.0,0.0,-0.0,0.0,38530.7500000001
2017-06-06,510.2,94.45,364.7477529976518,0.18666997384857423,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-06-07,514.2,95.4,367.2847605714768,0.33339394907217884,0.0,0.0,-0.0,0.0,38530.7500000001
2017-06-08,515.75,91.9,374.22473266791104,0.7347566822525573,0.0,0.0,-0.0,0.0,38530.7500000001
2017-06-09,513.65,90.05,374.9737179188835,0.7780731053252885,0.0,0.0,-0.0,0.0,38530.7500000001
2017-06-12,507.5,90.1,368.74671831750584,0.4179440522407387,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-06-13,506.45,90.15,367.6197187161282,0.3527657440261374,0.0,0.0,-0.0,-0.0,38530.7500000001
2017-06-14,509.5,90.0,370.9007175202611,0.5425173207313135,0.0,0.0,-0.0,0.0,38530.7500000001
2017-06-15,507.6,88.9,370.694708750569,0.5306031167959381,0.0,0.0,-0.0,0.0,38530.7500000001
2017-06-16,510.45,89.35,372.85171233817033,0.6553501393155762,0.0,0.0,-0.0,0.0,38530.7500000001
2017-06-19,520.15,89.9,381.7047167230163,1.167350185913072,0.0,0.0,-0.0,0.0,38530.7500000001
2017-06-20,511.85,88.55,375.4837059602125,0.8075674882007302,0.0,0.0,-0.0,0.0,38530.7500000001
2017-06-21,507.75,86.8,374.0786920084296,0.7263106427828799,0.0,0.0,-0.0,0.0,38530.7500000001
