date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2017-01-02,447.75,243.6,266.8826956969214,,0.0,0.0,-0.0,0.0,0.0,129759.91066443332,136083.7438423645
2017-01-03,455.25,244.9,273.41747609267674,,0.0,0.0,-0.0,0.0,0.0,129759.91066443332,136083.7438423645
2017-01-04,453.1,242.9,272.7524293299763,,0.0,0.0,-0.0,0.0,0.0,129759.91066443332,136083.7438423645
2017-01-05,458.05,245.35,275.88336161428435,,0.0,0.0,-0.0,0.0,0.0,129759.91066443332,136083.7438423645
2017-01-06,455.2,245.9,272.62499947402694,,0.0,0.0,-0.0,-0.0,0.0,129759.91066443332,136083.7438423645
2017-01-09,452.75,247.05,269.32115136257977,,0.0,0.0,-0.0,-0.0,0.0,129759.91066443332,136083.7438423645
2017-01-10,447.35,248.3,262.9930555892676,,0.0,0.0,-0.0,-0.0,0.0,129759.91066443332,136083.7438423645
2017-01-11,453.6,252.15,266.3845206074661,,0.0,0.0,-0.0,0.0,0.0,129759.91066443332,136083.7438423645
2017-01-12,455.2,251.25,268.6527495642508,,0.0,0.0,-0.0,0.0,0.0,129759.91066443332,136083.7438423645
2017-01-13,472.8,250.9,286.51261638077824,,0.0,0.0,-0.0,0.0,0.0,129759.91066443332,136083.7438423645
2017-01-16,477.25,255.75,287.36160478032696,2.332667743680152,-1.0,-1203.0,1666.0,-1000.0,-1000.0,129759.91066443332,136083.7438423645
2017-01-17,487.2,256.0,297.1259856256645,3.060255354901347,-1.0,-1178.0,1664.0,-11553.349999999988,-12553.349999999988,129759.91066443332,136083.7438423645
2017-01-18,488.5,258.35,296.6811655718376,2.5405924648165388,-1.0,-1175.0,1649.0,2379.0000000000246,-10174.349999999962,129759.91066443332,136083.7438423645
2017-01-19,483.8,258.4,291.94404174090516,1.8541863515369637,-1.0,-1186.0,1649.0,5604.9499999999125,-4569.40000000005,129759.91066443332,136083.7438423645
2017-01-20,450.75,251.05,264.3512448879808,-0.4196883402820192,0.0,0.0,-0.0,26077.150000000074,21507.750000000025,129759.91066443332,136083.7438423645
2017-01-23,445.0,254.15,256.2995673701665,-1.0632378077744065,0.0,0.0,-0.0,-0.0,21507.750000000025,129759.91066443332,136083.7438423645
2017-01-24,451.25,254.9,261.99270990617924,-0.6566642950337839,0.0,0.0,-0.0,0.0,21507.750000000025,129759.91066443332,136083.7438423645
2017-01-25,463.55,259.2,271.1000604459854,0.050489287011883106,0.0,0.0,-0.0,0.0,21507.750000000025,129759.91066443332,136083.7438423645
2017-01-27,472.85,266.45,275.0171049607747,0.3697775594499635,0.0,0.0,-0.0,0.0,21507.750000000025,129759.91066443332,136083.7438423645
2017-01-30,471.9,263.95,275.923296507399,0.46421515158061283,0.0,0.0,-0.0,0.0,21507.750000000025,129759.91066443332,136083.7438423645
2017-01-31,466.0,260.35,272.69621233453813,0.2013256327622399,0.0,0.0,-0.0,0.0,21507.750000000025,129759.91066443332,136083.7438423645
2017-02-01,475.65,270.7,274.6615793315132,0.3646029312832943,0.0,0.0,-0.0,0.0,21507.750000000025,129759.91066443332,136083.7438423645
2017-02-02,482.55,273.3,279.6311401230239,0.7645625080079859,0.0,0.0,-0.0,0.0,21507.750000000025,129759.91066443332,136083.7438423645
2017-02-03,490.7,277.55,284.62561449376244,1.131057984948957,0.0,0.0,-0.0,0.0,21507.750000000025,129759.91066443332,136083.7438423645
2017-02-06,498.3,277.05,292.59685280308736,1.6957096812938892,-1.0,-1152.0,1538.0,-1000.0,20507.750000000025,129759.91066443332,136083.7438423645
2017-02-07,493.4,277.9,287.0657476772351,1.1399167824425636,-1.0,-1163.0,1533.0,6952.099999999987,27459.850000000013,129759.91066443332,136083.7438423645
2017-02-08,487.6,277.2,281.7854813102899,0.6470868790709071,-1.0,-1177.0,1537.0,5672.299999999965,33132.14999999998,129759.91066443332,136083.7438423645
2017-02-09,485.25,275.85,280.437824745467,0.48018018787440997,-1.0,-1183.0,1545.0,691.0000000000796,33823.15000000006,129759.91066443332,136083.7438423645
2017-02-10,488.9,276.35,283.71658643614217,0.7270616869357864,-1.0,-1174.0,1542.0,-3545.4499999999734,30277.700000000084,129759.91066443332,136083.7438423645
2017-02-13,490.3,271.65,288.60622654379597,1.1312372322403856,-1.0,-1170.0,1569.0,-8891.000000000111,21386.699999999975,129759.91066443332,136083.7438423645
2017-02-14,486.9,270.2,286.28281764083806,0.8414570590928201,-1.0,-1179.0,1577.0,1702.9500000000576,23089.650000000034,129759.91066443332,136083.7438423645
2017-02-15,488.2,268.95,288.5109134141503,0.9957321840518165,-1.0,-1176.0,1584.0,-3503.9500000000135,19585.70000000002,129759.91066443332,136083.7438423645
2017-02-16,493.15,270.5,292.31007465524317,1.2900546715897692,-1.0,-1164.0,1575.0,-3365.999999999968,16219.700000000052,129759.91066443332,136083.7438423645
2017-02-17,489.1,269.35,289.1139227666904,0.9120609088625113,-1.0,-1173.0,1582.0,2902.949999999983,19122.650000000034,129759.91066443332,136083.7438423645
2017-02-20,481.05,269.65,280.84117978109555,0.11676761547026616,0.0,0.0,-0.0,8917.24999999994,28039.899999999972,129759.91066443332,136083.7438423645
2017-02-21,504.35,270.7,303.36157933151327,2.134174447510607,-1.0,-1138.0,1574.0,-1000.0,27039.899999999972,129759.91066443332,136083.7438423645
2017-02-22,525.3,272.3,323.1236167416736,3.620385696083111,-1.0,-1093.0,1565.0,-21322.699999999888,5717.200000000084,129759.91066443332,136083.7438423645
2017-02-23,528.15,270.45,327.34719848617567,3.29290247351453,-1.0,-1087.0,1576.0,-6010.30000000006,-293.0999999999758,129759.91066443332,136083.7438423645
2017-02-27,508.95,268.25,309.7806470472051,1.6140248725018762,-1.0,-1128.0,1588.0,17403.2,17110.100000000024,129759.91066443332,136083.7438423645
2017-02-28,506.65,269.2,306.77529425948785,1.3016847821918192,-1.0,-1133.0,1583.0,4102.9999999999945,21213.10000000002,129759.91066443332,136083.7438423645
2017-03-01,513.4,271.75,311.631978881931,1.525770571720641,-1.0,-1118.0,1568.0,-3611.099999999982,17602.000000000036,129759.91066443332,136083.7438423645
2017-03-02,506.3,267.3,307.8359998349224,1.1945961311547701,-1.0,-1134.0,1594.0,960.1999999999789,18562.200000000015,129759.91066443332,136083.7438423645
2017-03-03,512.9,265.05,316.1065722268843,1.6365649843601433,-1.0,-1119.0,1608.0,-11070.899999999961,7491.300000000054,129759.91066443332,136083.7438423645
2017-03-06,518.65,269.85,318.29268445736545,1.659819749164619,-1.0,-1107.0,1579.0,1284.1500000000187,8775.450000000073,129759.91066443332,136083.7438423645
2017-03-07,511.8,267.8,312.9647615255975,1.2538986096783362,-1.0,-1121.0,1591.0,4345.999999999944,13121.450000000017,129759.91066443332,136083.7438423645
2017-03-08,510.15,269.9,309.75556062643307,1.0025287162190015,-1.0,-1125.0,1579.0,5190.749999999984,18312.2,129759.91066443332,136083.7438423645
2017-03-09,516.4,273.25,313.51826395395636,1.170946726018823,-1.0,-1111.0,1559.0,-1741.599999999964,16570.600000000035,129759.91066443332,136083.7438423645
2017-03-10,515.9,272.05,313.90923589633604,1.1370837095988746,-1.0,-1112.0,1566.0,-1315.2999999999824,15255.300000000052,129759.91066443332,136083.7438423645
2017-03-14,510.9,274.65,306.97879668784674,0.6490528907883159,-1.0,-1123.0,1551.0,9631.599999999948,24886.9,129759.91066443332,136083.7438423645
2017-03-15,511.7,277.35,305.7741098174924,0.5238904858046555,-1.0,-1122.0,1536.0,3289.300000000058,28176.20000000006,129759.91066443332,136083.7438423645
2017-03-16,513.65,279.3,306.2762804111254,0.5075649368497113,-1.0,-1117.0,1526.0,807.2999999999952,28983.500000000055,129759.91066443332,136083.7438423645
2017-03-17,517.15,274.15,313.60003499717163,0.9472317764777441,-1.0,-1110.0,1554.0,-11768.400000000052,17215.100000000002,129759.91066443332,136083.7438423645
2017-03-20,502.85,273.9,299.48565415183407,-0.08801214551477235,0.0,0.0,-0.0,14484.49999999995,31699.599999999955,129759.91066443332,136083.7438423645
2017-03-21,488.3,272.35,286.0864929107412,-1.1084281753613383,0.0,0.0,-0.0,0.0,31699.599999999955,129759.91066443332,136083.7438423645
2017-03-22,485.45,267.5,286.83750451119244,-1.0621481390612888,0.0,0.0,-0.0,0.0,31699.599999999955,129759.91066443332,136083.7438423645
2017-03-23,488.25,268.5,288.89502789254266,-0.888005136486379,0.0,0.0,-0.0,0.0,31699.599999999955,129759.91066443332,136083.7438423645
2017-03-24,489.35,276.5,284.0552149433447,-1.2450625519852958,0.0,0.0,-0.0,0.0,31699.599999999955,129759.91066443332,136083.7438423645
2017-03-27,487.15,279.45,279.6649089183279,-1.5788010438105327,1.0,1178.0,-1525.0,-1000.0,30699.599999999955,129759.91066443332,136083.7438423645
2017-03-28,502.8,282.1,293.34734587890614,-0.5816417735960968,1.0,1141.0,-1510.0,14394.449999999988,45094.049999999945,129759.91066443332,136083.7438423645
2017-03-29,504.2,288.45,290.0326193504802,-0.8646705877600322,1.0,1138.0,-1477.0,-7991.099999999975,37102.94999999997,129759.91066443332,136083.7438423645
2017-03-30,499.25,291.05,283.15218014199087,-1.3826416780817259,1.0,1150.0,-1464.0,-9473.300000000021,27629.649999999947,129759.91066443332,136083.7438423645
2017-03-31,490.8,293.4,272.957360088164,-2.111529229160647,1.0,1169.0,-1452.0,-13157.899999999938,14471.75000000001,129759.91066443332,136083.7438423645
2017-04-03,500.6,293.15,282.9429792428265,-1.2646638475429106,1.0,1146.0,-1454.0,11819.200000000013,26290.950000000023,129759.91066443332,136083.7438423645
2017-04-05,508.3,297.35,287.5245774444975,-0.9056203535780379,1.0,1129.0,-1433.0,2717.3999999999196,29008.34999999994,129759.91066443332,136083.7438423645
2017-04-06,508.7,292.85,291.2657222284213,-0.6450389253315759,1.0,1128.0,-1455.0,6900.099999999974,35908.44999999992,129759.91066443332,136083.7438423645
2017-04-07,504.2,289.45,289.29014273183043,-0.8234184043395928,1.0,1138.0,-1472.0,-128.99999999994998,35779.44999999997,129759.91066443332,136083.7438423645
2017-04-10,510.75,289.35,295.91439039369544,-0.3257720049499111,1.0,1124.0,-1473.0,7601.099999999963,43380.54999999993,129759.91066443332,136083.7438423645
2017-04-11,515.05,294.5,296.39063580764923,-0.24065222976355494,1.0,1114.0,-1447.0,-2752.7500000000173,40627.799999999916,129759.91066443332,136083.7438423645
2017-04-12,506.0,290.15,290.57040909877566,-0.631233382218219,1.0,1134.0,-1469.0,-3787.2499999999163,36840.55,129759.91066443332,136083.7438423645
2017-04-13,507.55,291.55,291.080941832666,-0.5458118155861318,1.0,1131.0,-1462.0,-298.9000000000369,36541.649999999965,129759.91066443332,136083.7438423645
2017-04-17,502.35,289.9,287.1060282534381,-0.8187859237875548,1.0,1142.0,-1470.0,-3468.8999999999373,33072.75000000003,129759.91066443332,136083.7438423645
2017-04-18,499.65,290.3,284.1090376059782,-1.0016057486932735,1.0,1149.0,-1468.0,-3671.400000000102,29401.349999999926,129759.91066443332,136083.7438423645
2017-04-19,499.5,284.05,288.5995164725391,-0.5810984773435998,1.0,1149.0,-1500.0,9002.650000000027,38403.999999999956,129759.91066443332,136083.7438423645
2017-04-20,488.0,284.8,276.5426590085518,-1.528277562235026,1.0,1176.0,-1496.0,-14338.5,24065.499999999956,129759.91066443332,136083.7438423645
2017-04-21,486.25,282.2,276.7230982170412,-1.4429951469876452,1.0,1180.0,-1510.0,1831.6000000000336,25897.09999999999,129759.91066443332,136083.7438423645
2017-04-24,498.65,286.05,286.2645632352396,-0.5340042164070861,1.0,1151.0,-1490.0,8818.49999999994,34715.59999999993,129759.91066443332,136083.7438423645
2017-04-25,516.4,286.05,304.0145632352396,1.1173199633247655,0.0,0.0,-0.0,19430.250000000004,54145.84999999993,129759.91066443332,136083.7438423645
2017-04-26,517.15,286.45,304.4675725877797,1.2456223012798788,0.0,0.0,-0.0,0.0,54145.84999999993,129759.91066443332,136083.7438423645
2017-04-27,506.6,282.05,297.1844697098386,0.6192814149045385,0.0,0.0,-0.0,0.0,54145.84999999993,129759.91066443332,136083.7438423645
2017-04-28,509.65,289.75,294.5173997462355,0.40051677671615643,0.0,0.0,-0.0,0.0,54145.84999999993,129759.91066443332,136083.7438423645
2017-05-02,505.55,288.3,291.4939908432777,0.13011031566395428,0.0,0.0,-0.0,0.0,54145.84999999993,129759.91066443332,136083.7438423645
2017-05-03,500.85,289.8,285.68027591530307,-0.47401114379958253,0.0,0.0,-0.0,-0.0,54145.84999999993,129759.91066443332,136083.7438423645
2017-05-04,518.85,299.05,296.81236719279286,1.0623877867643103,0.0,0.0,-0.0,0.0,54145.84999999993,129759.91066443332,136083.7438423645
2017-05-05,504.5,296.0,284.7269208796746,-0.5514736933010363,0.0,0.0,-0.0,0.0,54145.84999999993,129759.91066443332,136083.7438423645
2017-05-08,511.2,299.4,288.9025003762655,0.022184568917366584,0.0,0.0,-0.0,0.0,54145.84999999993,129759.91066443332,136083.7438423645
2017-05-09,518.2,296.5,298.0556825703498,1.2548791975149332,0.0,0.0,-0.0,0.0,54145.84999999993,129759.91066443332,136083.7438423645
2017-05-10,526.35,294.45,307.7277596385818,2.462037456849251,-1.0,-1090.0,1447.0,-1000.0,53145.84999999993,129759.91066443332,136083.7438423645
2017-05-11,516.9,298.1,295.5677199805101,0.6891562570017018,-1.0,-1110.0,1429.0,15582.050000000097,68727.90000000002,129759.91066443332,136083.7438423645
2017-05-12,503.0,297.9,281.81621530424013,-1.0704167421360051,0.0,0.0,-0.0,14143.199999999912,82871.09999999993,129759.91066443332,136083.7438423645
2017-05-15,500.1,301.4,276.317547138966,-1.678633217986751,1.0,1148.0,-1414.0,-1000.0,81871.09999999993,129759.91066443332,136083.7438423645
2017-05-16,501.5,307.5,273.18843976520253,-1.9172711166024894,1.0,1144.0,-1386.0,-7018.200000000058,74852.89999999988,129759.91066443332,136083.7438423645
