date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2017-01-02,869.85,714.8,255.53976406508946,,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-03,865.65,711.75,253.96098149598117,,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-04,863.55,695.6,265.7405426464412,,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-05,862.35,698.95,261.6615005502158,,0.0,0.0,-0.0,-0.0,0.0,167442.6625280221,206631.22551762738
2017-01-06,851.85,716.85,235.77796218530966,,0.0,0.0,-0.0,-0.0,0.0,167442.6625280221,206631.22551762738
2017-01-09,855.2,709.25,245.65952037376144,,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-10,844.9,712.65,232.43750749998037,,0.0,0.0,-0.0,-0.0,0.0,167442.6625280221,206631.22551762738
2017-01-11,854.5,728.4,228.5017125699652,,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-12,852.15,727.95,226.53844956796559,,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-13,842.7,727.75,217.2603326781881,,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-16,851.35,731.2,222.94534902685143,-0.17164278042050743,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-17,842.1,726.0,218.16430989263415,-0.37675484307685736,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-18,861.65,731.1,233.33129058196255,0.40172036488846147,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-19,861.4,728.2,235.5735956801875,0.5308236313034912,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-20,859.9,723.05,238.49958576841482,0.7073404472955611,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-23,880.2,732.75,250.4632549226277,1.2982811412473063,0.0,0.0,-0.0,0.0,0.0,167442.6625280221,206631.22551762738
2017-01-24,907.75,743.35,268.90345008083966,2.135787136696031,-1.0,-592.0,622.0,-1000.0,-1000.0,167442.6625280221,206631.22551762738
2017-01-25,924.4,795.2,240.99275375567856,0.6428515335578401,-1.0,-582.0,581.0,22393.900000000023,21393.900000000023,167442.6625280221,206631.22551762738
2017-01-27,927.5,785.05,252.8158215994663,1.147521046489843,-1.0,-580.0,589.0,-7701.350000000066,13692.549999999957,167442.6625280221,206631.22551762738
2017-01-30,965.7,775.6,299.13729855747533,3.1722872463174765,-1.0,-557.0,596.0,-27722.04999999999,-14029.500000000031,167442.6625280221,206631.22551762738
2017-01-31,906.95,774.15,241.63345110658793,0.36810657138272157,-1.0,-593.0,597.0,31859.549999999974,17830.049999999945,167442.6625280221,206631.22551762738
2017-02-01,936.0,777.05,268.1911460083628,1.4296880181892888,-1.0,-575.0,595.0,-15495.349999999986,2334.699999999959,167442.6625280221,206631.22551762738
2017-02-02,948.5,770.4,286.4062594232581,2.0806473368517198,-1.0,-567.0,600.0,-11144.249999999987,-8809.550000000028,167442.6625280221,206631.22551762738
2017-02-03,940.55,765.3,282.83927873392963,1.7494979631554006,-1.0,-572.0,604.0,1447.6500000000124,-7361.900000000016,167442.6625280221,206631.22551762738
2017-02-06,941.4,766.7,282.4860969623727,1.610432592171238,-1.0,-571.0,603.0,359.4000000000418,-7002.4999999999745,167442.6625280221,206631.22551762738
2017-02-07,946.6,773.35,281.97098354747743,1.4708482587783993,-1.0,-568.0,598.0,1040.74999999996,-5961.750000000015,167442.6625280221,206631.22551762738
2017-02-08,972.25,767.6,312.5626229663719,2.5753010363988444,-1.0,-553.0,602.0,-18007.69999999999,-23969.450000000004,167442.6625280221,206631.22551762738
2017-02-09,970.8,769.65,309.3508210865921,2.218268382821281,-1.0,-554.0,601.0,2035.9499999999978,-21933.500000000007,167442.6625280221,206631.22551762738
2017-02-10,1007.1,778.9,337.7012272388055,3.133267510297591,-1.0,-534.0,593.0,-14550.950000000037,-36484.45000000004,167442.6625280221,206631.22551762738
2017-02-13,996.35,793.15,314.7045556354584,1.884495782540576,-1.0,-540.0,583.0,14190.75,-22293.70000000004,167442.6625280221,206631.22551762738
2017-02-14,1007.0,790.3,327.8038899561278,2.126561752925033,-1.0,-534.0,585.0,-7412.55,-29706.25000000004,167442.6625280221,206631.22551762738
2017-02-15,1002.6,784.3,328.5603832628003,1.9352252919067678,-1.0,-536.0,589.0,-1160.4000000000124,-30866.650000000052,167442.6625280221,206631.22551762738
2017-02-16,1023.0,792.5,341.9131757436812,2.1278105793698243,-1.0,-526.0,583.0,-6104.59999999996,-36971.250000000015,167442.6625280221,206631.22551762738
2017-02-17,1036.5,796.5,351.9755135392329,2.1772060121095076,-1.0,-519.0,580.0,-4769.0,-41740.250000000015,167442.6625280221,206631.22551762738
2017-02-20,1051.15,797.05,366.15283498612143,2.292193133099316,-1.0,-512.0,580.0,-7284.350000000073,-49024.600000000086,167442.6625280221,206631.22551762738
2017-02-21,1064.05,797.9,378.322331767676,2.3162707736591552,-1.0,-505.0,579.0,-6111.7999999999165,-55136.4,167442.6625280221,206631.22551762738
2017-02-22,1043.35,795.85,359.38413364745566,1.6649754201678968,-1.0,-515.0,581.0,9266.55000000005,-45869.84999999995,167442.6625280221,206631.22551762738
2017-02-23,1020.85,810.95,323.9069588256634,0.8175627231597581,-1.0,-527.0,570.0,20360.599999999955,-25509.249999999993,167442.6625280221,206631.22551762738
2017-02-27,1014.3,800.5,326.33785133478466,0.8121843896170348,-1.0,-530.0,577.0,-2504.649999999989,-28013.899999999983,167442.6625280221,206631.22551762738
2017-02-28,986.3,802.1,296.96278645300526,0.14492205329030042,0.0,0.0,-0.0,14763.200000000013,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-01,1001.7,824.15,293.4126735509842,0.01623113889448773,0.0,0.0,-0.0,0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-02,991.15,816.15,289.73799795988066,-0.11980161688943577,0.0,0.0,-0.0,0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-03,1016.95,809.5,321.25311137477604,0.5731463938871802,0.0,0.0,-0.0,0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-06,1000.1,818.95,296.2816344167669,-0.10122208855537324,0.0,0.0,-0.0,-0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-07,1002.1,817.0,299.9574947414354,-0.06291336932052623,0.0,0.0,-0.0,0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-08,998.2,824.9,289.2681118876501,-0.41850441810554484,0.0,0.0,-0.0,-0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-09,1005.5,825.45,296.09543333453837,-0.2756009758567288,0.0,0.0,-0.0,0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-10,995.1,828.9,282.73044968320175,-0.698091950036037,0.0,0.0,-0.0,-0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-14,1029.8,836.15,311.19968693763917,0.09942745041966579,0.0,0.0,-0.0,0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-15,1044.4,844.15,318.9243625287428,0.29453781009650487,0.0,0.0,-0.0,0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-16,1046.4,851.4,314.69359978318016,0.13431453406495367,0.0,0.0,-0.0,0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-17,1037.3,848.25,308.30075876918306,-0.17189828351954137,0.0,0.0,-0.0,0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-20,1058.25,854.6,323.7934700196214,0.35901799789695804,0.0,0.0,-0.0,0.0,-13250.69999999997,167442.6625280221,206631.22551762738
2017-03-21,1087.7,859.55,348.9893630416168,1.2960159452678668,0.0,0.0,-0.0,0.0,-13250.69999999997,167442.6625280221,206631.22551762738
