date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2018-01-01,518.15,1139.4,30.459375707629135,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-139130.2439880639
2018-01-02,507.05,1135.05,21.221280408060863,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-139130.2439880639
2018-01-03,508.65,1122.75,28.085976457557138,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-139130.2439880639
2018-01-04,513.35,1165.65,14.423743894679603,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-139130.2439880639
2018-01-05,530.05,1209.4,12.397690873096963,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-139130.2439880639
2018-01-08,506.85,1198.25,-6.0298407568310495,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-139130.2439880639
2018-01-09,500.4,1232.6,-27.18246752920504,,0.0,0.0,-0.0,-0.0,0.0,-203994.98214802664,-139130.2439880639
2018-01-10,497.05,1230.6,-29.676419391075513,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-139130.2439880639
2018-01-11,505.25,1239.05,-25.093222774672654,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-139130.2439880639
2018-01-12,500.15,1216.8,-20.66968723798209,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-139130.2439880639
2018-01-15,495.2,1237.95,-34.67239629870147,-2.265759365193677,1.0,1414.0,-242.0,-1000.0,-1000.0,-203994.98214802664,-139130.2439880639
2018-01-16,488.1,1224.15,-35.86566414560798,-2.1766562233463245,1.0,1435.0,-245.0,-6699.799999999961,-7699.799999999961,-203994.98214802664,-139130.2439880639
2018-01-17,490.7,1243.05,-41.355319050931655,-2.232702630276987,1.0,1427.0,-241.0,-899.5000000000155,-8599.299999999977,-203994.98214802664,-139130.2439880639
2018-01-18,485.9,1212.8,-33.2075909617231,-1.7209346495658955,1.0,1441.0,-247.0,440.64999999998327,-8158.649999999994,-203994.98214802664,-139130.2439880639
2018-01-19,488.7,1218.7,-32.93293296920518,-1.5870223982161211,1.0,1433.0,-246.0,2577.499999999994,-5581.15,-203994.98214802664,-139130.2439880639
