date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2018-01-30,432.5,130.75,-26.239945931529974,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-01-31,431.75,131.2,-28.568783221542844,,0.0,0.0,-0.0,-0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-01,430.3,131.3,-30.369635952656893,,0.0,0.0,-0.0,-0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-02,414.55,128.2,-35.24320128812343,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-05,432.1,128.35,-18.219480384794394,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-06,431.05,125.75,-10.1473093758309,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-07,422.3,126.9,-22.932115783641734,,0.0,0.0,-0.0,-0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-08,421.9,120.55,-1.052967357903924,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-09,414.7,118.2,-0.007928176725386038,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-12,416.6,118.35,1.365792726603729,,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-14,426.8,117.8,13.495482747730591,-0.5340805241043619,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-15,421.05,117.6,8.44718820995854,-0.5994504708956869,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-16,411.95,117.0,1.4523045966423638,-0.7093632519627756,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-19,406.7,115.2,2.517653756694017,-0.6336826916503723,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-20,410.4,114.2,9.726181067833807,-0.41457956831255355,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
2018-02-21,411.9,114.85,8.945638315592987,-0.38011864613236307,0.0,0.0,-0.0,0.0,0.0,-203994.98214802664,-158401.63934426234
