date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2018-01-01,1139.4,186.6,-74.20665397089624,,0.0,0.0,-0.0,0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-02,1135.05,191.1,-107.8236954653712,,0.0,0.0,-0.0,-0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-03,1122.75,187.7,-98.01081966954575,,0.0,0.0,-0.0,0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-04,1165.65,193.75,-94.4587310121176,,0.0,0.0,-0.0,0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-05,1209.4,192.7,-43.87975466340663,,0.0,0.0,-0.0,0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-08,1198.25,191.65,-48.20077831469598,,0.0,0.0,-0.0,0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-09,1232.6,191.25,-11.249263515187295,,0.0,0.0,-0.0,0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-10,1230.6,192.15,-19.102671814082214,,0.0,0.0,-0.0,-0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-11,1239.05,192.15,-10.652671814082169,,0.0,0.0,-0.0,0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-12,1216.8,195.0,-51.438464760582974,,0.0,0.0,-0.0,-0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-15,1237.95,190.85,-3.2977487156781535,1.1528385930558231,0.0,0.0,-0.0,0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-16,1224.15,191.45,-21.000020914941388,0.6839258863299572,0.0,0.0,-0.0,-0.0,0.0,-139130.2439880639,-113745.98070739549
2018-01-17,1243.05,189.95,7.655659583216675,1.540608811741228,-1.0,-107.0,4563.0,-1000.0,-1000.0,-139130.2439880639,-113745.98070739549
2018-01-18,1212.8,188.35,-12.188281218747761,0.9161772056440615,-1.0,-110.0,4602.0,-4064.0499999999734,-5064.049999999974,-139130.2439880639,-113745.98070739549
2018-01-19,1218.7,187.95,-3.6867664192386655,1.1555240288276916,-1.0,-109.0,4612.0,-2489.800000000036,-7553.8500000000095,-139130.2439880639,-113745.98070739549
2018-01-22,1234.4,194.95,-33.513275410644155,0.30677400808180155,-1.0,-108.0,4446.0,30572.699999999993,23018.849999999984,-139130.2439880639,-113745.98070739549
2018-01-23,1218.55,201.6,-92.61345895247973,-1.3992033545902218,0.0,0.0,-0.0,30277.700000000037,53296.55000000002,-139130.2439880639,-113745.98070739549
2018-01-24,1195.3,205.1,-138.6267134481825,-2.6754951898288613,1.0,111.0,-4226.0,-1000.0,52296.55000000002,-139130.2439880639,-113745.98070739549
2018-01-25,1188.3,202.75,-130.3428140010676,-2.0991429183352817,1.0,112.0,-4275.0,9154.099999999977,61450.649999999994,-139130.2439880639,-113745.98070739549
2018-01-29,1179.85,199.4,-117.00512755518093,-1.5584398398762582,1.0,113.0,-4347.0,13374.84999999997,74825.49999999997,-139130.2439880639,-113745.98070739549
2018-01-30,1158.65,199.05,-135.92880210561043,-1.899151652436949,1.0,115.0,-4354.0,-874.1500000000042,73951.34999999996,-139130.2439880639,-113745.98070739549
2018-01-31,1155.45,197.7,-130.34868965726787,-1.6033744274965074,1.0,115.0,-4384.0,5509.900000000094,79461.25000000006,-139130.2439880639,-113745.98070739549
2018-02-01,1184.2,189.15,-45.99131081776545,0.42898150205415925,0.0,0.0,-0.0,39789.449999999924,119250.69999999998,-139130.2439880639,-113745.98070739549
2018-02-02,1124.4,186.95,-91.48297942046634,-0.594664799875962,0.0,0.0,-0.0,0.0,119250.69999999998,-139130.2439880639,-113745.98070739549
2018-02-05,1093.7,183.0,-96.49302077531638,-0.6856926600168272,0.0,0.0,-0.0,0.0,119250.69999999998,-139130.2439880639,-113745.98070739549
2018-02-06,1061.25,179.7,-107.48052367936793,-0.9008715544286212,0.0,0.0,-0.0,0.0,119250.69999999998,-139130.2439880639,-113745.98070739549
2018-02-07,1053.75,184.25,-144.57275452378167,-1.705007577654596,1.0,126.0,-4704.0,-1000.0,118250.69999999998,-139130.2439880639,-113745.98070739549
2018-02-08,1104.25,182.95,-85.61783142537774,-0.3321131000360759,1.0,121.0,-4738.0,12478.200000000053,130728.90000000004,-139130.2439880639,-113745.98070739549
2018-02-09,1104.55,181.6,-76.53771897703518,-0.1347569138873363,0.0,0.0,-0.0,5432.5999999999685,136161.5,-139130.2439880639,-113745.98070739549
2018-02-12,1127.8,185.25,-77.02654152255377,-0.15743942597188582,0.0,0.0,-0.0,0.0,136161.5,-139130.2439880639,-113745.98070739549
2018-02-14,1122.3,180.0,-48.38165977899962,0.45690052729336744,0.0,0.0,-0.0,0.0,136161.5,-139130.2439880639,-113745.98070739549
2018-02-15,1099.3,182.55,-87.96631662586901,-0.4030685192670655,0.0,0.0,-0.0,-0.0,136161.5,-139130.2439880639,-113745.98070739549
2018-02-16,1095.7,181.15,-82.46101482758763,-0.30301129518695746,0.0,0.0,-0.0,0.0,136161.5,-139130.2439880639,-113745.98070739549
2018-02-19,1085.4,179.55,-82.35495562955225,-0.31355762821056726,0.0,0.0,-0.0,0.0,136161.5,-139130.2439880639,-113745.98070739549
2018-02-20,1114.2,181.25,-64.611393527465,0.060149281002657526,0.0,0.0,-0.0,0.0,136161.5,-139130.2439880639,-113745.98070739549
2018-02-21,1106.2,184.4,-93.09832257359744,-0.5433904317216625,0.0,0.0,-0.0,-0.0,136161.5,-139130.2439880639,-113745.98070739549
2018-02-22,1106.0,180.35,-66.9579852285699,0.05689402172111505,0.0,0.0,-0.0,0.0,136161.5,-139130.2439880639,-113745.98070739549
2018-02-23,1132.2,184.05,-64.82199712402712,0.14777549693883119,0.0,0.0,-0.0,0.0,136161.5,-139130.2439880639,-113745.98070739549
2018-02-26,1175.9,184.6,-24.699079973351672,1.1046737332071894,0.0,0.0,-0.0,0.0,136161.5,-139130.2439880639,-113745.98070739549
