date,pnl_1,pnl_2,pnl_3,pnl_4,pnl_5,yearly_pnl,cumulative_pnl,year
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
2018-01-02,-1000.0,-1000.0,0.0,-1000.0,-0.0,-3000.0,-3000.0,2018
2018-01-03,-7792.299999999916,-4607.39999999985,0.0,-11190.399999999983,0.0,-23590.099999999748,-26590.099999999748,2018
2018-01-04,7104.699999999944,929.399999999745,-0.0,-15192.850000000071,0.0,-7158.750000000382,-33748.85000000013,2018
2018-01-05,-16475.349999999868,-65849.39999999962,0.0,-30023.599999999817,0.0,-112348.3499999993,-146097.19999999943,2018
2018-01-08,39831.299999999836,89115.89999999979,0.0,46732.649999999856,0.0,175679.84999999948,29582.650000000052,2018
2018-01-09,24988.800000000057,50265.95000000001,0.0,18757.85000000009,0.0,94012.60000000017,123595.25000000022,2018
2018-01-10,5999.299999999932,-20449.150000000147,-0.0,343.79999999993197,-0.0,-14106.050000000283,109489.19999999994,2018
2018-01-11,-13557.79999999996,-22257.199999999648,0.0,-14310.349999999993,0.0,-50125.3499999996,59363.85000000034,2018
2018-01-12,2416.650000000044,11534.949999999963,-0.0,13627.30000000008,-0.0,27578.900000000085,86942.75000000042,2018
2018-01-15,17339.85000000001,27192.449999999815,-0.0,2789.0499999999774,0.0,47321.3499999998,134264.1000000002,2018
2018-01-16,9560.099999999948,-50213.10000000007,-1000.0,-1465.5000000001382,-0.0,-43118.50000000026,91145.59999999995,2018
2018-01-17,1287.600000000023,-6788.699999999846,164162.9499999996,-3700.9499999999116,-1000.0,153960.89999999985,245106.4999999998,2018
2018-01-18,-623.5999999999767,-48693.59999999998,-16141.75,3598.4000000000233,-30461.399999999805,-92321.94999999974,152784.55000000005,2018
2018-01-19,-3679.699999999991,73030.05000000015,-39752.09999999998,-7166.399999999988,-18679.500000000273,3752.349999999915,156536.89999999997,2018
2018-01-22,19935.00000000004,-19017.700000000135,-68810.10000000006,20445.699999999968,229338.29999999996,181891.19999999978,338428.09999999974,2018
2018-01-23,-8406.350000000119,64621.59999999984,106246.65000000045,-8947.500000000036,233689.15000000029,387203.5500000004,725631.6500000001,2018
2018-01-24,57079.25,73881.79999999992,-47564.85000000059,42718.40000000004,-1000.0,125114.59999999937,850746.2499999995,2018
2018-01-25,0.0,-0.0,41529.75000000013,0.0,68659.49999999983,110189.24999999996,960935.4999999995,2018
2018-01-29,0.0,-0.0,-91976.84999999954,0.0,100346.39999999978,8369.550000000236,969305.0499999998,2018
2018-01-30,0.0,-1000.0,62684.09999999978,0.0,-6561.650000000032,55122.44999999975,1024427.4999999995,2018
2018-01-31,0.0,-13809.299999999696,79082.2999999996,-0.0,41348.3000000007,106621.3000000006,1131048.8,2018
2018-02-01,-0.0,-6032.400000000582,0.0,0.0,305138.09999999945,299105.69999999885,1430154.4999999988,2018
2018-02-02,0.0,46232.10000000061,0.0,0.0,0.0,46232.10000000061,1476386.5999999994,2018
2018-02-05,0.0,38225.39999999986,0.0,0.0,0.0,38225.39999999986,1514611.9999999993,2018
2018-02-06,-1000.0,68643.8999999998,0.0,0.0,0.0,67643.8999999998,1582255.8999999992,2018
2018-02-07,17277.5,-52386.150000000154,0.0,-0.0,-1000.0,-36108.650000000154,1546147.249999999,2018
2018-02-08,21450.20000000008,174617.60000000018,0.0,0.0,92813.2000000004,288881.00000000064,1835028.2499999998,2018
2018-02-09,16180.399999999958,51330.39999999986,0.0,0.0,0.0,67510.79999999981,1902539.0499999996,2018
2018-02-12,0.0,128.45000000033542,0.0,0.0,0.0,128.45000000033542,1902667.5,2018
2018-02-14,0.0,39784.74999999988,0.0,0.0,0.0,39784.74999999988,1942452.25,2018
2018-02-15,0.0,0.0,0.0,0.0,-0.0,0.0,1942452.25,2018
2018-02-16,0.0,0.0,0.0,0.0,0.0,0.0,1942452.25,2018
2018-02-19,0.0,0.0,0.0,0.0,0.0,0.0,1942452.25,2018
2018-02-20,0.0,0.0,0.0,0.0,0.0,0.0,1942452.25,2018
2018-02-21,0.0,0.0,0.0,0.0,-0.0,0.0,1942452.25,2018
2018-02-22,0.0,0.0,0.0,0.0,0.0,0.0,1942452.25,2018
2018-02-23,0.0,0.0,0.0,0.0,0.0,0.0,1942452.25,2018
2018-02-26,-0.0,-0.0,0.0,-0.0,0.0,0.0,1942452.25,2018
2018-02-27,0.0,0.0,0.0,0.0,0.0,0.0,1942452.25,2018
2018-02-28,0.0,-0.0,0.0,0.0,0.0,0.0,1942452.25,2018
2018-03-01,-0.0,-0.0,0.0,-0.0,0.0,0.0,1942452.25,2018
2018-03-05,0.0,0.0,0.0,0.0,0.0,0.0,1942452.25,2018
2018-03-06,0.0,-0.0,0.0,0.0,0.0,0.0,1942452.25,2018
2018-03-07,0.0,0.0,-0.0,-0.0,0.0,0.0,1942452.25,2018
2018-03-08,0.0,-1000.0,0.0,0.0,0.0,-1000.0,1941452.25,2018
2018-03-09,0.0,-31648.400000000107,-0.0,0.0,0.0,-31648.400000000107,1909803.8499999999,2018
2018-03-12,0.0,-98782.1499999999,0.0,0.0,0.0,-98782.1499999999,1811021.7,2018
2018-03-13,0.0,-55828.950000000215,0.0,0.0,0.0,-55828.950000000215,1755192.7499999998,2018
2018-03-14,-0.0,107815.75000000007,0.0,-0.0,0.0,107815.75000000007,1863008.4999999998,2018
2018-03-15,0.0,98461.85000000011,0.0,0.0,0.0,98461.85000000011,1961470.3499999999,2018
2018-03-16,0.0,133363.44999999978,0.0,0.0,0.0,133363.44999999978,2094833.7999999996,2018
2018-03-19,-0.0,0.0,0.0,0.0,0.0,0.0,2094833.7999999996,2018
2018-03-20,0.0,0.0,-0.0,0.0,0.0,0.0,2094833.7999999996,2018
2018-03-21,0.0,0.0,0.0,0.0,-0.0,0.0,2094833.7999999996,2018
2018-03-22,0.0,0.0,0.0,-0.0,-0.0,0.0,2094833.7999999996,2018
2018-03-23,0.0,0.0,-1000.0,0.0,0.0,-1000.0,2093833.7999999996,2018
2018-03-26,0.0,0.0,-127611.35000000047,0.0,-0.0,-127611.35000000047,1966222.449999999,2018
2018-03-27,-0.0,-0.0,-10720.799999999801,0.0,0.0,-10720.799999999801,1955501.6499999992,2018
2018-03-28,0.0,-0.0,119368.7000000001,0.0,0.0,119368.7000000001,2074870.3499999994,2018
2018-04-02,-0.0,0.0,-1811.5000000004584,-0.0,0.0,-1811.5000000004584,2073058.849999999,2018
2018-04-03,0.0,0.0,-0.0,0.0,0.0,0.0,2073058.849999999,2018
2018-04-04,0.0,0.0,0.0,-1000.0,0.0,-1000.0,2072058.849999999,2018
2018-04-05,-0.0,-0.0,0.0,-14967.699999999997,0.0,-14967.699999999997,2057091.149999999,2018
2018-04-06,0.0,-0.0,0.0,-26186.29999999994,0.0,-26186.29999999994,2030904.849999999,2018
2018-04-09,0.0,-0.0,-1000.0,-1632.8500000000113,-0.0,-2632.8500000000113,2028271.9999999988,2018
2018-04-10,0.0,0.0,39193.650000000314,23013.099999999962,0.0,62206.75000000028,2090478.749999999,2018
2018-04-11,0.0,0.0,7148.850000000481,-5380.550000000021,-0.0,1768.3000000004595,2092247.0499999996,2018
2018-04-12,0.0,-0.0,-37987.80000000039,-17996.19999999994,0.0,-55984.00000000033,2036263.0499999993,2018
2018-04-13,0.0,0.0,48639.900000000336,-3567.600000000063,-0.0,45072.30000000027,2081335.3499999996,2018
2018-04-16,-0.0,0.0,-2179.550000000203,29404.90000000006,0.0,27225.349999999857,2108560.6999999993,2018
2018-04-17,0.0,0.0,-14284.99999999977,19542.10000000001,0.0,5257.100000000239,2113817.7999999993,2018
2018-04-18,0.0,0.0,121578.39999999954,8939.999999999894,-0.0,130518.39999999944,2244336.199999999,2018
2018-04-19,0.0,0.0,-0.0,29970.050000000112,0.0,29970.050000000112,2274306.249999999,2018
