date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2019-01-01,226.25,142.75,33.16769627861291,,0.0,0.0,-0.0,0.0,0.0,-66629.83425414366,-69001.75131348513
2019-01-02,221.45,141.3,30.32895260362872,,0.0,0.0,-0.0,0.0,0.0,-66629.83425414366,-69001.75131348513
2019-01-03,219.75,136.65,34.918498749369206,,0.0,0.0,-0.0,0.0,0.0,-66629.83425414366,-69001.75131348513
2019-01-04,221.25,139.95,31.954949871746976,,0.0,0.0,-0.0,0.0,0.0,-66629.83425414366,-69001.75131348513
2019-01-07,219.25,142.1,27.0468801484476,,0.0,0.0,-0.0,-0.0,0.0,-66629.83425414366,-69001.75131348513
2019-01-08,218.05,141.7,26.38791637603822,,0.0,0.0,-0.0,0.0,0.0,-66629.83425414366,-69001.75131348513
2019-01-09,217.4,139.55,28.645986099337534,,0.0,0.0,-0.0,0.0,0.0,-66629.83425414366,-69001.75131348513
2019-01-10,217.75,137.5,31.76879676573924,,0.0,0.0,-0.0,0.0,0.0,-66629.83425414366,-69001.75131348513
2019-01-11,217.0,138.9,29.12516996917222,,0.0,0.0,-0.0,-0.0,0.0,-66629.83425414366,-69001.75131348513
2019-01-14,215.65,137.7,29.39827865194397,,0.0,0.0,-0.0,0.0,0.0,-66629.83425414366,-69001.75131348513
2019-01-15,217.4,139.4,28.848874684684006,-1.339220396834435,0.0,0.0,-0.0,0.0,0.0,-66629.83425414366,-69001.75131348513
2019-01-16,216.8,140.6,26.625766001912297,-1.571523812957919,1.0,1961.0,-4089.0,-1000.0,-1000.0,-66629.83425414366,-69001.75131348513
2019-01-17,216.8,139.25,28.451763270030483,-1.2084161418262562,1.0,1961.0,-4129.0,5520.149999999977,4520.149999999977,-66629.83425414366,-69001.75131348513
2019-01-18,214.75,141.0,24.034729774321676,-1.7400599245349546,1.0,1979.0,-4078.0,-11245.800000000023,-6725.650000000046,-66629.83425414366,-69001.75131348513
2019-01-21,213.75,138.95,25.807540440723415,-1.361552463576265,1.0,1989.0,-4138.0,6380.900000000045,-344.7500000000009,-66629.83425414366,-69001.75131348513
2019-01-22,212.5,138.6,25.030947139865162,-1.3685138208797747,1.0,2000.0,-4148.0,-1037.9500000000235,-1382.7000000000244,-66629.83425414366,-69001.75131348513
2019-01-23,210.3,137.55,24.251167237290417,-1.3827878060060919,1.0,2021.0,-4180.0,-44.60000000004857,-1427.300000000073,-66629.83425414366,-69001.75131348513
2019-01-24,208.6,135.95,24.715312147652725,-1.2479348439619808,1.0,2038.0,-4229.0,3252.3000000000598,1824.9999999999868,-66629.83425414366,-69001.75131348513
2019-01-25,205.7,136.25,21.409534976959776,-1.6542862357721888,1.0,2066.0,-4220.0,-7178.90000000006,-5353.900000000072,-66629.83425414366,-69001.75131348513
2019-01-28,209.95,135.9,26.132941676101524,-0.8838725437946033,1.0,2025.0,-4231.0,10257.499999999976,4903.599999999904,-66629.83425414366,-69001.75131348513
2019-01-29,207.3,135.3,24.294496017487404,-1.0849203613752436,1.0,2050.0,-4249.0,-2827.6499999999783,2075.9499999999257,-66629.83425414366,-69001.75131348513
2019-01-30,209.95,133.95,28.770493285605596,-0.3752888641106637,1.0,2025.0,-4292.0,11168.650000000049,13244.599999999975,-66629.83425414366,-69001.75131348513
2019-01-31,209.4,135.5,26.123977903692122,-0.7319262048572147,1.0,2030.0,-4243.0,-7766.350000000014,5478.249999999961,-66629.83425414366,-69001.75131348513
2019-02-01,207.95,136.05,23.930053090755052,-1.0472036370883264,1.0,2044.0,-4226.0,-5277.150000000083,201.09999999987758,-66629.83425414366,-69001.75131348513
2019-02-04,206.85,140.5,16.811025058809918,-2.2450160500045615,1.0,2055.0,-4092.0,-21054.099999999937,-20853.00000000006,-66629.83425414366,-69001.75131348513
2019-02-05,201.15,137.2,15.574573936432188,-2.4014541733258548,1.0,2113.0,-4191.0,1790.1000000000695,-19062.899999999987,-66629.83425414366,-69001.75131348513
2019-02-06,204.7,140.95,14.052359302770526,-2.515805254591167,1.0,2077.0,-4079.0,-8215.100000000035,-27278.000000000022,-66629.83425414366,-69001.75131348513
2019-02-07,208.95,142.15,16.679250619998754,-1.88682562455802,1.0,2034.0,-4045.0,3932.449999999929,-23345.550000000094,-66629.83425414366,-69001.75131348513
2019-02-08,203.4,138.4,16.201465253660444,-1.9312696531349995,1.0,2090.0,-4154.0,3880.0500000000357,-19465.50000000006,-66629.83425414366,-69001.75131348513
2019-02-11,203.55,132.45,24.399379139070305,-0.24109644972704067,1.0,2088.0,-4341.0,25029.80000000008,5564.300000000021,-66629.83425414366,-69001.75131348513
2019-02-12,207.8,131.7,29.663822065802634,0.7829218996994711,0.0,0.0,-0.0,11129.75,16694.05000000002,-66629.83425414366,-69001.75131348513
2019-02-13,205.0,127.65,32.34181387015718,1.342629061929064,0.0,0.0,-0.0,0.0,16694.05000000002,-66629.83425414366,-69001.75131348513
2019-02-14,201.95,126.4,30.98255208137772,1.051612454709879,0.0,0.0,-0.0,0.0,16694.05000000002,-66629.83425414366,-69001.75131348513
2019-02-15,204.7,129.25,29.877668959794875,0.9006841405855929,0.0,0.0,-0.0,0.0,16694.05000000002,-66629.83425414366,-69001.75131348513
2019-02-18,199.9,131.35,22.237228764944376,-0.6035936423179347,0.0,0.0,-0.0,-0.0,16694.05000000002,-66629.83425414366,-69001.75131348513
2019-02-19,199.0,133.4,18.56441809854263,-1.3036527960445663,0.0,0.0,-0.0,-0.0,16694.05000000002,-66629.83425414366,-69001.75131348513
2019-02-20,199.7,138.3,12.636724310558066,-2.3738650636257765,1.0,2129.0,-4157.0,-1000.0,15694.050000000021,-66629.83425414366,-69001.75131348513
2019-02-21,198.45,141.2,7.464211660526416,-3.037656285423583,1.0,2142.0,-4072.0,-14716.549999999907,977.5000000001146,-66629.83425414366,-69001.75131348513
2019-02-22,199.7,142.85,6.482437221715259,-2.763271670220531,1.0,2129.0,-4025.0,-4041.300000000023,-3063.7999999999083,-66629.83425414366,-69001.75131348513
2019-02-25,199.1,142.0,7.032139205345231,-2.310998671838902,1.0,2135.0,-4049.0,2143.8499999999894,-919.9499999999189,-66629.83425414366,-69001.75131348513
2019-02-26,204.9,141.75,13.170286847589352,-1.2159479778840212,1.0,2074.0,-4056.0,13395.250000000025,12475.300000000107,-66629.83425414366,-69001.75131348513
2019-02-27,206.2,142.25,13.793991563101116,-1.0500952431569344,1.0,2061.0,-4042.0,668.1999999999648,13143.500000000071,-66629.83425414366,-69001.75131348513
2019-02-28,213.05,142.9,19.764807693266448,-0.1719567587013768,1.0,1995.0,-4023.0,11490.550000000025,24634.050000000097,-66629.83425414366,-69001.75131348513
2019-03-01,217.4,143.35,23.506141937227056,0.38250878781560244,0.0,0.0,-0.0,5867.900000000034,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-05,225.9,149.25,24.025857580266063,0.4573257847247849,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-06,227.5,149.05,25.896375694061305,0.7282145536879682,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-07,219.75,146.3,21.86599975874654,0.16281952196880856,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-08,219.65,144.65,23.997774197557675,0.4715286888982092,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-11,228.15,147.25,28.98103871821894,1.1712652910467387,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-12,227.7,146.1,30.086517872541833,1.2619049499919344,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-13,223.4,144.0,28.626958067392366,1.0260822927559394,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-14,227.95,145.3,31.418590327722967,1.3613416226532098,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-15,229.1,150.25,25.873267011289585,0.6081902897715157,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-18,228.95,148.9,27.549264279407765,0.8282763358529465,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-19,227.65,151.25,23.070676442313157,0.2263464508270738,0.0,0.0,-0.0,-0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-20,221.75,146.1,24.136517872541845,0.3388983752919893,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-22,216.7,146.6,18.410222588053614,-0.4459650861212561,0.0,0.0,-0.0,-0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-25,221.95,152.9,15.138902003502011,-0.9071244723967734,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-26,221.2,154.3,12.495275206934991,-1.244943961034808,0.0,0.0,-0.0,-0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-27,219.2,154.35,10.427645678486186,-1.4775461164811388,0.0,0.0,-0.0,-0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-28,220.85,150.15,17.758526068187223,-0.4481869418056092,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-03-29,221.95,154.0,13.651052377627934,-0.931353039885716,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-01,221.15,151.5,16.232528800069048,-0.5344684291983125,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-02,221.15,151.75,15.894381157824938,-0.5311591630727044,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-03,218.85,149.7,16.367191824226666,-0.4161007703492382,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-04,219.55,149.5,17.33770993802193,-0.2529128044815358,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-05,219.45,150.8,15.479342198352526,-0.5069007074207633,0.0,0.0,-0.0,-0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-08,217.7,152.35,11.632826816439064,-1.0687055227262297,0.0,0.0,-0.0,-0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-09,223.15,151.8,17.826751629376105,-0.21953301511202836,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-10,224.8,152.25,18.868085873336724,-0.13138532081237253,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-11,225.7,152.85,18.956531531950844,-0.19252357686334948,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-12,225.55,151.85,20.159122100927306,-0.02448910335080395,0.0,0.0,-0.0,0.0,30501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-15,234.75,150.7,30.914601255250204,1.8185924343743671,-1.0,-1811.0,3815.0,-1000.0,29501.95000000013,-66629.83425414366,-69001.75131348513
2019-04-16,236.35,154.7,27.104238979344444,1.0324555936036253,-1.0,-1798.0,3716.0,12362.400000000012,41864.350000000144,-66629.83425414366,-69001.75131348513
2019-04-18,236.2,154.85,26.751350393997967,0.9400332690741384,-1.0,-1800.0,3713.0,827.1000000000313,42691.45000000017,-66629.83425414366,-69001.75131348513
2019-04-22,236.8,152.15,31.003344930234363,1.603476410777338,-1.0,-1795.0,3779.0,-11105.099999999999,31586.350000000173,-66629.83425414366,-69001.75131348513
2019-04-23,240.25,158.0,26.540690101722163,0.8263237159061055,-1.0,-1769.0,3639.0,15914.400000000001,47500.750000000175,-66629.83425414366,-69001.75131348513
2019-04-24,238.75,162.9,18.412996313737608,-0.46640804067221436,0.0,0.0,-0.0,19484.60000000002,66985.3500000002,-66629.83425414366,-69001.75131348513
2019-04-25,236.4,163.1,15.792478199942337,-0.8431290473709115,0.0,0.0,-0.0,-0.0,66985.3500000002,-66629.83425414366,-69001.75131348513
2019-04-26,235.25,162.65,15.251143955981718,-0.8720063322253423,0.0,0.0,-0.0,0.0,66985.3500000002,-66629.83425414366,-69001.75131348513
2019-04-30,236.9,163.45,15.81907150080059,-0.724644992972549,0.0,0.0,-0.0,0.0,66985.3500000002,-66629.83425414366,-69001.75131348513
2019-05-02,237.1,163.15,16.424848671493493,-0.5719977800023391,0.0,0.0,-0.0,0.0,66985.3500000002,-66629.83425414366,-69001.75131348513
2019-05-03,236.85,164.5,14.348851403375306,-0.889282333248403,0.0,0.0,-0.0,-0.0,66985.3500000002,-66629.83425414366,-69001.75131348513
2019-05-06,236.1,164.4,13.734110460272944,-0.9409850292577129,0.0,0.0,-0.0,0.0,66985.3500000002,-66629.83425414366,-69001.75131348513
2019-05-07,233.55,165.95,9.087595078359499,-1.7408361118915092,1.0,1820.0,-3465.0,-1000.0,65985.3500000002,-66629.83425414366,-69001.75131348513
2019-05-08,233.85,163.15,13.174848671493493,-0.8703923061120888,1.0,1818.0,-3524.0,10247.99999999991,76233.35000000011,-66629.83425414366,-69001.75131348513
2019-05-09,227.05,163.65,5.6985533870052905,-2.156036952855722,1.0,1872.0,-3513.0,-14124.399999999969,62108.95000000014,-66629.83425414366,-69001.75131348513
2019-05-10,226.0,160.55,8.841584150832233,-1.4107062304738012,1.0,1881.0,-3581.0,8924.699999999957,71033.6500000001,-66629.83425414366,-69001.75131348513
2019-05-13,226.85,158.35,12.667283402580438,-0.7136227911919282,1.0,1874.0,-3631.0,9477.05000000005,80510.70000000014,-66629.83425414366,-69001.75131348513
2019-05-14,226.55,158.4,12.299653874131593,-0.7747346773351118,1.0,1876.0,-3630.0,-743.7500000000093,79766.95000000013,-66629.83425414366,-69001.75131348513
2019-05-15,219.85,157.0,7.493280670698624,-1.5806367351760395,1.0,1933.0,-3662.0,-7487.200000000011,72279.75000000012,-66629.83425414366,-69001.75131348513
2019-05-16,216.9,160.2,0.21499084997401496,-2.6121376594028116,1.0,1960.0,-3589.0,-17420.749999999935,54859.00000000018,-66629.83425414366,-69001.75131348513
2019-05-17,220.9,161.6,2.3213640534069953,-1.9991481530242492,1.0,1924.0,-3558.0,2815.3999999999796,57674.40000000016,-66629.83425414366,-69001.75131348513
2019-05-20,222.45,170.25,-7.82854436823925,-3.1750606035759903,1.0,1911.0,-3377.0,-27794.500000000047,29879.900000000114,-66629.83425414366,-69001.75131348513
2019-05-21,221.95,169.0,-6.6378061570187015,-2.517342365802132,1.0,1915.0,-3402.0,3265.75,33145.65000000011,-66629.83425414366,-69001.75131348513
2019-05-22,226.0,171.25,-5.631134937215677,-2.1020466728606007,1.0,1881.0,-3357.0,101.25000000002183,33246.90000000013,-66629.83425414366,-69001.75131348513
2019-05-23,228.9,168.4,1.123748184367173,-1.2255877313026642,1.0,1857.0,-3414.0,15022.349999999991,48269.250000000124,-66629.83425414366,-69001.75131348513
2019-05-24,229.65,168.65,1.5356005421230634,-1.1113252807037717,1.0,1851.0,-3409.0,539.2499999999999,48808.500000000124,-66629.83425414366,-69001.75131348513
2019-05-27,228.85,167.9,1.750043468855381,-1.0373098610578502,1.0,1857.0,-3424.0,1075.949999999979,49884.4500000001,-66629.83425414366,-69001.75131348513
2019-05-28,235.45,169.55,6.118269030044246,-0.5670520050985853,1.0,1805.0,-3391.0,6606.59999999997,56491.05000000007,-66629.83425414366,-69001.75131348513
2019-05-29,235.45,165.8,11.19048366370589,-0.05514543703698969,0.0,0.0,-0.0,11716.250000000002,68207.30000000008,-66629.83425414366,-69001.75131348513
2019-05-30,237.7,163.7,16.280923858556463,0.44762825346605195,0.0,0.0,-0.0,0.0,68207.30000000008,-66629.83425414366,-69001.75131348513
2019-05-31,238.25,166.2,13.449447436115378,0.1949939166012293,0.0,0.0,-0.0,0.0,68207.30000000008,-66629.83425414366,-69001.75131348513
2019-06-03,245.65,166.4,20.57892932232005,0.9874722719594413,0.0,0.0,-0.0,0.0,68207.30000000008,-66629.83425414366,-69001.75131348513
2019-06-04,248.15,164.85,25.17544470423357,1.5208114221380782,-1.0,-1713.0,3488.0,-1000.0,67207.30000000008,-66629.83425414366,-69001.75131348513
2019-06-06,253.9,163.65,32.548553387005285,2.3164451077102917,-1.0,-1674.0,3513.0,-14035.34999999996,53171.95000000011,-66629.83425414366,-69001.75131348513
2019-06-07,250.3,161.75,31.51847546806053,2.1755306563191557,-1.0,-1698.0,3554.0,-648.3000000000293,52523.65000000008,-66629.83425414366,-69001.75131348513
2019-06-10,244.05,158.9,29.123358589643374,1.847405247708191,-1.0,-1742.0,3618.0,483.6000000000204,53007.2500000001,-66629.83425414366,-69001.75131348513
2019-06-11,243.5,163.5,22.35144197235175,1.0796839632441122,-1.0,-1746.0,3516.0,17600.9,70608.15000000011,-66629.83425414366,-69001.75131348513
2019-06-12,241.75,165.1,18.437297061989455,0.6716386727782392,-1.0,-1758.0,3482.0,8681.09999999998,79289.25000000009,-66629.83425414366,-69001.75131348513
2019-06-13,240.35,163.2,19.607219143044688,0.7681121403753699,-1.0,-1769.0,3523.0,-4154.6000000000095,75134.65000000008,-66629.83425414366,-69001.75131348513
2019-06-14,239.9,163.55,18.683812443902923,0.6646356289245857,-1.0,-1772.0,3515.0,2029.10000000006,77163.75000000015,-66629.83425414366,-69001.75131348513
2019-06-17,240.05,158.65,25.461506231887483,1.2853511631347097,-1.0,-1771.0,3624.0,-17489.30000000003,59674.45000000011,-66629.83425414366,-69001.75131348513
2019-06-18,245.1,160.4,28.1444727361787,1.4618056962449422,-1.0,-1734.0,3584.0,-2601.549999999971,57072.90000000014,-66629.83425414366,-69001.75131348513
2019-06-19,241.8,161.6,23.221364053407,0.9394472258430823,-1.0,-1758.0,3558.0,10022.99999999993,67095.90000000007,-66629.83425414366,-69001.75131348513
2019-06-20,245.1,166.25,20.23181790766654,0.6284213122627945,-1.0,-1734.0,3458.0,10743.300000000048,77839.20000000011,-66629.83425414366,-69001.75131348513
2019-06-21,239.0,165.2,15.552038005091816,0.2021217392486795,-1.0,-1779.0,3480.0,6946.499999999949,84785.70000000007,-66629.83425414366,-69001.75131348513
2019-06-24,241.5,159.45,25.829433776706338,1.0640652163186812,-1.0,-1760.0,3606.0,-24457.5,60328.20000000007,-66629.83425414366,-69001.75131348513
2019-06-25,243.1,160.45,26.076843207729894,1.020835866331777,-1.0,-1749.0,3583.0,790.0000000000095,61118.20000000008,-66629.83425414366,-69001.75131348513
2019-06-26,245.05,161.8,26.200845939611696,0.9768885589091713,-1.0,-1735.0,3553.0,1426.5000000000523,62544.70000000013,-66629.83425414366,-69001.75131348513
2019-06-27,244.15,164.85,21.17544470423357,0.5094185020794105,-1.0,-1741.0,3488.0,12398.149999999949,74942.85000000008,-66629.83425414366,-69001.75131348513
2019-06-28,238.55,162.0,19.43032782581642,0.32866908597825517,-1.0,-1782.0,3549.0,-191.199999999988,74751.6500000001,-66629.83425414366,-69001.75131348513
2019-07-01,234.0,155.25,24.010314166407397,0.6732680121941863,-1.0,-1817.0,3703.0,-15847.64999999998,58904.00000000012,-66629.83425414366,-69001.75131348513
2019-07-02,237.45,159.9,21.170768020666912,0.3768183639803318,-1.0,-1790.0,3596.0,10950.300000000043,69854.30000000016,-66629.83425414366,-69001.75131348513
2019-07-03,235.7,160.55,18.54158415083222,0.07104725159181904,0.0,0.0,-0.0,4469.90000000002,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-04,235.85,161.35,17.609511695651094,-0.10721420662035827,0.0,0.0,-0.0,0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-05,226.65,155.75,15.984018881919184,-0.40983330515938976,0.0,0.0,-0.0,0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-08,217.15,146.65,18.792593059604798,-0.14502112284959115,0.0,0.0,-0.0,0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-09,214.35,147.65,14.640002490628348,-0.8570919632388465,0.0,0.0,-0.0,-0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-10,218.1,145.9,20.757035986337115,-0.024850174648370627,0.0,0.0,-0.0,0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-11,219.65,147.35,20.345779661321302,-0.19977187435056987,0.0,0.0,-0.0,0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-12,216.0,143.95,21.294587595841193,-0.08261662874081313,0.0,0.0,-0.0,0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-15,215.15,144.95,19.09199702686476,-0.5810701283930366,0.0,0.0,-0.0,-0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-16,217.55,146.5,19.395481644951275,-0.5861013829880675,0.0,0.0,-0.0,0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-17,214.75,144.15,19.77406948204589,-0.4919082919819208,0.0,0.0,-0.0,0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-18,205.05,137.65,18.86590818039278,-0.6551024337341358,0.0,0.0,-0.0,0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
2019-07-19,206.65,138.15,19.789612895904554,-0.38911670106805685,0.0,0.0,-0.0,0.0,74324.20000000019,-66629.83425414366,-69001.75131348513
