date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2019-01-01,2319.5,665.05,4800.892776626637,,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-02,2116.25,669.05,4612.567325316972,,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-03,2021.15,669.15,4517.840439034229,,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-04,2010.35,661.05,4476.818227936304,,0.0,0.0,0.0,-0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-07,1983.05,671.7,4489.254838824318,,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-08,2004.45,670.05,4504.498462489555,,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-09,2029.1,676.1,4551.721842383685,,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-10,2055.6,679.7,4591.653936204986,,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-11,2050.75,683.5,4600.982257460802,,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-14,2048.05,701.9,4666.935181436338,,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-15,2063.8,726.6,4774.844269599151,0.18634492397940494,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-16,2073.55,736.8,4822.651868759502,0.5297038895313637,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-17,2037.0,733.35,4773.229445514089,0.21553998983614556,0.0,0.0,0.0,-0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-18,2012.25,730.95,4739.5247162998885,-0.004247891418114826,0.0,0.0,0.0,-0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-21,2002.8,745.0,4782.497193574686,0.2860060703654724,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-22,2002.35,745.35,4783.353091585091,0.2924027731759443,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-23,2008.9,731.65,4738.7865123206975,-0.02491597828600235,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-24,2011.55,732.0,4742.742410331101,0.011898442617753384,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-25,2005.0,730.35,4730.036033996339,-0.03950555303032426,0.0,0.0,0.0,-0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-28,1998.75,727.95,4714.8313047821375,-0.10233623558620404,0.0,0.0,0.0,-0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-29,1887.7,727.9,4603.594747923509,-0.9128354796108907,0.0,0.0,0.0,-0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-30,1891.9,725.9,4600.332473578342,-0.893230300580886,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-01-31,1900.55,749.55,4697.22386770994,0.002962892164034654,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-02-01,1966.35,757.05,4791.007396504317,0.9125305463264396,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-02-04,2012.85,755.9,4833.216588755846,1.3982290676720088,0.0,0.0,0.0,0.0,0.0,-14658.331536969174,49695.511615668016
2019-02-05,2047.95,754.85,4864.3988947246335,1.6407349812431717,-1.0,-103.0,-1045.0,-1000.0,-1000.0,-14658.331536969174,49695.511615668016
2019-02-06,2110.4,763.3,4958.377003832964,2.3870860806507292,-1.0,-100.0,-1033.0,-15262.599999999933,-16262.599999999933,-14658.331536969174,49695.511615668016
2019-02-07,2190.4,764.0,5040.988799853772,2.8027399443700216,-1.0,-96.0,-1032.0,-8723.100000000048,-24985.699999999983,-14658.331536969174,49695.511615668016
2019-02-08,2084.75,760.9,4923.772274618763,1.5635970323940136,-1.0,-101.0,-1036.0,13341.600000000031,-11644.099999999951,-14658.331536969174,49695.511615668016
2019-02-11,2075.3,762.8,4921.411435246672,1.451605976589933,-1.0,-102.0,-1034.0,-1013.9499999999952,-12658.049999999947,-14658.331536969174,49695.511615668016
2019-02-12,2113.75,750.45,4913.781891165267,1.3201132551298633,-1.0,-100.0,-1051.0,8847.999999999925,-3810.050000000021,-14658.331536969174,49695.511615668016
2019-02-13,2015.85,754.9,4832.485451583263,0.7181831024920651,-1.0,-105.0,-1045.0,5113.050000000081,1303.00000000006,-14658.331536969174,49695.511615668016
2019-02-14,2001.65,740.05,4762.878064570397,0.2025019216989719,-1.0,-106.0,-1066.0,17009.250000000004,18312.250000000065,-14658.331536969174,49695.511615668016
2019-02-15,2023.4,741.95,4791.717225198307,0.3548127303495741,-1.0,-104.0,-1063.0,-4330.900000000097,13981.34999999997,-14658.331536969174,49695.511615668016
2019-02-18,2015.5,741.05,4780.459201742981,0.2160531227685205,-1.0,-105.0,-1064.0,1778.3000000001061,15759.650000000076,-14658.331536969174,49695.511615668016
2019-02-19,2041.0,724.3,4743.462654102208,-0.14136335863093888,0.0,0.0,0.0,14144.5,29904.150000000074,-14658.331536969174,49695.511615668016
2019-02-20,2052.85,740.7,4816.5033037325775,0.411135617725045,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-02-21,2044.75,733.45,4781.352559231347,0.03175953551467348,0.0,0.0,0.0,-0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-02-22,2059.55,734.95,4801.749264990223,0.1714216815645284,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-02-25,2070.5,754.9,4887.135451583263,1.0011906793159444,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-02-26,2062.0,742.5,4832.369350643227,0.36005219700533597,0.0,0.0,0.0,-0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-02-27,2040.75,735.25,4784.068606141997,-0.17016086584525472,0.0,0.0,0.0,-0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-02-28,1986.9,734.3,4726.674025828042,-0.7626057645432951,0.0,0.0,0.0,-0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-01,1994.85,741.9,4762.980668339677,-0.3598369077939059,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-05,2150.55,732.5,4883.607978917393,0.8983372489160827,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-06,2150.4,732.5,4883.457978917393,0.8505187825515993,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-07,2152.15,722.95,4849.575618919222,0.45909846206547966,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-08,2187.1,712.35,4844.975564889835,0.3758761827137845,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-11,2297.25,711.25,4951.021313999994,1.443603019760857,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-12,2246.2,706.95,4883.927424157885,0.6573941841214139,0.0,0.0,0.0,-0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-13,2277.7,708.45,4921.02412991676,0.991183630569781,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-14,2262.0,708.35,4904.951016199502,0.780638890642517,0.0,0.0,0.0,-0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-15,2261.25,718.55,4942.258615359853,1.2405724871540587,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-18,2225.15,710.2,4875.003619968782,0.28384247154177034,0.0,0.0,0.0,-0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-19,2175.9,722.25,4870.713822898412,0.1909274798830984,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-20,2133.8,738.95,4890.923813680556,0.44894697891754043,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-22,2144.7,743.1,4917.3080329467775,0.7930545001317207,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-25,2115.15,735.25,4858.468606141998,0.014542556383753985,0.0,0.0,0.0,-0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-26,2138.2,727.75,4853.535077347621,0.034719625916859204,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-27,2097.4,729.7,4820.010794834159,-0.4681388233029882,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-28,2089.9,737.8,4842.733005932085,-0.04754149025015632,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-03-29,2054.75,743.85,4830.156385826215,-0.2211254101531931,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-04-01,2004.85,755.1,4822.231679017779,-0.353607312286025,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-04-02,2058.35,759.4,4891.775568859888,0.8124771221820987,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-04-03,2020.25,753.3,4830.915632107129,-0.30768380411146284,0.0,0.0,0.0,-0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-04-04,2048.95,747.9,4839.467491375178,-0.1918652331178157,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-04-05,2098.05,759.3,4931.10245514263,1.4939194582671054,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-04-08,2061.25,767.25,4923.964995664668,1.2499948262500986,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-04-09,2094.7,760.6,4932.602933466988,1.3387081964214789,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-04-10,2097.35,752.7,4905.77694980358,0.7442102695454218,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-04-11,2099.8,742.7,4870.915578077745,0.07482217707491014,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
2019-04-12,2136.1,747.75,4926.057820799291,1.091352774451135,0.0,0.0,0.0,0.0,29904.150000000074,-14658.331536969174,49695.511615668016
