date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2020-01-01,2207.6,536.6,660.3110962305132,,0.0,0.0,-0.0,-0.0,0.0,73224.31599927528,171449.8695490123
2020-01-02,2160.1,539.85,603.4397042490543,,0.0,0.0,-0.0,-0.0,0.0,73224.31599927528,171449.8695490123
2020-01-03,2118.9,532.75,582.7125913470109,,0.0,0.0,-0.0,0.0,0.0,73224.31599927528,171449.8695490123
2020-01-06,2086.05,524.5,573.651509453791,,0.0,0.0,-0.0,0.0,0.0,73224.31599927528,171449.8695490123
2020-01-07,2080.4,526.65,561.801973219903,,0.0,0.0,-0.0,-0.0,0.0,73224.31599927528,171449.8695490123
2020-01-08,1989.2,524.65,476.3689836700314,,0.0,0.0,-0.0,0.0,0.0,73224.31599927528,171449.8695490123
2020-01-09,2032.9,541.25,472.20279693396446,,0.0,0.0,-0.0,0.0,0.0,73224.31599927528,171449.8695490123
2020-01-10,2043.25,546.6,467.1260439798705,,0.0,0.0,-0.0,0.0,0.0,73224.31599927528,171449.8695490123
2020-01-13,2028.0,554.95,427.7987753505838,,0.0,0.0,-0.0,-0.0,0.0,73224.31599927528,171449.8695490123
2020-01-14,2048.95,562.5,426.97831090134855,,0.0,0.0,-0.0,0.0,0.0,73224.31599927528,171449.8695490123
2020-01-15,2062.5,569.75,419.62289801963266,-2.279109552695608,1.0,125.0,-1303.0,-1000.0,-1000.0,73224.31599927528,171449.8695490123
2020-01-16,2153.6,567.45,517.3549600372803,-1.044191363673218,1.0,120.0,-1308.0,14384.399999999929,13384.399999999929,73224.31599927528,171449.8695490123
2020-01-17,2129.2,569.3,487.62047537091166,-1.2857145884951497,1.0,121.0,-1304.0,-5347.799999999892,8036.600000000037,73224.31599927528,171449.8695490123
2020-01-20,2136.5,567.2,500.97583634354646,-1.0773200316922762,1.0,121.0,-1309.0,3621.6999999999034,11658.299999999941,73224.31599927528,171449.8695490123
2020-01-21,2105.65,552.8,511.64831158447237,-0.9178754027359991,1.0,122.0,-1343.0,15116.75000000013,26775.05000000007,73224.31599927528,171449.8695490123
2020-01-22,2110.0,553.6,513.6915074044207,-0.8529107609611052,1.0,122.0,-1341.0,-543.7000000001026,26231.349999999966,73224.31599927528,171449.8695490123
2020-01-23,2091.55,566.5,458.0442900010919,-1.3195951943820465,1.0,123.0,-1311.0,-19549.799999999945,6681.550000000021,73224.31599927528,171449.8695490123
2020-01-24,2093.1,567.75,455.9899084697613,-1.2479982160499494,1.0,123.0,-1308.0,-1448.1000000000333,5233.449999999988,73224.31599927528,171449.8695490123
2020-01-27,2109.5,578.3,441.9689283453333,-1.2964383455886295,1.0,122.0,-1284.0,-11782.199999999928,-6548.74999999994,73224.31599927528,171449.8695490123
2020-01-28,2108.65,572.5,457.84325865070605,-1.0668832136367195,1.0,122.0,-1297.0,7343.499999999953,794.7500000000127,73224.31599927528,171449.8695490123
2020-01-29,2019.2,577.75,353.25485621911866,-1.965686833937222,1.0,128.0,-1285.0,-17722.150000000005,-16927.399999999994,73224.31599927528,171449.8695490123
2020-01-30,2034.05,567.85,396.6515579472548,-1.413739910315918,1.0,127.0,-1308.0,14622.299999999961,-2305.100000000033,73224.31599927528,171449.8695490123
2020-01-31,2028.95,567.15,393.5700116047999,-1.3426749602005905,1.0,127.0,-1309.0,267.90000000007103,-2037.199999999962,73224.31599927528,171449.8695490123
2020-02-01,2005.9,545.2,433.8129512949606,-0.9002414935897115,1.0,128.0,-1362.0,25805.199999999917,23767.999999999956,73224.31599927528,171449.8695490123
2020-02-03,1988.35,558.7,377.33563075659276,-1.358661292331225,1.0,130.0,-1329.0,-20633.400000000023,3134.599999999933,73224.31599927528,171449.8695490123
2020-02-04,1951.25,576.9,287.7558356604234,-2.1145474640062067,1.0,132.0,-1287.0,-29010.799999999897,-25876.199999999964,73224.31599927528,171449.8695490123
2020-02-05,1948.7,584.35,263.72372173369445,-2.1441952139427207,1.0,132.0,-1271.0,-9924.750000000051,-35800.95000000001,73224.31599927528,171449.8695490123
2020-02-06,2039.1,580.15,366.2344436789642,-1.0712562014903655,1.0,126.0,-1280.0,17271.000000000036,-18529.949999999975,73224.31599927528,171449.8695490123
2020-02-07,1973.65,569.1,332.6471764159246,-1.3234556678292124,1.0,130.0,-1305.0,5897.2999999999665,-12632.650000000009,73224.31599927528,171449.8695490123
2020-02-10,1905.7,528.4,382.05583907604046,-0.810176592330901,1.0,135.0,-1405.0,44280.000000000044,31647.350000000035,73224.31599927528,171449.8695490123
