date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2020-01-01,571.95,2167.6,-340.3690511919269,,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-02,573.55,2157.65,-334.5812053904141,,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-03,585.05,2200.65,-341.1794334773548,,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-06,582.0,2200.45,-344.1452556722992,,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-07,584.25,2205.85,-344.16805640879875,,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-08,585.75,2255.25,-363.4599742575168,,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-09,580.3,2214.35,-351.6956131236592,,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-10,580.35,2213.55,-351.308901903437,,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-13,586.5,2190.35,-335.3942765169945,,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-14,594.3,2206.9,-334.5599898853404,,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-15,595.75,2226.9,-341.52777039089426,-0.026920822433767266,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-16,593.25,2238.8,-349.03634979169885,-0.36565651621701867,0.0,0.0,-0.0,-0.0,0.0,327126.4970714222,160350.15685550842
2020-01-17,598.8,2219.1,-335.19483599372813,0.48151464545247,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-20,589.25,2170.35,-324.22649601144064,1.121942016263427,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-21,584.05,2171.05,-329.72111832913515,0.77534894152133,0.0,0.0,-0.0,-0.0,0.0,327126.4970714222,160350.15685550842
2020-01-22,590.65,2206.9,-338.2099898853404,0.3325295851784323,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-23,598.95,2190.95,-323.19680993216105,1.4396228892260237,0.0,0.0,-0.0,0.0,0.0,327126.4970714222,160350.15685550842
2020-01-24,607.7,2183.4,-311.2690977913145,2.310824712825559,-1.0,-1158.0,136.0,-1000.0,-1000.0,327126.4970714222,160350.15685550842
2020-01-27,604.35,2169.25,-308.66351808363515,2.4440208706347057,-1.0,-1165.0,137.0,1954.9000000000142,954.9000000000142,327126.4970714222,160350.15685550842
2020-01-28,601.45,2183.75,-317.66640895016167,1.6676770855829548,-1.0,-1170.0,136.0,5364.999999999974,6319.899999999988,327126.4970714222,160350.15685550842
2020-01-29,608.85,2154.6,-297.9974938633169,2.7132296764791533,-1.0,-1156.0,137.0,-12622.399999999985,-6302.499999999997,327126.4970714222,160350.15685550842
2020-01-30,607.85,2137.85,-291.9476026899156,2.67158398179733,-1.0,-1158.0,139.0,-1138.7500000000002,-7441.249999999997,327126.4970714222,160350.15685550842
2020-01-31,591.4,2079.05,-283.64932800358736,2.7170448750676677,-1.0,-1190.0,142.0,10875.900000000092,3434.650000000095,327126.4970714222,160350.15685550842
2020-02-01,590.9,2164.85,-320.2616063724133,0.7533510094293805,-1.0,-1191.0,137.0,12778.599999999962,16213.250000000058,327126.4970714222,160350.15685550842
2020-02-03,579.1,2102.5,-305.8191756463492,1.358135211166114,-1.0,-1215.0,141.0,5511.8499999999585,21725.100000000017,327126.4970714222,160350.15685550842
2020-02-04,586.5,2107.75,-300.62884302905707,1.516581872096879,-1.0,-1200.0,141.0,-8250.749999999973,13474.350000000044,327126.4970714222,160350.15685550842
2020-02-05,595.6,2146.55,-307.85933720983166,1.0967543443371517,-1.0,-1182.0,138.0,-5449.200000000003,8025.1500000000415,327126.4970714222,160350.15685550842
2020-02-06,599.7,2128.35,-296.09915694977747,1.6083513861632082,-1.0,-1174.0,139.0,-7357.800000000065,667.3499999999767,327126.4970714222,160350.15685550842
2020-02-07,607.7,2136.55,-291.55044695705465,1.718530993529073,-1.0,-1158.0,139.0,-8252.199999999963,-7584.849999999986,327126.4970714222,160350.15685550842
2020-02-10,604.9,2161.95,-305.0410281991079,0.9497430631123448,-1.0,-1163.0,137.0,6773.000000000029,-811.8499999999567,327126.4970714222,160350.15685550842
2020-02-11,610.65,2153.4,-295.6924270329838,1.3272571305806138,-1.0,-1153.0,138.0,-7858.599999999962,-8670.449999999919,327126.4970714222,160350.15685550842
2020-02-12,614.1,2170.75,-299.54485162155174,1.058333806546851,-1.0,-1146.0,136.0,-1583.5500000000648,-10253.999999999984,327126.4970714222,160350.15685550842
2020-02-13,612.45,2191.95,-310.11769895743873,0.5112731105762246,-1.0,-1149.0,135.0,4774.099999999949,-5479.900000000034,327126.4970714222,160350.15685550842
2020-02-14,621.65,2184.2,-297.6558090115367,1.0422223771284513,-1.0,-1132.0,136.0,-11617.049999999921,-17096.949999999953,327126.4970714222,160350.15685550842
2020-02-17,613.45,2203.25,-313.87374494307676,0.22627728734806768,-1.0,-1147.0,134.0,11873.199999999946,-5223.750000000007,327126.4970714222,160350.15685550842
2020-02-18,607.05,2215.75,-325.534857759048,-0.367975485906958,0.0,0.0,-0.0,8015.800000000105,2792.0500000000975,327126.4970714222,160350.15685550842
2020-02-19,605.75,2196.35,-318.66961066866065,-0.11219685766010272,0.0,0.0,-0.0,0.0,2792.0500000000975,327126.4970714222,160350.15685550842
2020-02-20,608.05,2156.8,-299.723449718928,0.861815587780727,0.0,0.0,-0.0,0.0,2792.0500000000975,327126.4970714222,160350.15685550842
2020-02-24,595.15,2115.35,-295.1775996211676,1.0831805391723055,0.0,0.0,-0.0,0.0,2792.0500000000975,327126.4970714222,160350.15685550842
2020-02-25,582.45,2156.15,-325.0498718524974,-0.7525186549364951,0.0,0.0,-0.0,-0.0,2792.0500000000975,327126.4970714222,160350.15685550842
2020-02-26,583.6,2123.6,-310.19993407970844,0.1100012792992916,0.0,0.0,-0.0,0.0,2792.0500000000975,327126.4970714222,160350.15685550842
2020-02-27,573.05,2105.5,-313.13184272218234,-0.13836003254173043,0.0,0.0,-0.0,0.0,2792.0500000000975,327126.4970714222,160350.15685550842
2020-02-28,534.35,2000.15,-307.4911839091774,0.1653260614193054,0.0,0.0,-0.0,0.0,2792.0500000000975,327126.4970714222,160350.15685550842
2020-03-02,549.7,2001.3,-292.62520628824666,1.2501925000211183,0.0,0.0,-0.0,0.0,2792.0500000000975,327126.4970714222,160350.15685550842
2020-03-03,565.05,2036.2,-291.96423327043817,1.2207313824115587,0.0,0.0,-0.0,0.0,2792.0500000000975,327126.4970714222,160350.15685550842
2020-03-04,563.1,2083.2,-313.6960174584897,-0.5676133810051969,0.0,0.0,-0.0,-0.0,2792.0500000000975,327126.4970714222,160350.15685550842
2020-03-05,576.4,2125.05,-318.01022316636124,-1.0974904210045657,0.0,0.0,-0.0,0.0,2792.0500000000975,327126.4970714222,160350.15685550842
2020-03-06,566.2,2116.45,-324.5905775489729,-1.7384075075191439,1.0,1243.0,-140.0,-1000.0,1792.0500000000975,327126.4970714222,160350.15685550842
2020-03-09,540.45,1972.35,-289.6904690064574,1.4243131347891729,0.0,0.0,-0.0,-12833.250000000011,-11041.199999999913,327126.4970714222,160350.15685550842
2020-03-11,536.8,1953.7,-285.4908886850286,1.6821249692309117,-1.0,-1311.0,152.0,-1000.0,-12041.199999999913,327126.4970714222,160350.15685550842
2020-03-12,493.35,1769.85,-251.5604413877246,4.35212307869307,-1.0,-1427.0,167.0,29017.749999999887,16976.549999999974,327126.4970714222,160350.15685550842
2020-03-13,492.9,1806.3,-267.3518463590966,2.2901060828535997,-1.0,-1428.0,164.0,6729.300000000074,23705.85000000005,327126.4970714222,160350.15685550842
2020-03-16,450.7,1696.4,-263.2961424810782,2.3196048809107137,-1.0,-1562.0,175.0,42238.0,65943.85000000005,327126.4970714222,160350.15685550842
2020-03-17,450.65,1658.0,-247.18400391041473,3.03745776173078,-1.0,-1562.0,179.0,-6641.899999999998,59301.950000000055,327126.4970714222,160350.15685550842
2020-03-18,434.25,1654.4,-262.0688034194151,1.8394637454400364,-1.0,-1621.0,179.0,24972.399999999983,84274.35000000003,327126.4970714222,160350.15685550842
2020-03-19,413.45,1636.35,-275.27175651315264,1.050710168800985,-1.0,-1702.0,181.0,30485.849999999984,114760.20000000001,327126.4970714222,160350.15685550842
2020-03-20,444.9,1797.45,-311.62697848538903,-0.7070221599874782,0.0,0.0,-0.0,-25368.799999999963,89391.40000000005,327126.4970714222,160350.15685550842
2020-03-23,417.15,1669.7,-285.60840550616376,0.5135904176704685,0.0,0.0,-0.0,0.0,89391.40000000005,327126.4970714222,160350.15685550842
2020-03-24,442.05,1703.15,-274.7871434017026,0.9970535015614983,0.0,0.0,-0.0,0.0,89391.40000000005,327126.4970714222,160350.15685550842
2020-03-25,457.6,1750.3,-279.0820609435457,0.7598883843619427,0.0,0.0,-0.0,0.0,89391.40000000005,327126.4970714222,160350.15685550842
2020-03-26,447.7,1790.95,-306.091199821084,-0.5098057748385234,0.0,0.0,-0.0,-0.0,89391.40000000005,327126.4970714222,160350.15685550842
2020-03-27,430.65,1824.5,-337.26202661915056,-1.9006341223850907,1.0,1634.0,-162.0,-1000.0,88391.40000000005,327126.4970714222,160350.15685550842
2020-03-30,419.0,1778.5,-329.55113145637677,-1.4130285923726942,1.0,1680.0,-167.0,-11584.099999999962,76807.30000000009,327126.4970714222,160350.15685550842
2020-03-31,436.4,1826.1,-332.18544905959493,-1.4573764068366237,1.0,1613.0,-162.0,21282.799999999974,98090.10000000006,327126.4970714222,160350.15685550842
2020-04-01,413.55,1708.75,-305.64412194325763,-0.2964262863461188,1.0,1702.0,-173.0,-17846.34999999996,80243.7500000001,327126.4970714222,160350.15685550842
2020-04-03,405.8,1654.2,-290.4346256143595,0.3048822619683392,0.0,0.0,-0.0,-4753.350000000008,75490.4000000001,327126.4970714222,160350.15685550842
2020-04-07,451.15,1775.2,-296.0121976729604,0.033198095237618096,0.0,0.0,-0.0,0.0,75490.4000000001,327126.4970714222,160350.15685550842
2020-04-08,463.1,1705.45,-254.7051881598412,1.7307075940864958,-1.0,-1520.0,174.0,-1000.0,74490.4000000001,327126.4970714222,160350.15685550842
2020-04-09,469.05,1766.15,-274.3031519941972,0.808906389423604,-1.0,-1500.0,168.0,1517.8000000000247,76008.20000000013,327126.4970714222,160350.15685550842
2020-04-13,458.25,1759.25,-282.1990177197812,0.46085921293705284,-1.0,-1536.0,168.0,15040.800000000001,91049.00000000013,327126.4970714222,160350.15685550842
2020-04-15,478.75,1735.15,-251.55559221058877,1.6554000321635485,-1.0,-1470.0,171.0,-35536.79999999999,55512.20000000014,327126.4970714222,160350.15685550842
2020-04-16,459.75,1716.05,-262.5166118277848,1.0946485080997153,-1.0,-1531.0,173.0,24663.899999999976,80176.10000000012,327126.4970714222,160350.15685550842
2020-04-17,455.25,1806.2,-304.9597574565688,-0.6296709463924667,0.0,0.0,-0.0,21485.45000000001,101661.55000000013,327126.4970714222,160350.15685550842
2020-04-20,470.0,1818.65,-295.44982582127614,-0.26311904145313697,0.0,0.0,-0.0,0.0,101661.55000000013,327126.4970714222,160350.15685550842
2020-04-21,455.7,1737.65,-275.65781477378306,0.5129208499604261,0.0,0.0,-0.0,0.0,101661.55000000013,327126.4970714222,160350.15685550842
2020-04-22,462.4,1769.5,-282.3631302288775,0.22919112638676295,0.0,0.0,-0.0,0.0,101661.55000000013,327126.4970714222,160350.15685550842
2020-04-23,477.7,1878.25,-312.83481172782655,-1.012574352988301,0.0,0.0,-0.0,0.0,101661.55000000013,327126.4970714222,160350.15685550842
2020-04-24,468.1,1818.55,-297.3077369187482,-0.4089050201229191,0.0,0.0,-0.0,0.0,101661.55000000013,327126.4970714222,160350.15685550842
