date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2020-01-01,1278.6,4065.0,63.97782615970027,,0.0,0.0,-0.0,0.0,0.0,61669.012982950124,150448.95448954485
2020-01-02,1286.75,4244.8,18.40357847052792,,0.0,0.0,-0.0,0.0,0.0,61669.012982950124,150448.95448954485
2020-01-03,1268.4,4219.2,7.702859565315521,,0.0,0.0,-0.0,0.0,0.0,61669.012982950124,150448.95448954485
2020-01-06,1240.95,4157.1,-1.1916577789693292,,0.0,0.0,-0.0,0.0,0.0,61669.012982950124,150448.95448954485
2020-01-07,1260.6,4242.1,-6.939661414006423,,0.0,0.0,-0.0,0.0,0.0,61669.012982950124,150448.95448954485
2020-01-08,1257.3,4318.95,-33.202444700507385,,0.0,0.0,-0.0,-0.0,0.0,61669.012982950124,150448.95448954485
2020-01-09,1271.4,4388.0,-39.73458765344026,,0.0,0.0,-0.0,0.0,0.0,61669.012982950124,150448.95448954485
2020-01-10,1282.7,4444.6,-45.34667007394751,,0.0,0.0,-0.0,0.0,0.0,61669.012982950124,150448.95448954485
2020-01-13,1286.0,4468.7,-49.24775110458722,,0.0,0.0,-0.0,0.0,0.0,61669.012982950124,150448.95448954485
2020-01-14,1289.5,4483.3,-50.110231728958524,,0.0,0.0,-0.0,0.0,0.0,61669.012982950124,150448.95448954485
2020-01-15,1284.25,4506.5,-62.292392721109536,-2.0717818285704825,1.0,600.0,-51.0,-1000.0,-1000.0,61669.012982950124,150448.95448954485
2020-01-16,1287.65,4472.35,-48.688371260680015,-1.6066059084101487,1.0,598.0,-51.0,3781.650000000036,2781.650000000036,61669.012982950124,150448.95448954485
2020-01-17,1278.15,4486.75,-62.4910918764981,-1.809042757112986,1.0,602.0,-51.0,-6415.399999999981,-3633.7499999999454,61669.012982950124,150448.95448954485
2020-01-20,1254.9,4467.65,-80.03401105968373,-2.0321270286724307,1.0,614.0,-51.0,-13022.399999999981,-16656.14999999993,61669.012982950124,150448.95448954485
2020-01-21,1244.35,4483.55,-95.33493173964985,-2.144421705342255,1.0,619.0,-51.0,-7288.60000000014,-23944.75000000007,61669.012982950124,150448.95448954485
2020-01-22,1240.85,4476.95,-96.86285145739976,-1.9676028464494453,1.0,620.0,-51.0,-1829.8999999999814,-25774.650000000052,61669.012982950124,150448.95448954485
2020-01-23,1244.85,4526.4,-107.63851357213593,-1.963107100709111,1.0,619.0,-51.0,-41.949999999989814,-25816.600000000042,61669.012982950124,150448.95448954485
2020-01-24,1244.55,4642.75,-142.70389854786026,-2.3376690801287547,1.0,619.0,-50.0,-6119.54999999999,-31936.15000000003,61669.012982950124,150448.95448954485
2020-01-27,1213.2,4676.95,-184.27286001042785,-2.7049987084905194,1.0,635.0,-49.0,-21115.649999999936,-53051.79999999997,61669.012982950124,150448.95448954485
2020-01-28,1223.2,4609.05,-153.98433710667496,-1.9362872287743411,1.0,629.0,-50.0,9677.09999999998,-43374.69999999998,61669.012982950124,150448.95448954485
2020-01-29,1235.85,4568.2,-129.12835535971885,-1.4405775144638528,1.0,623.0,-50.0,9999.349999999933,-33375.35000000005,61669.012982950124,150448.95448954485
2020-01-30,1226.05,4486.0,-114.36699184442432,-1.1518063326335521,1.0,628.0,-51.0,-1995.3999999999814,-35370.75000000003,61669.012982950124,150448.95448954485
2020-01-31,1226.3,4416.1,-93.23086885514113,-0.8130816185203472,1.0,628.0,-52.0,3721.8999999999814,-31648.85000000005,61669.012982950124,150448.95448954485
2020-02-01,1198.7,4265.25,-75.75688240401928,-0.5324037841661643,1.0,642.0,-54.0,-9488.599999999926,-41137.449999999975,61669.012982950124,150448.95448954485
2020-02-03,1192.8,4370.65,-113.1504069114651,-0.9815827253546324,1.0,645.0,-53.0,-9479.400000000038,-50616.85000000001,61669.012982950124,150448.95448954485
2020-02-04,1229.8,4474.25,-107.10609134193396,-0.842395899394627,1.0,626.0,-51.0,18374.199999999983,-32242.65000000003,61669.012982950124,150448.95448954485
2020-02-05,1244.65,4471.8,-91.5240312371593,-0.5669874056347812,1.0,619.0,-51.0,9421.050000000076,-22821.599999999955,61669.012982950124,150448.95448954485
2020-02-06,1239.8,4464.9,-94.31231094207965,-0.5579344766343312,1.0,621.0,-52.0,-2650.250000000057,-25471.850000000013,61669.012982950124,150448.95448954485
2020-02-07,1242.2,4471.8,-93.97403123715935,-0.5020348396280134,1.0,620.0,-51.0,1131.600000000028,-24340.249999999985,61669.012982950124,150448.95448954485
2020-02-10,1240.3,4413.75,-78.52868875464287,-0.18959015653205005,1.0,621.0,-52.0,1782.549999999953,-22557.700000000033,61669.012982950124,150448.95448954485
2020-02-11,1240.6,4466.45,-93.97545100836578,-0.40784700214930186,1.0,621.0,-52.0,-2554.1000000000186,-25111.800000000054,61669.012982950124,150448.95448954485
2020-02-12,1249.0,4453.75,-81.78069046524843,-0.0945746864889727,0.0,0.0,-0.0,4876.8000000000475,-20235.000000000007,61669.012982950124,150448.95448954485
2020-02-13,1241.4,4450.5,-88.40959032626165,-0.17744258335860477,0.0,0.0,-0.0,0.0,-20235.000000000007,61669.012982950124,150448.95448954485
2020-02-14,1219.35,4434.35,-105.6339696356049,-0.5381521204361551,0.0,0.0,-0.0,0.0,-20235.000000000007,61669.012982950124,150448.95448954485
2020-02-17,1217.15,4449.85,-112.46537029846445,-0.6700449456068557,0.0,0.0,-0.0,-0.0,-20235.000000000007,61669.012982950124,150448.95448954485
2020-02-18,1213.25,4475.7,-124.08935140394328,-0.9621875733006974,0.0,0.0,-0.0,-0.0,-20235.000000000007,61669.012982950124,150448.95448954485
2020-02-19,1227.2,4473.1,-109.36247129275398,-0.46535932543524045,0.0,0.0,-0.0,0.0,-20235.000000000007,61669.012982950124,150448.95448954485
2020-02-20,1217.1,4428.1,-106.01646936832276,-0.30915184187600986,0.0,0.0,-0.0,0.0,-20235.000000000007,61669.012982950124,150448.95448954485
2020-02-24,1209.95,4395.0,-103.27618795279636,-0.16687875170759048,0.0,0.0,-0.0,0.0,-20235.000000000007,61669.012982950124,150448.95448954485
2020-02-25,1200.3,4344.0,-97.68738577177419,0.08063995602102966,0.0,0.0,-0.0,0.0,-20235.000000000007,61669.012982950124,150448.95448954485
2020-02-26,1199.25,4341.5,-97.99038566486138,0.13224639744861685,0.0,0.0,-0.0,0.0,-20235.000000000007,61669.012982950124,150448.95448954485
2020-02-27,1199.45,4321.65,-91.85920481597304,0.41568979544650153,0.0,0.0,-0.0,0.0,-20235.000000000007,61669.012982950124,150448.95448954485
2020-02-28,1177.65,4219.6,-83.16666045179068,0.865164134848845,0.0,0.0,-0.0,0.0,-20235.000000000007,61669.012982950124,150448.95448954485
2020-03-02,1179.6,4141.7,-57.940137120386,2.007734858140114,-1.0,-653.0,56.0,-1000.0,-21235.000000000007,61669.012982950124,150448.95448954485
2020-03-03,1181.8,4299.9,-103.01030388583126,0.047859225863490076,0.0,0.0,-0.0,6422.59999999996,-14812.400000000047,61669.012982950124,150448.95448954485
2020-03-04,1148.85,4172.8,-97.98281845038218,0.26383474763927983,0.0,0.0,-0.0,0.0,-14812.400000000047,61669.012982950124,150448.95448954485
2020-03-05,1151.35,4205.55,-105.26851985094049,-0.03233463928143937,0.0,0.0,-0.0,0.0,-14812.400000000047,61669.012982950124,150448.95448954485
2020-03-06,1134.9,4167.85,-110.45375823869449,-0.24758728422723972,0.0,0.0,-0.0,0.0,-14812.400000000047,61669.012982950124,150448.95448954485
2020-03-09,1107.3,4097.35,-116.98835522375225,-0.5839357010175279,0.0,0.0,-0.0,0.0,-14812.400000000047,61669.012982950124,150448.95448954485
2020-03-11,1113.8,3993.4,-79.42809077831566,1.2049708659139948,0.0,0.0,-0.0,0.0,-14812.400000000047,61669.012982950124,150448.95448954485
2020-03-12,1021.3,3663.5,-73.35395667009561,1.6425052142743315,-1.0,-754.0,63.0,-1000.0,-15812.400000000047,61669.012982950124,150448.95448954485
2020-03-13,1069.8,3788.9,-62.32348203284437,2.3074902768069636,-1.0,-720.0,61.0,-28668.799999999996,-44481.20000000004,61669.012982950124,150448.95448954485
2020-03-16,999.5,3518.05,-51.69349044990577,2.742237339719592,-1.0,-770.0,65.0,34094.14999999998,-10387.050000000061,61669.012982950124,150448.95448954485
2020-03-17,975.1,3470.45,-61.8706084142849,1.797278004830893,-1.0,-790.0,66.0,15693.999999999958,5306.949999999897,61669.012982950124,150448.95448954485
2020-03-18,876.9,3303.55,-110.20088127678287,-0.9306258954559864,0.0,0.0,-0.0,65562.60000000005,70869.54999999994,61669.012982950124,150448.95448954485
2020-03-19,895.55,3166.05,-50.46587539657594,2.33828352061156,-1.0,-860.0,73.0,-1000.0,69869.54999999994,61669.012982950124,150448.95448954485
2020-03-20,882.85,3573.85,-185.01653283620055,-4.790390618204837,0.0,0.0,-0.0,39691.39999999992,109560.94999999987,61669.012982950124,150448.95448954485
2020-03-23,771.55,3054.85,-141.23931064109217,-1.8040092516651158,1.0,998.0,-75.0,-1000.0,108560.94999999987,61669.012982950124,150448.95448954485
2020-03-24,767.7,3018.1,-134.10840906947317,-1.396161079268761,1.0,1003.0,-76.0,-1086.0499999999088,107474.89999999995,61669.012982950124,150448.95448954485
2020-03-25,856.75,3228.6,-107.95581807153542,-0.38088965380963385,1.0,899.0,-71.0,73319.14999999997,180794.04999999993,61669.012982950124,150448.95448954485
2020-03-26,901.1,3229.15,-63.77015809505633,1.2234260542460604,0.0,0.0,-0.0,38831.60000000001,219625.64999999994,61669.012982950124,150448.95448954485
2020-03-27,904.45,3143.6,-34.857814436498415,2.1630550467060745,-1.0,-851.0,73.0,-1000.0,218625.64999999994,61669.012982950124,150448.95448954485
2020-03-30,831.65,3085.9,-90.41705196894986,0.16778831249632523,-1.0,-926.0,75.0,57740.70000000008,276366.35000000003,61669.012982950124,150448.95448954485
2020-03-31,861.9,3244.85,-107.66131876646898,-0.38888246786826614,0.0,0.0,-0.0,-17090.250000000015,259276.10000000003,61669.012982950124,150448.95448954485
