Date,Price_A,Price_B,Spread,ZScore,Position,Quantity_A,Quantity_B,Daily_PnL,Cumulative_PnL
2020-01-01,1936.55,1674.05,1761.5680089038192,-2.1365454813996854,0.0,0.0,-0.0,0.0,0.0
2020-01-02,1938.05,1671.55,1763.3293242634204,-2.1208214695828076,1.0,516.0,-63.0,-1000.0,-1000.0
2020-01-03,1927.45,1657.1,1754.2397270419156,-2.2019681724389963,1.0,519.0,-63.0,-4559.24999999995,-5559.24999999995
2020-01-06,1915.45,1652.55,1742.71532099639,-2.3048514499023636,1.0,522.0,-63.0,-5941.350000000003,-11500.599999999953
2020-01-07,1920.7,1670.85,1746.052492564109,-2.275059099043831,1.0,521.0,-63.0,1587.6000000000029,-9912.99999999995
2020-01-08,1929.35,1654.85,1756.3749108655566,-2.18290647772821,1.0,518.0,-63.0,5514.64999999993,-4398.350000000021
2020-01-09,1935.05,1665.05,1761.0087441983837,-2.1415382754436894,1.0,517.0,-63.0,2310.000000000021,-2088.3500000000004
2020-01-10,1954.0,1684.7,1777.904805471918,-1.9906999456264238,1.0,512.0,-62.0,8559.200000000017,6470.850000000017
2020-01-13,1994.85,1691.1,1818.0858381513387,-1.6319867661713776,1.0,501.0,-62.0,20518.39999999996,26989.249999999978
2020-01-14,2008.8,1676.8,1833.530562008258,-1.4941051431498222,1.0,498.0,-62.0,7875.55000000002,34864.799999999996
2020-01-15,2021.65,1675.6,1846.5059933808666,-1.3782679450468212,1.0,495.0,-62.0,6473.70000000007,41338.500000000065
2020-01-16,2049.25,1701.55,1871.3935399482057,-1.1560862248995918,1.0,488.0,-61.0,12053.099999999951,53391.60000000002
2020-01-17,2060.3,1698.1,1882.8041551444555,-1.0542188067761842,1.0,485.0,-62.0,5602.850000000091,58994.45000000011
2020-01-20,2062.85,1617.9,1893.737151880463,-0.9566152919179537,1.0,485.0,-65.0,6209.149999999856,65203.59999999997
2020-01-21,2055.4,1625.1,1885.5345636448117,-1.0298432880535042,1.0,487.0,-64.0,-4081.2499999999,61122.35000000007
