Date,Price_A,Price_B,Spread,ZScore,Position,Quantity_A,Quantity_B,Daily_PnL,Cumulative_PnL
2020-01-01,1936.55,46.75,1813.6535870265268,-2.115149547122928,0.0,0.0,-0.0,0.0,0.0
2020-01-02,1938.05,48.5,1810.5531865408889,-2.1429259853533633,1.0,516.0,-54202.0,-1000.0,-1000.0
2020-01-03,1927.45,48.35,1800.347506582515,-2.23435850843434,1.0,519.0,-54370.0,2660.69999999997,1660.6999999999698
2020-01-06,1915.45,47.3,1791.107746873898,-2.3171373674879825,1.0,522.0,-55577.0,50860.50000000023,52521.2000000002
2020-01-07,1920.7,47.6,1795.5691067906457,-2.277168115539621,1.0,521.0,-55227.0,-13932.600000000235,38588.59999999996
2020-01-08,1929.35,47.5,1804.4819868183963,-2.197317766304769,1.0,518.0,-55343.0,10029.35000000001,48617.94999999997
2020-01-09,1935.05,48.3,1808.0789465963903,-2.1650926613373205,1.0,517.0,-54427.0,-41321.79999999982,7296.150000000147
2020-01-10,1954.0,48.6,1826.2403065131382,-2.002385329092643,1.0,512.0,-54091.0,-6530.950000000208,765.1999999999389
2020-01-13,1994.85,49.55,1864.592946249506,-1.6587846447468073,1.0,501.0,-53053.0,-30471.249999999818,-29706.04999999988
2020-01-14,2008.8,49.85,1877.7543061662539,-1.5408722323183035,1.0,498.0,-52734.0,-8926.950000000204,-38633.00000000009
2020-01-15,2021.65,50.2,1889.6842260691262,-1.4339922712257958,1.0,495.0,-52367.0,-12057.600000000006,-50690.60000000009
2020-01-16,2049.25,49.45,1919.2558262772568,-1.169060779193967,1.0,488.0,-53161.0,52937.249999999956,2246.649999999863
2020-01-17,2060.3,49.5,1930.1743862633816,-1.0712415753766589,1.0,485.0,-53107.0,2734.35000000024,4981.000000000104
2020-01-20,2062.85,49.05,1933.9073463882596,-1.0377980454824824,1.0,485.0,-53594.0,25134.90000000002,30115.900000000125
2020-01-21,2055.4,47.6,1930.2691067906458,-1.0703929756919102,1.0,487.0,-55227.0,74098.04999999986,104213.94999999998
2020-01-22,2051.7,47.5,1926.8319868183962,-1.1011860784030074,1.0,487.0,-55343.0,3720.799999999946,107934.74999999993
2020-01-23,2056.9,48.0,1930.7175866796426,-1.066375051558554,1.0,486.0,-54767.0,-25139.099999999868,82795.65000000005
2020-01-24,2073.7,48.35,1946.5975065825148,-0.9241071038112709,1.0,482.0,-54370.0,-11003.65000000021,71791.99999999984
2020-01-27,2061.35,46.25,1939.7679871652806,-0.9852926587468721,1.0,485.0,-56839.0,108224.30000000012,180016.29999999996
