date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2021-01-01,2775.55,194.05,1614.184818522314,,0.0,0.0,-0.0,0.0,0.0,109419.75464322379,421669.67276475125
2021-01-04,2753.7,198.2,1567.4975832575242,,0.0,0.0,-0.0,-0.0,0.0,109419.75464322379,421669.67276475125
2021-01-05,2793.85,203.15,1578.0224472187995,,0.0,0.0,-0.0,0.0,0.0,109419.75464322379,421669.67276475125
2021-01-06,2805.35,203.2,1589.2232034204285,,0.0,0.0,-0.0,0.0,0.0,109419.75464322379,421669.67276475125
2021-01-07,2792.25,203.4,1574.9262282269447,,0.0,0.0,-0.0,-0.0,0.0,109419.75464322379,421669.67276475125
2021-01-08,2844.7,215.1,1557.3531794081405,,0.0,0.0,-0.0,0.0,0.0,109419.75464322379,421669.67276475125
2021-01-11,2849.3,223.4,1512.278708878562,,0.0,0.0,-0.0,0.0,0.0,109419.75464322379,421669.67276475125
2021-01-12,2720.55,228.85,1350.9111348561275,,0.0,0.0,-0.0,-0.0,0.0,109419.75464322379,421669.67276475125
2021-01-13,2703.7,229.5,1330.1709654773047,,0.0,0.0,-0.0,-0.0,0.0,109419.75464322379,421669.67276475125
2021-01-14,2663.9,227.2,1304.1361802023691,,0.0,0.0,-0.0,0.0,0.0,109419.75464322379,421669.67276475125
2021-01-15,2590.9,219.3,1278.4167003449802,-2.3103857397662093,1.0,55.0,-3907.0,-1000.0,-1000.0,109419.75464322379,421669.67276475125
2021-01-18,2588.2,215.8,1296.663766230947,-2.004197414669148,1.0,55.0,-3970.0,13525.999999999987,12525.999999999987,109419.75464322379,421669.67276475125
2021-01-19,2645.05,215.1,1357.7031794081408,-1.280610700720898,1.0,54.0,-3983.0,5905.750000000087,18431.750000000073,109419.75464322379,421669.67276475125
2021-01-20,2697.25,222.5,1365.615097249239,-1.1660418967329609,1.0,53.0,-3851.0,-26655.40000000003,-8223.649999999958,109419.75464322379,421669.67276475125
2021-01-21,2716.35,222.9,1382.3211468622712,-1.008126839004635,1.0,53.0,-3844.0,-528.1000000000265,-8751.749999999984,109419.75464322379,421669.67276475125
2021-01-22,2596.65,222.4,1265.613584845981,-2.147072785409135,1.0,55.0,-3853.0,-4422.09999999999,-13173.849999999973,109419.75464322379,421669.67276475125
2021-01-25,2513.95,218.6,1205.6561135221734,-2.5003796661137434,1.0,57.0,-3920.0,10092.900000000029,-3080.9499999999443,109419.75464322379,421669.67276475125
2021-01-27,2436.6,223.2,1100.7756840720456,-3.0958031886578614,1.0,59.0,-3839.0,-22440.949999999975,-25521.89999999992,109419.75464322379,421669.67276475125
2021-01-28,2441.7,215.95,1149.2660348358343,-2.240880699420038,1.0,59.0,-3968.0,28133.649999999994,2611.7500000000728,109419.75464322379,421669.67276475125
2021-01-29,2407.35,208.95,1156.8101666077685,-1.949391659726881,1.0,59.0,-4101.0,25749.350000000006,28361.10000000008,109419.75464322379,421669.67276475125
2021-02-01,2447.8,210.75,1186.487389866414,-1.5747128434069675,1.0,58.0,-4066.0,-4995.250000000031,23365.85000000005,109419.75464322379,421669.67276475125
2021-02-02,2463.65,214.2,1181.6895677788182,-1.4843218557351583,1.0,58.0,-4000.0,-13108.399999999958,10257.450000000092,109419.75464322379,421669.67276475125
2021-02-03,2453.65,216.75,1156.428134061899,-1.5299755003486635,1.0,58.0,-3953.0,-10780.000000000045,-522.5499999999538,109419.75464322379,421669.67276475125
2021-02-04,2401.8,214.95,1115.3509108032538,-1.6591039525275804,1.0,60.0,-3986.0,4108.10000000005,3585.5500000000966,109419.75464322379,421669.67276475125
2021-02-05,2376.75,212.8,1103.1683941332046,-1.5965481485355564,1.0,60.0,-4026.0,7066.8999999999,10652.449999999997,109419.75464322379,421669.67276475125
2021-02-08,2416.85,217.65,1114.2417456912217,-1.4112879881289024,1.0,59.0,-3937.0,-17120.099999999984,-6467.649999999987,109419.75464322379,421669.67276475125
2021-02-09,2506.85,219.7,1191.9727499580126,-0.8887913560720588,1.0,57.0,-3900.0,-2760.849999999932,-9228.49999999992,109419.75464322379,421669.67276475125
2021-02-10,2510.6,219.5,1196.9197251514963,-0.8035834550029656,1.0,57.0,-3904.0,993.7499999999557,-8234.749999999964,109419.75464322379,421669.67276475125
2021-02-11,2505.5,218.5,1197.8046011189156,-0.7441599602330795,1.0,57.0,-3921.0,3613.300000000005,-4621.449999999959,109419.75464322379,421669.67276475125
2021-02-12,2486.1,221.0,1163.4424112003676,-0.8864760435891857,1.0,58.0,-3877.0,-10908.300000000005,-15529.749999999964,109419.75464322379,421669.67276475125
2021-02-15,2456.75,219.85,1140.9750185628998,-0.9656574028048683,1.0,58.0,-3897.0,2756.2500000000273,-12773.499999999936,109419.75464322379,421669.67276475125
2021-02-16,2450.25,218.8,1140.7591383286897,-0.9168719228557916,1.0,58.0,-3916.0,3714.849999999934,-9058.650000000001,109419.75464322379,421669.67276475125
2021-02-17,2388.15,215.1,1100.8031794081407,-1.1224895217937223,1.0,60.0,-3983.0,10887.400000000074,1828.7500000000728,109419.75464322379,421669.67276475125
2021-02-18,2470.75,216.5,1175.0243530537539,-0.5702277875065206,1.0,58.0,-3958.0,-620.2000000000271,1208.5500000000457,109419.75464322379,421669.67276475125
2021-02-19,2416.45,215.0,1129.7016670048824,-0.8618606795099317,1.0,59.0,-3985.0,2787.5999999999894,3996.150000000035,109419.75464322379,421669.67276475125
2021-02-22,2387.05,209.35,1134.116216220801,-0.8009466121549514,1.0,60.0,-4093.0,20780.650000000045,24776.80000000008,109419.75464322379,421669.67276475125
2021-02-23,2372.2,207.75,1128.8420177686712,-0.8388081236192615,1.0,60.0,-4124.0,5657.799999999955,30434.600000000035,109419.75464322379,421669.67276475125
2021-02-24,2361.35,211.55,1095.2494890924786,-1.2159037295373174,1.0,61.0,-4050.0,-16322.20000000004,14112.399999999994,109419.75464322379,421669.67276475125
2021-02-25,2373.75,210.65,1113.0358774631559,-0.9456927256001072,1.0,60.0,-4068.0,4401.400000000029,18513.800000000025,109419.75464322379,421669.67276475125
2021-02-26,2277.2,205.15,1049.402695283961,-1.6482059644752711,1.0,63.0,-4177.0,16580.99999999999,35094.80000000002,109419.75464322379,421669.67276475125
2021-03-01,2362.3,207.2,1122.2336995507521,-0.6730122506463161,1.0,61.0,-4135.0,-3201.5499999999047,31893.250000000113,109419.75464322379,421669.67276475125
2021-03-02,2390.4,215.2,1102.454691811399,-0.860921201571602,1.0,60.0,-3982.0,-31365.900000000005,527.3500000001077,109419.75464322379,421669.67276475125
