date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2021-01-01,623.8,900.15,243.06316877820512,,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-04,624.7,897.85,244.93600076377442,,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-05,664.45,921.65,274.6193045652756,,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-06,654.25,922.35,264.1232252653197,,0.0,0.0,-0.0,-0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-07,671.1,952.05,268.4110035386216,,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-08,672.7,939.8,275.192391287849,,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-11,666.95,929.1,273.96817487288837,,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-12,675.7,927.65,283.3314819942255,,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-13,687.8,942.75,289.0446285237492,,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-14,676.0,969.7,265.84557547544915,,0.0,0.0,-0.0,-0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-15,674.85,965.9,266.3028631037809,1.0430899403553908,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-18,657.0,932.8,262.45318428740745,0.7985619471926569,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-19,668.75,939.9,271.2000942449981,1.149601301433727,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-20,675.75,947.7,274.90092490263294,1.2453932481087728,0.0,0.0,-0.0,0.0,0.0,43884.257774927864,-6665.555740709882
2021-01-21,675.85,925.85,284.2428287655405,1.5849228937617539,-1.0,-1040.0,321.0,-1000.0,-1000.0,43884.257774927864,-6665.555740709882
2021-01-22,644.5,893.3,266.6605162134874,0.69770752831721,-1.0,-1090.0,333.0,22155.449999999997,21155.449999999997,43884.257774927864,-6665.555740709882
2021-01-25,658.4,849.15,299.2346606321312,2.07120796342221,-1.0,-1067.0,350.0,-29852.949999999968,-8697.49999999997,43884.257774927864,-6665.555740709882
2021-01-27,632.1,820.15,285.20080305887353,1.2992860435889473,-1.0,-1112.0,362.0,17912.099999999948,9214.599999999977,43884.257774927864,-6665.555740709882
2021-01-28,670.7,802.6,331.22393407919515,3.1338171834244117,-1.0,-1048.0,370.0,-49276.30000000001,-40061.70000000003,43884.257774927864,-6665.555740709882
2021-01-29,662.9,846.1,305.02472043908165,1.7081650135249975,-1.0,-1060.0,351.0,24269.400000000074,-15792.29999999996,43884.257774927864,-6665.555740709882
2021-02-01,709.35,970.6,298.81490208979164,1.3655424248634438,-1.0,-991.0,306.0,-5537.500000000051,-21329.80000000001,43884.257774927864,-6665.555740709882
2021-02-02,714.2,975.65,301.5289014258245,1.4217112931441307,-1.0,-984.0,305.0,-3261.0500000000357,-24590.850000000046,43884.257774927864,-6665.555740709882
2021-02-03,733.8,1048.55,290.2943571875654,0.8851978030129308,-1.0,-958.0,283.0,2948.100000000086,-21642.74999999996,43884.257774927864,-6665.555740709882
2021-02-04,743.9,1032.15,307.3310722151024,1.551515398161771,-1.0,-945.0,288.0,-14316.999999999982,-35959.74999999994,43884.257774927864,-6665.555740709882
2021-02-05,719.6,1025.1,286.0130137360864,0.5525880742068332,-1.0,-977.0,290.0,20933.099999999904,-15026.650000000038,43884.257774927864,-6665.555740709882
