date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2021-01-01,3567.8,2387.55,987.2128967656508,,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-04,3552.9,2426.5,930.2137291373383,,0.0,0.0,-0.0,-0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-05,3551.1,2450.55,902.4192495106136,,0.0,0.0,-0.0,-0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-06,3539.7,2417.3,926.9575633396607,,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-07,3552.8,2368.85,992.4248206334164,,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-08,3575.25,2391.2,990.7177886310342,,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-11,3612.85,2429.1,987.3535151236383,,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-12,3631.65,2375.9,1063.6548172501143,,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-13,3621.15,2372.35,1056.9918402303588,,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-14,3665.45,2398.55,1072.9735297846123,,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-15,3609.05,2351.15,1067.8058929574504,-0.24924247968951677,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-18,3607.85,2332.6,1086.6556890936558,-0.014859358565087123,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-19,3601.25,2363.15,1047.0356744326814,-0.3372606017557756,0.0,0.0,-0.0,-0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-20,3592.3,2355.95,1045.867805547543,-0.3077997178061507,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-21,3630.8,2367.65,1071.721842485893,0.0014475023363533168,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-22,3608.0,2409.35,1003.8503331123206,-0.6737683547432122,0.0,0.0,-0.0,-0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-25,3613.55,2399.6,1019.938635663696,-0.4517943624759337,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-27,3610.75,2391.3,1026.1097034766603,-0.3409698304646325,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-28,3603.75,2300.4,1117.3591088017856,0.7537639831618125,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-01-29,3501.1,2263.9,1054.160190147958,0.09454754426653013,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-02-01,3520.75,2248.6,1090.3472187670386,0.6774918729111304,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-02-02,3501.25,2230.45,1090.4646742857517,0.8372189939219586,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-02-03,3516.5,2232.85,1103.1206305807978,1.2160515511659868,0.0,0.0,-0.0,0.0,0.0,5353.4390941196,-5738.099725660214
2021-02-04,3580.0,2245.6,1152.839773398231,2.1491622474470864,-1.0,-134.0,231.0,-1000.0,-1000.0,5353.4390941196,-5738.099725660214
2021-02-05,3541.65,2269.55,1088.6033789258795,0.9709977502009786,-1.0,-136.0,229.0,10671.350000000051,9671.350000000051,5353.4390941196,-5738.099725660214
2021-02-08,3473.7,2236.65,1056.2133947146208,0.38941164110389265,-1.0,-138.0,232.0,1707.1000000000158,11378.450000000066,5353.4390941196,-5738.099725660214
2021-02-09,3462.4,2216.25,1066.9627662067282,0.5533947663387193,-1.0,-139.0,234.0,-3173.4000000000588,8205.050000000007,5353.4390941196,-5738.099725660214
2021-02-10,3424.85,2235.5,1008.6063739899114,-0.4713922517676326,0.0,0.0,-0.0,8723.950000000026,16929.000000000033,5353.4390941196,-5738.099725660214
2021-02-11,3462.75,2263.0,1016.7829565373158,-0.3268130051637379,0.0,0.0,-0.0,0.0,16929.000000000033,5353.4390941196,-5738.099725660214
2021-02-12,3421.25,2241.55,998.4672221503401,-0.6668434605465228,0.0,0.0,-0.0,0.0,16929.000000000033,5353.4390941196,-5738.099725660214
2021-02-15,3417.0,2215.2,1022.6976603276457,-0.256223205459157,0.0,0.0,-0.0,0.0,16929.000000000033,5353.4390941196,-5738.099725660214
2021-02-16,3389.45,2196.1,1015.7919248129028,-0.40153041910238724,0.0,0.0,-0.0,0.0,16929.000000000033,5353.4390941196,-5738.099725660214
2021-02-17,3364.0,2163.9,1025.1453445210327,-0.30665312624013824,0.0,0.0,-0.0,0.0,16929.000000000033,5353.4390941196,-5738.099725660214
2021-02-18,3359.45,2146.85,1039.023863341642,-0.1409607805852424,0.0,0.0,-0.0,0.0,16929.000000000033,5353.4390941196,-5738.099725660214
2021-02-19,3331.2,2181.1,973.7546979688641,-1.8492579526034194,1.0,144.0,-238.0,-1000.0,15929.000000000033,5353.4390941196,-5738.099725660214
2021-02-22,3341.2,2167.6,998.3461938092291,-1.202068787643465,1.0,144.0,-240.0,4653.0,20582.000000000033,5353.4390941196,-5738.099725660214
2021-02-23,3335.95,2179.25,980.504273324766,-1.6475289346890383,1.0,144.0,-238.0,-3552.0000000000223,17030.00000000001,5353.4390941196,-5738.099725660214
2021-02-24,3405.55,2178.85,1050.5366139422586,0.04318362113422456,0.0,0.0,-0.0,9117.600000000075,26147.600000000086,5353.4390941196,-5738.099725660214
2021-02-25,3405.0,2163.3,1066.7938554472712,0.44245931713252123,0.0,0.0,-0.0,0.0,26147.600000000086,5353.4390941196,-5738.099725660214
2021-02-26,3363.75,2132.05,1059.3204661888572,0.255289624791243,0.0,0.0,-0.0,0.0,26147.600000000086,5353.4390941196,-5738.099725660214
2021-03-01,3411.8,2143.4,1095.1028011675135,1.1248774384095737,0.0,0.0,-0.0,0.0,26147.600000000086,5353.4390941196,-5738.099725660214
2021-03-02,3447.95,2177.95,1093.909380331616,1.0558969212084743,0.0,0.0,-0.0,0.0,26147.600000000086,5353.4390941196,-5738.099725660214
2021-03-03,3481.15,2193.5,1110.302138826603,1.428117277646461,0.0,0.0,-0.0,0.0,26147.600000000086,5353.4390941196,-5738.099725660214
