Date,Price_A,Price_B,Spread,ZScore,Position,Quantity_A,Quantity_B,Daily_PnL,Cumulative_PnL
2021-01-01,596.25,194.05,290.81680660322655,0.9171103876502614,0.0,0.0,-0.0,0.0,0.0
2021-01-04,604.4,198.2,292.4347388238058,0.9848481362299242,0.0,0.0,-0.0,0.0,0.0
2021-01-05,603.45,203.15,283.693477255581,0.6188789251306499,0.0,0.0,-0.0,-0.0,0.0
2021-01-06,605.3,203.2,285.4647776437807,0.6930377179581847,0.0,0.0,-0.0,0.0,0.0
2021-01-07,601.9,203.4,281.74997919657966,0.5375107558024166,0.0,0.0,-0.0,-0.0,0.0
2021-01-08,620.8,215.1,282.23427003532095,0.5577864945860518,0.0,0.0,-0.0,0.0,0.0
2021-01-11,621.0,223.4,269.37013447647934,0.019205477967476525,0.0,0.0,-0.0,0.0,0.0
2021-01-12,609.65,228.85,249.44187679025202,-0.8151281805198509,0.0,0.0,-0.0,-0.0,0.0
2021-01-13,602.3,229.5,241.0687818368487,-1.1656834099498108,0.0,0.0,-0.0,-0.0,0.0
2021-01-14,607.05,227.2,249.4389639796603,-0.8152501307653641,0.0,0.0,-0.0,0.0,0.0
2021-01-15,604.3,219.3,259.12350264409986,-0.40978886556664407,0.0,0.0,-0.0,0.0,0.0
2021-01-18,581.45,215.8,241.7824754701175,-1.1358032955183417,0.0,0.0,-0.0,0.0,0.0
2021-01-19,596.55,215.1,257.98427003532095,-0.4574849625017753,0.0,0.0,-0.0,0.0,0.0
2021-01-20,594.7,222.5,244.4867274888839,-1.0225847434595516,0.0,0.0,-0.0,-0.0,0.0
2021-01-21,582.9,222.9,232.05713059448186,-1.5429729888201245,1.0,1716.0,-7061.0,-1000.0,-1000.0
2021-01-22,575.2,222.4,225.14412671248442,-1.832398783629582,1.0,1739.0,-7077.0,-9682.69999999988,-10682.69999999988
2021-01-25,586.4,218.6,242.32529720930341,-1.1130770514737138,1.0,1705.0,-7200.0,46369.399999999965,35686.700000000084
2021-01-27,569.8,223.2,218.48493292368033,-2.111198345732235,1.0,1755.0,-7052.0,-61423.0,-25736.299999999916
2021-01-28,564.35,215.95,224.44637663471678,-1.861611391387862,1.0,1772.0,-7289.0,41562.25000000012,15825.9500000002
2021-01-29,586.2,208.95,257.3143222867519,-0.48553357391878094,0.0,0.0,-0.0,88741.20000000004,104567.15000000024
2021-02-01,590.15,210.75,258.4311362619428,-0.43877607487184866,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-02,609.45,214.2,272.30086304772556,0.1419058930956446,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-03,629.2,216.75,288.03718284591275,0.8007362572484502,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-04,631.5,214.95,293.1703688707218,1.015646659512811,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-05,634.75,212.8,299.8044521781325,1.293394924500725,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-08,634.65,217.65,292.07058983350817,0.9696023599009952,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-02-09,623.6,219.7,277.79390574969796,0.37188236599779606,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-02-10,627.1,219.5,281.60870419689894,0.5315960145745434,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-11,643.65,218.5,299.73269643290394,1.2903907364589664,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-12,627.15,221.0,279.29771584289136,0.4348421789668621,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-02-15,627.5,219.85,281.4578069142972,0.5252784185342266,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-16,631.15,218.8,286.76049876210243,0.7472854980727411,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-17,621.25,215.1,282.684270035321,0.576626583480467,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-18,616.05,216.5,275.28068090491394,0.2666615226925094,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-02-19,607.3,215.0,268.89166925892147,-0.000826360325134664,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-22,595.3,209.35,265.7847253923498,-0.13090435729438438,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-23,604.05,207.75,277.05311296995785,0.3408676952808114,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-24,601.45,211.55,268.4719424731388,-0.018399004670715466,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-02-25,609.55,210.65,277.98853548554325,0.38003090271962175,0.0,0.0,-0.0,0.0,104567.15000000024
2021-02-26,594.6,205.15,271.69549278357096,0.11656093844962874,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-01,604.45,207.2,278.3188086997607,0.39385840653140114,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-02,614.2,215.2,275.4768708117206,0.2748753788801177,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-03,624.35,217.75,281.61319060990775,0.5317838466187722,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-04,618.95,219.4,273.6161034204995,0.19697088318582698,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-03-05,611.2,210.4,280.0320335445446,0.46558575846883665,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-08,614.8,208.45,286.7013184047543,0.7448078020877599,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-09,612.6,209.6,282.69122733334865,0.5769178637322581,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-03-10,626.0,213.35,290.1887564483298,0.8908158970982505,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-12,613.6,212.6,278.9692506253336,0.4210903703057258,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-15,605.5,213.2,269.92485528373055,0.04242989867901783,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-03-16,602.3,214.65,264.4425665415232,-0.18709633964993236,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-03-17,584.75,209.8,254.52642888614758,-0.6022539283533004,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-18,574.55,205.1,251.72419239537112,-0.7195747829964056,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-19,578.3,205.25,255.23809355997037,-0.5724587600914453,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-22,591.0,207.2,264.8688086997607,-0.16925091709050893,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-23,587.85,207.75,260.8531129699579,-0.337375504918064,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-03-24,585.3,205.5,261.8445955009691,-0.29586524042582324,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-25,575.75,199.8,261.26635124619776,-0.3200745141204359,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-26,587.2,201.95,269.332267938787,0.017620124775817054,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-30,597.7,209.05,268.6569230631514,-0.010654447427209094,0.0,0.0,-0.0,0.0,104567.15000000024
2021-03-31,597.8,207.1,271.8262079233611,0.12203357145738854,0.0,0.0,-0.0,0.0,104567.15000000024
2021-04-01,610.75,208.2,283.04481646375564,0.5917215318410712,0.0,0.0,-0.0,0.0,104567.15000000024
2021-04-05,608.8,212.7,274.011851401733,0.2135396101774358,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-04-06,620.45,213.6,284.24525838932857,0.6419802709307928,0.0,0.0,-0.0,0.0,104567.15000000024
2021-04-07,621.05,219.0,276.3457003149014,0.3112505457112646,0.0,0.0,-0.0,0.0,104567.15000000024
2021-04-08,614.25,221.05,266.31901623109115,-0.10853527530025599,0.0,0.0,-0.0,-0.0,104567.15000000024
2021-04-09,636.75,225.05,282.52304728707105,0.5698766925719547,0.0,0.0,-0.0,0.0,104567.15000000024
2021-04-12,619.35,216.3,278.895479352115,0.41800179842729823,0.0,0.0,-0.0,0.0,104567.15000000024
2021-04-13,627.35,209.5,297.5986265569491,1.2010439227481255,0.0,0.0,-0.0,0.0,104567.15000000024
2021-04-15,633.25,215.35,294.2907719763198,1.062554424195128,0.0,0.0,-0.0,0.0,104567.15000000024
2021-04-16,646.05,234.6,276.79142143322315,0.3299114912474838,0.0,0.0,-0.0,0.0,104567.15000000024
2021-04-19,640.65,236.4,268.55823540841413,-0.014786190067278375,0.0,0.0,-0.0,-0.0,104567.15000000024
