date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2022-01-03,1698.15,2523.85,-520.4899454822826,,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-04,1713.55,2583.0,-557.0869154984396,,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-05,1798.85,2576.15,-465.7652883706178,,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-06,1798.65,2595.9,-483.3269140311263,,0.0,0.0,-0.0,-0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-07,1775.7,2572.7,-485.88249806536373,,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-10,1779.9,2657.5,-556.2276046988395,,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-11,1779.95,2653.35,-552.5294656359986,,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-12,1793.55,2612.95,-503.41505162665385,,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-13,1822.5,2619.25,-480.0031904449429,,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-14,1820.95,2592.75,-458.25784462198203,,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-17,1837.05,2597.55,-446.377378959726,-0.058609936402929885,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-18,1815.35,2600.6,-470.75854140350066,-0.3433849456574234,0.0,0.0,-0.0,-0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-19,1807.75,2588.9,-468.0734264552498,-0.27126500140103116,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-20,1725.9,2564.3,-528.2983129743125,-1.0592036909381053,0.0,0.0,-0.0,0.0,0.0,-44254.04116244153,14590.80373239299
2022-01-21,1633.5,2528.15,-588.9199449931784,-1.8753014719695493,1.0,326.0,-185.0,-1000.0,-1000.0,-44254.04116244153,14590.80373239299
2022-01-24,1570.7,2403.05,-541.7483313157279,-1.1174733755892867,1.0,339.0,-195.0,2670.699999999997,1670.699999999997,-44254.04116244153,14590.80373239299
2022-01-25,1552.9,2376.5,-536.209032010082,-0.985163773052991,1.0,343.0,-197.0,-856.9499999999489,813.7500000000482,-44254.04116244153,14590.80373239299
2022-01-27,1536.0,2310.05,-494.6948535219399,-0.22670544065965023,1.0,346.0,-203.0,7293.949999999932,8107.69999999998,-44254.04116244153,14590.80373239299
2022-01-28,1519.85,2315.6,-515.7236900999562,-0.5519867486367077,1.0,350.0,-202.0,-6714.549999999976,1393.1500000000042,-44254.04116244153,14590.80373239299
2022-01-31,1568.95,2360.3,-505.91810362019646,-0.31627749537639616,1.0,339.0,-198.0,8155.599999999991,9548.749999999996,-44254.04116244153,14590.80373239299
2022-02-01,1590.4,2431.8,-547.3215838595065,-1.1024802815148778,1.0,335.0,-192.0,-6885.449999999984,2663.300000000012,-44254.04116244153,14590.80373239299
2022-02-02,1670.6,2464.0,-495.4276267085388,0.07053127586212785,0.0,0.0,-0.0,19684.59999999997,22347.89999999998,-44254.04116244153,14590.80373239299
2022-02-03,1634.8,2474.95,-540.8534394165165,-0.9166681180174884,0.0,0.0,-0.0,-0.0,22347.89999999998,-44254.04116244153,14590.80373239299
2022-02-04,1620.55,2471.15,-551.7629747324697,-1.124581954594587,0.0,0.0,-0.0,0.0,22347.89999999998,-44254.04116244153,14590.80373239299
2022-02-07,1571.15,2409.2,-546.7046096859622,-0.9424333705587242,0.0,0.0,-0.0,0.0,22347.89999999998,-44254.04116244153,14590.80373239299
2022-02-08,1598.9,2443.65,-549.2385592558117,-0.9504834199801127,0.0,0.0,-0.0,0.0,22347.89999999998,-44254.04116244153,14590.80373239299
2022-02-09,1625.8,2484.8,-558.5122755054292,-1.1411193466621807,0.0,0.0,-0.0,0.0,22347.89999999998,-44254.04116244153,14590.80373239299
2022-02-10,1639.35,2491.85,-551.1597165639901,-0.8731885458104408,0.0,0.0,-0.0,0.0,22347.89999999998,-44254.04116244153,14590.80373239299
2022-02-11,1611.3,2442.25,-535.6078617406367,-0.4077177940422701,0.0,0.0,-0.0,0.0,22347.89999999998,-44254.04116244153,14590.80373239299
2022-02-14,1567.4,2398.0,-540.6090295645599,-0.5293920486434079,0.0,0.0,-0.0,0.0,22347.89999999998,-44254.04116244153,14590.80373239299
2022-02-15,1637.5,2495.9,-556.5699486614617,-1.0142797485750528,0.0,0.0,-0.0,0.0,22347.89999999998,-44254.04116244153,14590.80373239299
