date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2022-01-03,182.55,137.3,91.52086263323396,,0.0,0.0,-0.0,0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-04,182.5,142.05,88.32163901712222,,0.0,0.0,-0.0,-0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-05,186.85,144.6,90.98100318110437,,0.0,0.0,-0.0,0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-06,187.4,145.05,91.23265568063063,,0.0,0.0,-0.0,0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-07,187.6,151.3,87.28894039627309,,0.0,0.0,-0.0,0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-10,188.3,152.6,87.12704761712675,,0.0,0.0,-0.0,0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-11,185.1,155.2,82.20326205883401,,0.0,0.0,-0.0,-0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-12,183.85,159.2,78.3012842768452,,0.0,0.0,-0.0,-0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-13,186.75,158.2,81.8642787223424,,0.0,0.0,-0.0,0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-14,188.7,155.3,85.73696261428427,,0.0,0.0,-0.0,0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-17,189.8,160.1,83.65458927589773,-1.449878674239811,0.0,0.0,-0.0,0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-18,188.55,158.1,83.73057816689213,-1.3286113137947428,0.0,0.0,-0.0,0.0,0.0,-76143.52232265135,13474.144209759608
2022-01-19,186.7,164.5,77.63741371571001,-2.7979636162870984,1.0,3221.0,-2424.0,-1000.0,-1000.0,-76143.52232265135,13474.144209759608
2022-01-20,186.0,161.1,79.19159483040052,-2.049470768080446,1.0,3233.0,-2475.0,5986.90000000005,4986.90000000005,-76143.52232265135,13474.144209759608
2022-01-21,180.35,157.9,75.66317705599155,-2.6281239916725445,1.0,3334.0,-2525.0,-10346.450000000046,-5359.5499999999965,-76143.52232265135,13474.144209759608
2022-01-24,176.05,159.95,70.00403844272232,-3.4717703850005317,1.0,3416.0,-2492.0,-19512.449999999903,-24871.999999999898,-76143.52232265135,13474.144209759608
2022-01-25,180.8,159.4,75.11868538774576,-1.9641023533793411,1.0,3326.0,-2501.0,17596.59999999996,-7275.39999999994,-76143.52232265135,13474.144209759608
2022-01-27,180.6,159.95,74.5540384427223,-1.8809776461150824,1.0,3330.0,-2492.0,-2040.750000000014,-9316.149999999954,-76143.52232265135,13474.144209759608
2022-01-28,180.75,163.05,72.64875566168095,-2.018506560677515,1.0,3327.0,-2445.0,-7225.700000000037,-16541.84999999999,-76143.52232265135,13474.144209759608
2022-01-31,188.0,166.85,77.37937676879159,-1.110331619132694,1.0,3199.0,-2389.0,14829.750000000047,-1712.099999999944,-76143.52232265135,13474.144209759608
2022-02-01,178.9,165.2,69.37331760386199,-2.2893201093110878,1.0,3361.0,-2413.0,-25169.04999999997,-26881.149999999914,-76143.52232265135,13474.144209759608
2022-02-02,180.55,165.55,70.79126954793796,-1.836494613285352,1.0,3331.0,-2408.0,4701.099999999965,-22180.04999999995,-76143.52232265135,13474.144209759608
2022-02-03,178.0,161.75,70.76064844082732,-1.6821466439007369,1.0,3378.0,-2465.0,656.3499999999894,-21523.69999999996,-76143.52232265135,13474.144209759608
2022-02-04,177.3,163.85,68.66836010528321,-1.823241831986518,1.0,3392.0,-2433.0,-7541.099999999948,-29064.79999999991,-76143.52232265135,13474.144209759608
2022-02-07,175.7,166.35,65.41087399154019,-2.0806071740935117,1.0,3422.0,-2397.0,-11509.700000000077,-40574.499999999985,-76143.52232265135,13474.144209759608
2022-02-08,178.2,161.2,71.32529538585078,-1.167541958369574,1.0,3374.0,-2473.0,20899.550000000014,-19674.94999999997,-76143.52232265135,13474.144209759608
2022-02-09,177.3,158.2,72.41427872234242,-0.9614392707430239,1.0,3392.0,-2520.0,4382.400000000077,-15292.549999999894,-76143.52232265135,13474.144209759608
2022-02-10,174.3,163.35,65.99985732803182,-1.6772166408440938,1.0,3450.0,-2441.0,-23154.00000000002,-38446.549999999916,-76143.52232265135,13474.144209759608
2022-02-11,174.3,162.4,66.62970205125416,-1.4866036018234008,1.0,3450.0,-2455.0,2318.949999999972,-36127.59999999994,-76143.52232265135,13474.144209759608
2022-02-14,170.35,160.45,63.97254121997369,-1.7021958167413207,1.0,3530.0,-2485.0,-8840.250000000016,-44967.849999999955,-76143.52232265135,13474.144209759608
2022-02-15,173.95,158.4,68.93167983324294,-1.000689528115668,1.0,3457.0,-2517.0,17802.249999999938,-27165.600000000017,-76143.52232265135,13474.144209759608
2022-02-16,176.55,162.8,68.61450427305526,-0.9852768244051539,1.0,3406.0,-2449.0,-2086.5999999999367,-29252.199999999953,-76143.52232265135,13474.144209759608
2022-02-17,176.0,166.0,65.94292204746421,-1.264814015266012,1.0,3417.0,-2402.0,-9710.100000000011,-38962.29999999997,-76143.52232265135,13474.144209759608
2022-02-18,176.1,162.15,68.59545066262844,-0.8584280683763994,1.0,3415.0,-2459.0,9589.399999999967,-29372.9,-76143.52232265135,13474.144209759608
2022-02-21,173.9,157.65,69.37892566736586,-0.7071377231779039,1.0,3458.0,-2529.0,3552.500000000039,-25820.39999999996,-76143.52232265135,13474.144209759608
2022-02-22,167.15,159.2,61.601284276845206,-1.8385770939584951,1.0,3598.0,-2504.0,-27261.449999999957,-53081.84999999992,-76143.52232265135,13474.144209759608
2022-02-23,168.05,155.0,65.28586094793346,-1.1762837642208939,1.0,3578.0,-2572.0,13754.999999999993,-39326.849999999926,-76143.52232265135,13474.144209759608
2022-02-24,156.0,150.9,55.95413817447198,-2.5783502496912307,1.0,3855.0,-2642.0,-32569.70000000005,-71896.54999999997,-76143.52232265135,13474.144209759608
2022-02-25,157.7,153.75,55.76460400480494,-2.288926327589085,1.0,3813.0,-2593.0,-976.200000000028,-72872.75,-76143.52232265135,13474.144209759608
2022-02-28,164.4,154.9,61.70216039248318,-1.2490885566606413,1.0,3658.0,-2574.0,22565.150000000052,-50307.59999999995,-76143.52232265135,13474.144209759608
2022-03-02,160.55,157.2,56.32727316783962,-1.9974355451618457,1.0,3745.0,-2536.0,-20003.499999999938,-70311.09999999989,-76143.52232265135,13474.144209759608
2022-03-03,162.7,164.55,53.60426399343514,-2.2905074176377935,1.0,3696.0,-2423.0,-10587.850000000142,-80898.95000000003,-76143.52232265135,13474.144209759608
2022-03-04,163.7,159.5,57.95238594319602,-1.4997282580425233,1.0,3673.0,-2500.0,15932.150000000027,-64966.8,-76143.52232265135,13474.144209759608
2022-03-07,158.5,181.2,38.365406475906724,-4.342250370901466,0.0,0.0,0.0,-73349.59999999992,-138316.3999999999,-76143.52232265135,13474.144209759608
