date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2022-01-03,1326.15,137.3,686.9257041229263,,0.0,0.0,-0.0,0.0,0.0,-108151.41575236591,13474.144209759608
2022-01-04,1333.45,142.05,672.1112437775796,,0.0,0.0,-0.0,0.0,0.0,-108151.41575236591,13474.144209759608
2022-01-05,1310.75,144.6,637.539270329025,,0.0,0.0,-0.0,-0.0,0.0,-108151.41575236591,13474.144209759608
2022-01-06,1284.9,145.05,609.5942161910449,,0.0,0.0,-0.0,-0.0,0.0,-108151.41575236591,13474.144209759608
2022-01-07,1290.55,151.3,586.1462420524307,,0.0,0.0,-0.0,0.0,0.0,-108151.41575236591,13474.144209759608
2022-01-10,1288.1,152.6,577.643863431599,,0.0,0.0,-0.0,-0.0,0.0,-108151.41575236591,13474.144209759608
2022-01-11,1343.65,155.2,621.0891061899357,,0.0,0.0,-0.0,0.0,0.0,-108151.41575236591,13474.144209759608
2022-01-12,1352.15,159.2,610.9664027412227,,0.0,0.0,-0.0,0.0,0.0,-108151.41575236591,13474.144209759608
2022-01-13,1334.25,158.2,597.7220786034009,,0.0,0.0,-0.0,0.0,0.0,-108151.41575236591,13474.144209759608
2022-01-14,1337.2,155.3,614.1735386037177,,0.0,0.0,-0.0,0.0,0.0,-108151.41575236591,13474.144209759608
2022-01-17,1258.75,160.1,513.3762944652622,-1.1442171511896895,0.0,0.0,-0.0,-0.0,0.0,-108151.41575236591,13474.144209759608
2022-01-18,1219.75,158.1,483.6876461896187,-1.6184107777422396,1.0,145.0,-5207.0,-1000.0,-1000.0,-108151.41575236591,13474.144209759608
2022-01-19,1199.2,164.5,433.34132067167786,-2.3528145353961545,1.0,147.0,-5004.0,-36304.55000000002,-37304.55000000002,-108151.41575236591,13474.144209759608
2022-01-20,1175.35,161.1,425.32061860308386,-2.2851670699471103,1.0,150.0,-5110.0,13507.650000000009,-23796.90000000001,-108151.41575236591,13474.144209759608
2022-01-21,1167.95,157.9,432.8187813620543,-2.0068335601475153,1.0,151.0,-5213.0,15241.999999999964,-8554.900000000045,-108151.41575236591,13474.144209759608
2022-01-24,1124.9,159.95,380.2246458445891,-2.552181115486843,1.0,157.0,-5147.0,-17187.199999999906,-25742.09999999995,-108151.41575236591,13474.144209759608
2022-01-25,1123.7,159.4,381.585267568787,-2.274921811127327,1.0,157.0,-5164.0,2642.4499999999052,-23099.650000000045,-108151.41575236591,13474.144209759608
2022-01-27,1077.75,159.95,333.074645844589,-2.599431562746694,1.0,164.0,-5147.0,-10054.349999999919,-33153.99999999996,-108151.41575236591,13474.144209759608
2022-01-28,1080.45,163.05,321.3420506718363,-2.421609932756583,1.0,164.0,-5049.0,-15512.900000000109,-48666.900000000074,-108151.41575236591,13474.144209759608
2022-01-31,1099.4,166.85,322.6004823955591,-2.1546735289371717,1.0,161.0,-4934.0,-16078.399999999907,-64745.29999999998,-108151.41575236591,13474.144209759608
2022-02-01,1132.8,165.2,363.6823475681531,-1.597082323890988,1.0,156.0,-4983.0,13518.500000000007,-51226.799999999974,-108151.41575236591,13474.144209759608
2022-02-02,1170.95,165.55,400.20286101639067,-1.1859585487960236,1.0,151.0,-4972.0,4207.3499999999,-47019.45000000007,-108151.41575236591,13474.144209759608
2022-02-03,1156.75,161.75,403.694429292668,-1.083303191340719,1.0,153.0,-5089.0,16749.40000000005,-30270.05000000002,-108151.41575236591,13474.144209759608
2022-02-04,1163.8,163.85,400.9675099820937,-1.0363141001740703,1.0,152.0,-5024.0,-9608.249999999978,-39878.3,-108151.41575236591,13474.144209759608
2022-02-07,1157.35,166.35,382.878320326648,-1.1117506376049158,1.0,153.0,-4949.0,-13540.400000000007,-53418.70000000001,-108151.41575236591,13474.144209759608
2022-02-08,1161.95,161.2,411.45505101686615,-0.8203817095482655,1.0,152.0,-5107.0,26191.150000000052,-27227.54999999996,-108151.41575236591,13474.144209759608
2022-02-09,1180.9,158.2,444.37207860340095,-0.5105249669248465,1.0,150.0,-5203.0,18201.400000000005,-9026.149999999954,-108151.41575236591,13474.144209759608
2022-02-10,1190.35,163.35,429.84534791318276,-0.5790944003023255,1.0,149.0,-5039.0,-25377.950000000063,-34404.10000000002,-108151.41575236591,13474.144209759608
2022-02-11,1163.7,162.4,407.61823998225225,-0.7104779209347063,1.0,152.0,-5069.0,816.199999999963,-33587.90000000006,-108151.41575236591,13474.144209759608
2022-02-14,1146.45,160.45,399.4468079134998,-0.7282975970272891,1.0,154.0,-5130.0,7262.550000000087,-26325.349999999973,-108151.41575236591,13474.144209759608
2022-02-15,1168.55,158.4,431.0909434309651,-0.3981589465889864,1.0,151.0,-5197.0,13919.8999999999,-12405.450000000073,-108151.41575236591,13474.144209759608
2022-02-16,1167.8,162.8,409.8559696373808,-0.5439937565161611,1.0,151.0,-5056.0,-22980.050000000032,-35385.5000000001,-108151.41575236591,13474.144209759608
2022-02-17,1163.05,166.0,390.20780687841045,-0.6910919467045437,1.0,152.0,-4959.0,-16896.449999999943,-52281.95000000004,-108151.41575236591,13474.144209759608
2022-02-18,1165.0,162.15,410.08215894779676,-0.4308022059303593,1.0,152.0,-5077.0,19388.54999999998,-32893.40000000006,-108151.41575236591,13474.144209759608
2022-02-21,1164.75,157.65,430.78270032759883,-0.1478230092991242,0.0,0.0,-0.0,21808.5,-11084.90000000006,-108151.41575236591,13474.144209759608
2022-02-22,1149.55,159.2,408.3664027412226,-0.35671758923817903,0.0,0.0,-0.0,-0.0,-11084.90000000006,-108151.41575236591,13474.144209759608
2022-02-23,1153.0,155.0,431.3702413623712,-0.02241625170221804,0.0,0.0,-0.0,0.0,-11084.90000000006,-108151.41575236591,13474.144209759608
2022-02-24,1098.55,150.9,396.00851239730196,-0.42104300802551015,0.0,0.0,-0.0,0.0,-11084.90000000006,-108151.41575236591,13474.144209759608
2022-02-25,1129.7,153.75,413.8898361900941,-0.08992183705468275,0.0,0.0,-0.0,0.0,-11084.90000000006,-108151.41575236591,13474.144209759608
2022-02-28,1126.95,154.9,405.7858089485891,-0.1410195524336311,0.0,0.0,-0.0,-0.0,-11084.90000000006,-108151.41575236591,13474.144209759608
2022-03-02,1115.55,157.2,383.67775446557914,-0.5705817435191166,0.0,0.0,-0.0,-0.0,-11084.90000000006,-108151.41575236591,13474.144209759608
2022-03-03,1139.7,164.55,373.6085368785689,-0.8202146119078829,0.0,0.0,-0.0,0.0,-11084.90000000006,-108151.41575236591,13474.144209759608
