date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2022-01-03,137.3,359.35,31.518377283358575,,0.0,0.0,-0.0,0.0,0.0,13474.144209759608,-226728.81591762908
2022-01-04,142.05,360.75,35.85626020584836,,0.0,0.0,-0.0,0.0,0.0,13474.144209759608,-226728.81591762908
2022-01-05,144.6,356.75,39.58373757016325,,0.0,0.0,-0.0,0.0,0.0,13474.144209759608,-226728.81591762908
2022-01-06,145.05,352.9,41.16705953331639,,0.0,0.0,-0.0,0.0,0.0,13474.144209759608,-226728.81591762908
2022-01-07,151.3,355.75,46.578106911242,,0.0,0.0,-0.0,0.0,0.0,13474.144209759608,-226728.81591762908
2022-01-10,152.6,346.75,50.527430980950555,,0.0,0.0,-0.0,0.0,0.0,13474.144209759608,-226728.81591762908
2022-01-11,155.2,347.1,53.02440171157298,,0.0,0.0,-0.0,0.0,0.0,13474.144209759608,-226728.81591762908
2022-01-12,159.2,345.7,57.43651878908321,,0.0,0.0,-0.0,0.0,0.0,13474.144209759608,-226728.81591762908
2022-01-13,158.2,324.9,62.55940108352078,,0.0,0.0,-0.0,0.0,0.0,13474.144209759608,-226728.81591762908
2022-01-14,155.3,319.9,61.131247788914465,,0.0,0.0,-0.0,0.0,0.0,13474.144209759608,-226728.81591762908
2022-01-17,160.1,323.3,64.93039202924675,2.3364169150952856,-1.0,-4826.0,703.0,-1000.0,-1000.0,13474.144209759608,-226728.81591762908
2022-01-18,158.1,316.65,64.88794814742032,2.091894143865169,-1.0,-4887.0,718.0,4977.0499999999765,3977.0499999999765,13474.144209759608,-226728.81591762908
2022-01-19,164.5,310.6,73.06888266094661,2.59992682251561,-1.0,-4697.0,732.0,-35620.69999999999,-31643.650000000012,13474.144209759608,-226728.81591762908
2022-01-20,161.1,307.6,70.5519906841828,2.098669077718046,-1.0,-4796.0,739.0,13773.800000000027,-17869.849999999984,13474.144209759608,-226728.81591762908
2022-01-21,157.9,302.5,68.85327432368435,1.7835321930789332,-1.0,-4893.0,752.0,11578.29999999993,-6291.550000000054,13474.144209759608,-226728.81591762908
2022-01-24,159.95,286.4,75.64262071505188,2.11120386358355,-1.0,-4830.0,794.0,-22137.849999999933,-28429.399999999987,13474.144209759608,-226728.81591762908
2022-01-25,159.4,281.35,76.57918588749946,1.9648648489853988,-1.0,-4847.0,808.0,-1353.2000000000453,-29782.60000000003,13474.144209759608,-226728.81591762908
2022-01-27,159.95,272.4,79.76379149015409,1.9785429849640528,-1.0,-4830.0,835.0,-9897.449999999955,-39680.04999999999,13474.144209759608,-226728.81591762908
2022-01-28,163.05,276.1,81.7746249281628,1.908770565552063,-1.0,-4738.0,824.0,-11883.500000000071,-51563.55000000006,13474.144209759608,-226728.81591762908
2022-01-31,166.85,286.3,82.57205764915975,1.780732880811285,-1.0,-4630.0,794.0,-9599.599999999928,-61163.14999999999,13474.144209759608,-226728.81591762908
2022-02-01,165.2,288.3,80.33331896700228,1.5161448085302671,-1.0,-4677.0,789.0,9227.500000000027,-51935.64999999996,13474.144209759608,-226728.81591762908
2022-02-02,165.55,294.0,79.00541372285355,1.3402977194147974,-1.0,-4667.0,774.0,2860.349999999885,-49075.300000000076,13474.144209759608,-226728.81591762908
2022-02-03,161.75,289.1,76.6478234941393,1.1343707992108127,-1.0,-4776.0,787.0,13942.000000000071,-35133.3,13474.144209759608,-226728.81591762908
2022-02-04,163.85,285.9,79.68980538559124,1.2155939861395868,-1.0,-4715.0,795.0,-12548.00000000001,-47681.30000000001,13474.144209759608,-226728.81591762908
2022-02-07,166.35,278.5,84.36813850957384,1.3729489019472443,-1.0,-4644.0,817.0,-17670.49999999998,-65351.79999999999,13474.144209759608,-226728.81591762908
2022-02-08,161.2,280.1,78.74714756384786,1.0027139507462133,-1.0,-4793.0,812.0,25223.800000000047,-40127.99999999994,13474.144209759608,-226728.81591762908
2022-02-09,158.2,284.5,74.45192246310145,0.720738069962998,-1.0,-4884.0,799.0,17951.79999999998,-22176.19999999996,13474.144209759608,-226728.81591762908
2022-02-10,163.35,286.8,78.92487297862037,0.911125231318513,-1.0,-4730.0,793.0,-23314.90000000002,-45491.09999999998,13474.144209759608,-226728.81591762908
2022-02-11,162.4,280.7,79.77052595920064,0.9077378960780191,-1.0,-4757.0,810.0,-343.80000000007203,-45834.90000000005,13474.144209759608,-226728.81591762908
2022-02-14,160.45,270.85,80.72006396882611,0.9182414074402581,-1.0,-4815.0,840.0,1297.6500000001097,-44537.24999999994,13474.144209759608,-226728.81591762908
2022-02-15,158.4,281.7,75.47615661812192,0.5405329210815849,-1.0,-4877.0,807.0,18984.74999999989,-25552.50000000005,13474.144209759608,-226728.81591762908
2022-02-16,162.8,281.95,79.80256428285225,0.7973372566158581,-1.0,-4746.0,807.0,-21257.05000000003,-46809.550000000076,13474.144209759608,-226728.81591762908
2022-02-17,166.0,282.45,82.85537961231286,0.998869631215043,-1.0,-4654.0,805.0,-14783.699999999946,-61593.25000000002,13474.144209759608,-226728.81591762908
2022-02-18,162.15,281.2,79.37334128866128,0.6775847386985646,-1.0,-4765.0,809.0,16911.649999999972,-44681.60000000005,13474.144209759608,-226728.81591762908
2022-02-21,157.65,285.4,73.63699005613061,0.09336046980207625,0.0,0.0,-0.0,23840.299999999992,-20841.300000000057,13474.144209759608,-226728.81591762908
2022-02-22,159.2,282.1,76.15840888169039,0.2834391940935832,0.0,0.0,-0.0,0.0,-20841.300000000057,13474.144209759608,-226728.81591762908
2022-02-23,155.0,283.55,71.53157333712626,-0.36009328644873817,0.0,0.0,-0.0,-0.0,-20841.300000000057,13474.144209759608,-226728.81591762908
2022-02-24,150.9,268.6,71.83239498625326,-0.460091451276286,0.0,0.0,-0.0,0.0,-20841.300000000057,13474.144209759608,-226728.81591762908
2022-02-25,153.75,277.6,72.03307091654469,-0.5652868019082107,0.0,0.0,-0.0,0.0,-20841.300000000057,13474.144209759608,-226728.81591762908
2022-02-28,154.9,277.9,73.09476011422109,-0.48029365472653046,0.0,0.0,-0.0,0.0,-20841.300000000057,13474.144209759608,-226728.81591762908
2022-03-02,157.2,277.6,75.48307091654468,-0.14985835987117396,0.0,0.0,-0.0,0.0,-20841.300000000057,13474.144209759608,-226728.81591762908
2022-03-03,164.55,284.8,80.71361166077786,0.9063238527388539,0.0,0.0,-0.0,0.0,-20841.300000000057,13474.144209759608,-226728.81591762908
2022-03-04,159.5,287.65,74.82465903870347,-0.567296886755809,0.0,0.0,-0.0,-0.0,-20841.300000000057,13474.144209759608,-226728.81591762908
2022-03-07,181.2,285.9,97.03980538559124,4.979647599157173,-1.0,-4264.0,795.0,-1000.0,-21841.300000000057,13474.144209759608,-226728.81591762908
2022-03-08,173.35,293.7,86.89372452517715,1.6942316319340378,-1.0,-4457.0,774.0,39673.39999999998,17832.099999999922,13474.144209759608,-226728.81591762908
2022-03-09,169.65,292.75,83.47337539920196,0.9335813585762256,-1.0,-4554.0,777.0,15755.599999999959,33587.69999999988,13474.144209759608,-226728.81591762908
2022-03-10,168.6,294.1,82.02597678874565,0.5977087531338566,-1.0,-4582.0,773.0,5830.65000000007,39418.34999999995,13474.144209759608,-226728.81591762908
2022-03-11,169.95,293.1,83.67034612982437,0.8773399174949439,-1.0,-4546.0,776.0,-6958.699999999974,32459.649999999972,13474.144209759608,-226728.81591762908
2022-03-14,166.05,299.1,78.00413008335202,-0.232585364949071,0.0,0.0,-0.0,21385.399999999896,53845.04999999987,13474.144209759608,-226728.81591762908
2022-03-15,158.0,293.85,71.49956912401534,-1.4469226037158478,0.0,0.0,-0.0,0.0,53845.04999999987,13474.144209759608,-226728.81591762908
2022-03-16,161.55,299.1,73.50413008335202,-0.9703951057543141,0.0,0.0,-0.0,0.0,53845.04999999987,13474.144209759608,-226728.81591762908
2022-03-17,164.55,300.6,76.06257607173393,-0.4475110114341449,0.0,0.0,-0.0,0.0,53845.04999999987,13474.144209759608,-226728.81591762908
2022-03-21,166.8,300.0,78.48919767638117,0.014384979533846985,0.0,0.0,-0.0,0.0,53845.04999999987,13474.144209759608,-226728.81591762908
2022-03-22,169.7,305.0,79.9173509709875,0.26416515558277714,0.0,0.0,-0.0,0.0,53845.04999999987,13474.144209759608,-226728.81591762908
2022-03-23,169.85,305.6,79.89072936634027,0.25782483991422334,0.0,0.0,-0.0,0.0,53845.04999999987,13474.144209759608,-226728.81591762908
2022-03-24,171.7,305.3,81.82904016866388,0.6517856723243957,0.0,0.0,-0.0,0.0,53845.04999999987,13474.144209759608,-226728.81591762908
2022-03-25,170.05,301.7,81.23876979654733,0.5190581391209107,0.0,0.0,-0.0,0.0,53845.04999999987,13474.144209759608,-226728.81591762908
2022-03-28,170.6,300.1,82.25976074227327,0.6698433856471246,0.0,0.0,-0.0,0.0,53845.04999999987,13474.144209759608,-226728.81591762908
2022-03-29,165.25,301.25,76.57123600003274,-0.406041329910022,0.0,0.0,-0.0,-0.0,53845.04999999987,13474.144209759608,-226728.81591762908
2022-03-30,156.25,300.4,67.82144993994967,-1.9979319542942442,1.0,4944.0,-757.0,-1000.0,52845.04999999987,13474.144209759608,-226728.81591762908
2022-03-31,158.15,295.95,71.03139350775002,-1.2506172644438611,1.0,4885.0,-768.0,12762.250000000022,65607.2999999999,13474.144209759608,-226728.81591762908
2022-04-01,162.2,300.9,73.6242652694103,-0.757666136242569,1.0,4763.0,-756.0,15982.649999999925,81589.94999999982,13474.144209759608,-226728.81591762908
2022-04-04,162.3,302.8,73.16496352136072,-0.794523651673435,1.0,4760.0,-751.0,-960.0999999999175,80629.8499999999,13474.144209759608,-226728.81591762908
2022-04-05,166.1,299.6,77.90694541281263,0.05923161950840249,0.0,0.0,-0.0,19491.19999999991,100121.04999999981,13474.144209759608,-226728.81591762908
2022-04-06,167.05,296.8,79.6811795678331,0.36792122425602525,0.0,0.0,-0.0,0.0,100121.04999999981,13474.144209759608,-226728.81591762908
2022-04-07,163.1,290.4,77.61514335073696,-0.015986054633033084,0.0,0.0,-0.0,0.0,100121.04999999981,13474.144209759608,-226728.81591762908
2022-04-08,165.15,291.8,79.25302627322674,0.2548879022570211,0.0,0.0,-0.0,0.0,100121.04999999981,13474.144209759608,-226728.81591762908
2022-04-11,165.45,285.55,81.39283465496878,0.5871785683967977,0.0,0.0,-0.0,0.0,100121.04999999981,13474.144209759608,-226728.81591762908
2022-04-12,163.15,279.35,80.91792456965692,0.45638312334370373,0.0,0.0,-0.0,0.0,100121.04999999981,13474.144209759608,-226728.81591762908
2022-04-13,168.5,279.6,86.19433223438723,1.3622719632373061,0.0,0.0,-0.0,0.0,100121.04999999981,13474.144209759608,-226728.81591762908
2022-04-18,170.05,269.3,90.77633644749817,2.0846174361381062,-1.0,-4543.0,844.0,-1000.0,99121.04999999981,13474.144209759608,-226728.81591762908
2022-04-19,171.4,265.2,93.33325074592095,2.3066372374406225,-1.0,-4507.0,858.0,-9593.449999999993,89527.59999999982,13474.144209759608,-226728.81591762908
2022-04-20,169.75,268.25,90.78542425563082,1.6673107605813613,-1.0,-4551.0,848.0,10053.450000000033,99581.04999999984,13474.144209759608,-226728.81591762908
2022-04-21,168.4,269.6,89.03802564517453,1.2731798913105508,-1.0,-4588.0,844.0,7288.649999999993,106869.69999999984,13474.144209759608,-226728.81591762908
2022-04-22,168.25,268.85,89.10880265098358,1.4410005813233706,-1.0,-4592.0,846.0,55.20000000002619,106924.89999999986,13474.144209759608,-226728.81591762908
2022-04-25,163.9,264.7,85.98043541646032,0.9053775112996505,-1.0,-4714.0,859.0,16464.299999999945,123389.19999999981,13474.144209759608,-226728.81591762908
2022-04-26,161.2,264.6,83.30987235056816,0.4591852825160125,-1.0,-4793.0,859.0,12641.900000000109,136031.09999999992,13474.144209759608,-226728.81591762908
2022-04-27,159.1,259.5,82.7111559900697,0.3563800254672113,-1.0,-4856.0,876.0,5684.399999999952,141715.49999999988,13474.144209759608,-226728.81591762908
2022-04-28,159.05,261.3,82.131291176128,0.27016687063931294,-1.0,-4857.0,870.0,1819.5999999999271,143535.0999999998,13474.144209759608,-226728.81591762908
2022-04-29,154.7,254.4,79.8124396295712,-0.12020354475188014,0.0,0.0,-0.0,14124.950000000106,157660.0499999999,13474.144209759608,-226728.81591762908
2022-05-02,150.6,247.5,77.74358808301444,-0.5125560715132266,0.0,0.0,-0.0,0.0,157660.0499999999,13474.144209759608,-226728.81591762908
2022-05-04,156.5,245.9,84.11457902874042,0.5282384884486063,0.0,0.0,-0.0,0.0,157660.0499999999,13474.144209759608,-226728.81591762908
2022-05-05,159.1,250.6,85.33104312567039,0.6940285890724363,0.0,0.0,-0.0,0.0,157660.0499999999,13474.144209759608,-226728.81591762908
