date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2023-01-02,1552.5,394.8,1110.7543175194633,,0.0,0.0,-0.0,0.0,0.0,42930.75684380031,487778.62208713277
2023-01-03,1563.0,393.9,1122.2613365524735,,0.0,0.0,-0.0,0.0,0.0,42930.75684380031,487778.62208713277
2023-01-04,1547.85,385.6,1116.3982898569022,,0.0,0.0,-0.0,0.0,0.0,42930.75684380031,487778.62208713277
2023-01-05,1468.85,386.9,1035.9437068092207,,0.0,0.0,-0.0,-0.0,0.0,42930.75684380031,487778.62208713277
2023-01-06,1430.35,382.0,1002.9263659889436,,0.0,0.0,-0.0,0.0,0.0,42930.75684380031,487778.62208713277
2023-01-09,1414.0,389.45,978.2404862156914,,0.0,0.0,-0.0,-0.0,0.0,42930.75684380031,487778.62208713277
2023-01-10,1413.3,412.9,951.3020458555886,,0.0,0.0,-0.0,-0.0,0.0,42930.75684380031,487778.62208713277
2023-01-11,1399.7,418.2,931.7718226611944,,0.0,0.0,-0.0,-0.0,0.0,42930.75684380031,487778.62208713277
2023-01-12,1387.8,412.25,926.5293373794293,,0.0,0.0,-0.0,0.0,0.0,42930.75684380031,487778.62208713277
2023-01-13,1391.15,411.5,930.7185199069381,,0.0,0.0,-0.0,0.0,0.0,42930.75684380031,487778.62208713277
2023-01-16,1383.9,413.0,921.7901548519209,-2.221705940604374,1.0,341.0,-1279.0,-1000.0,-1000.0,42930.75684380031,487778.62208713277
2023-01-17,1372.9,415.3,908.2166617675612,-2.162492316659225,1.0,344.0,-1272.0,-6692.700000000015,-7692.700000000015,42930.75684380031,487778.62208713277
2023-01-18,1367.3,408.4,910.3371410206403,-1.921911816505079,1.0,345.0,-1293.0,6850.399999999996,-842.3000000000193,42930.75684380031,487778.62208713277
2023-01-19,1355.15,400.75,906.7468028012283,-1.7891190984440626,1.0,348.0,-1318.0,5699.700000000019,4857.4,42930.75684380031,487778.62208713277
2023-01-20,1333.2,403.15,882.1114187132007,-1.9140155306876856,1.0,354.0,-1310.0,-10801.799999999985,-5944.399999999985,42930.75684380031,487778.62208713277
2023-01-23,1332.75,408.4,875.7871410206403,-1.8106199703111148,1.0,354.0,-1293.0,-7036.8000000000175,-12981.200000000003,42930.75684380031,487778.62208713277
2023-01-24,1332.7,422.15,860.3521280163156,-1.8142028853531476,1.0,354.0,-1251.0,-17796.44999999998,-30777.64999999998,42930.75684380031,487778.62208713277
2023-01-25,1314.35,419.05,845.4707491300178,-1.811756395633355,1.0,359.0,-1260.0,-2617.80000000009,-33395.45000000007,42930.75684380031,487778.62208713277
2023-01-27,1314.2,445.6,815.6136876562128,-1.9568338603060353,1.0,359.0,-1185.0,-33506.84999999996,-66902.30000000003,42930.75684380031,487778.62208713277
2023-01-30,1343.85,443.65,847.4455622277352,-1.4917617556332794,1.0,351.0,-1190.0,12955.100000000006,-53947.200000000026,42930.75684380031,487778.62208713277
2023-01-31,1342.45,452.1,836.5907724178048,-1.4835568416980052,1.0,352.0,-1168.0,-10546.900000000007,-64494.100000000035,42930.75684380031,487778.62208713277
2023-02-01,1268.3,446.65,768.5388321177007,-2.0087188990041787,1.0,372.0,-1182.0,-19735.19999999998,-84229.30000000002,42930.75684380031,487778.62208713277
2023-02-02,1271.9,444.8,774.2088156855555,-1.7997989586405065,1.0,371.0,-1187.0,3525.9000000000106,-80703.40000000001,42930.75684380031,487778.62208713277
2023-02-03,1337.45,445.45,839.0315241617146,-1.096513029278574,1.0,353.0,-1185.0,23547.500000000007,-57155.9,42930.75684380031,487778.62208713277
2023-02-06,1343.05,442.0,848.4917637882542,-0.9438179153896834,1.0,351.0,-1195.0,6065.049999999955,-51090.85000000005,42930.75684380031,487778.62208713277
2023-02-07,1350.4,435.45,863.1706245284963,-0.7518556723296244,1.0,349.0,-1213.0,10407.100000000062,-40683.749999999985,42930.75684380031,487778.62208713277
2023-02-08,1368.9,440.1,876.4676928579428,-0.5773193351894031,1.0,345.0,-1200.0,816.0499999999593,-39867.700000000026,42930.75684380031,487778.62208713277
2023-02-09,1400.25,436.75,911.5660414808145,-0.19522518454800553,1.0,337.0,-1209.0,14835.749999999996,-25031.95000000003,42930.75684380031,487778.62208713277
2023-02-10,1401.75,445.85,902.8839601470432,-0.2314248609102097,1.0,337.0,-1184.0,-10496.400000000027,-35528.35000000006,42930.75684380031,487778.62208713277
2023-02-13,1388.55,441.05,895.0547283230984,-0.2610794558188383,1.0,340.0,-1197.0,1234.7999999999984,-34293.55000000006,42930.75684380031,487778.62208713277
2023-02-14,1398.6,440.55,905.6641833414374,-0.08354012998353184,0.0,0.0,-0.0,3015.4999999999845,-31278.050000000076,42930.75684380031,487778.62208713277
2023-02-15,1420.8,444.15,923.8361072093961,0.2116334236867082,0.0,0.0,-0.0,0.0,-31278.050000000076,42930.75684380031,487778.62208713277
