date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2023-01-02,1724.45,2089.45,1009.2382456114449,,0.0,0.0,-0.0,0.0,0.0,116529.90808663628,343762.71267558454
2023-01-03,1710.25,2088.95,995.2093939410025,,0.0,0.0,-0.0,0.0,0.0,116529.90808663628,343762.71267558454
2023-01-04,1683.6,2070.55,974.8576524687246,,0.0,0.0,-0.0,0.0,0.0,116529.90808663628,343762.71267558454
2023-01-05,1691.55,2087.35,977.057068595587,,0.0,0.0,-0.0,0.0,0.0,116529.90808663628,343762.71267558454
2023-01-06,1673.95,2086.55,959.7309059228793,,0.0,0.0,-0.0,0.0,0.0,116529.90808663628,343762.71267558454
2023-01-09,1666.95,2121.7,940.6991783549751,,0.0,0.0,-0.0,-0.0,0.0,116529.90808663628,343762.71267558454
2023-01-10,1644.45,2106.65,923.3507430746608,,0.0,0.0,-0.0,0.0,0.0,116529.90808663628,343762.71267558454
2023-01-11,1628.55,2125.35,901.049795549204,,0.0,0.0,-0.0,-0.0,0.0,116529.90808663628,343762.71267558454
2023-01-12,1635.9,2159.75,896.6247904756362,,0.0,0.0,-0.0,0.0,0.0,116529.90808663628,343762.71267558454
2023-01-13,1648.55,2153.4,911.4483742610184,,0.0,0.0,-0.0,0.0,0.0,116529.90808663628,343762.71267558454
2023-01-16,1641.95,2137.2,910.3935801386872,-1.759990140851176,1.0,454.0,-119.0,-1000.0,-1000.0,116529.90808663628,343762.71267558454
2023-01-17,1654.1,2213.1,896.5632637118325,-1.8981630611164593,1.0,450.0,-115.0,-3516.0000000000728,-4516.000000000073,116529.90808663628,343762.71267558454
2023-01-18,1669.85,2266.5,894.034622115073,-1.8300880861906508,1.0,446.0,-113.0,946.4999999999909,-3569.500000000082,116529.90808663628,343762.71267558454
2023-01-19,1670.25,2273.1,892.1754641649119,-1.7307368786447934,1.0,446.0,-112.0,-567.3999999999492,-4136.900000000031,116529.90808663628,343762.71267558454
2023-01-20,1648.8,2249.95,878.6496318234322,-1.84843122844096,1.0,452.0,-113.0,-6973.900000000011,-11110.800000000041,116529.90808663628,343762.71267558454
2023-01-23,1624.85,2233.5,860.3304118658795,-2.0252851252049466,1.0,458.0,-114.0,-8966.550000000041,-20077.350000000082,116529.90808663628,343762.71267558454
2023-01-24,1596.85,2207.5,841.2301250028784,-2.1986756762560473,1.0,467.0,-116.0,-9859.999999999998,-29937.35000000008,116529.90808663628,343762.71267558454
2023-01-25,1587.45,2174.7,843.0574554218618,-1.9776856620310097,1.0,469.0,-117.0,-584.9999999999154,-30522.349999999995,116529.90808663628,343762.71267558454
2023-01-27,1572.2,2159.85,832.8905608097247,-2.004487022874382,1.0,474.0,-118.0,-5414.800000000012,-35937.15000000001,116529.90808663628,343762.71267558454
2023-01-30,1592.25,2112.9,869.01138895519,-1.2566606480889473,1.0,468.0,-121.0,15043.799999999957,-20893.35000000005,116529.90808663628,343762.71267558454
2023-01-31,1583.9,2124.4,856.7249773753636,-1.3671352214919141,1.0,470.0,-120.0,-5299.299999999957,-26192.65000000001,116529.90808663628,343762.71267558454
2023-02-01,1581.5,2145.55,847.0854030350739,-1.4259383343310703,1.0,471.0,-119.0,-3666.0000000000537,-29858.650000000063,116529.90808663628,343762.71267558454
2023-02-02,1592.4,2144.9,858.2078958634991,-1.1557908823830347,1.0,468.0,-119.0,5211.250000000055,-24647.40000000001,116529.90808663628,343762.71267558454
2023-02-03,1609.95,2166.55,868.3471731936518,-0.9231697382857824,1.0,463.0,-118.0,5637.049999999968,-19010.350000000042,116529.90808663628,343762.71267558454
2023-02-06,1611.7,2156.1,873.6741732814072,-0.7804926740052892,1.0,462.0,-118.0,2043.3500000000322,-16967.00000000001,116529.90808663628,343762.71267558454
2023-02-07,1609.9,2165.3,868.725044017546,-0.8061028835804835,1.0,463.0,-118.0,-1917.2000000000112,-18884.200000000023,116529.90808663628,343762.71267558454
2023-02-08,1630.05,2130.85,900.6671639240695,-0.2258016685049961,1.0,457.0,-120.0,13394.54999999997,-5489.650000000052,116529.90808663628,343762.71267558454
2023-02-09,1636.95,2147.4,901.9021542157107,-0.15417556014057665,1.0,455.0,-119.0,1167.30000000002,-4322.350000000032,116529.90808663628,343762.71267558454
2023-02-10,1628.8,2163.85,888.1213741732632,-0.34550927079750765,1.0,457.0,-118.0,-5665.800000000019,-9988.150000000052,116529.90808663628,343762.71267558454
2023-02-13,1615.9,2203.3,861.717770971163,-0.815034577970222,1.0,461.0,-116.0,-10550.39999999997,-20538.550000000025,116529.90808663628,343762.71267558454
2023-02-14,1598.35,2191.65,848.1555270498566,-1.060791060817385,1.0,466.0,-116.0,-6739.150000000073,-27277.7000000001,116529.90808663628,343762.71267558454
2023-02-15,1619.7,2175.05,875.1876515911713,-0.40399305501621297,1.0,460.0,-117.0,11874.700000000053,-15403.000000000045,116529.90808663628,343762.71267558454
2023-02-16,1623.2,2178.3,877.5751874490464,-0.2847552011031542,1.0,459.0,-117.0,1229.7499999999998,-14173.250000000045,116529.90808663628,343762.71267558454
2023-02-17,1636.45,2226.35,874.3778329785544,-0.31381363394112616,1.0,455.0,-115.0,459.9000000000324,-13713.350000000013,116529.90808663628,343762.71267558454
2023-02-20,1625.55,2225.5,863.7687851388022,-0.605915835944363,1.0,458.0,-115.0,-4861.750000000051,-18575.100000000064,116529.90808663628,343762.71267558454
2023-02-21,1626.7,2229.45,863.5667133352968,-0.5784077814727129,1.0,458.0,-114.0,72.45000000006269,-18502.65,116529.90808663628,343762.71267558454
2023-02-22,1567.9,2194.75,816.6444074065992,-2.5608922916966486,1.0,475.0,-116.0,-22974.6,-41477.25,116529.90808663628,343762.71267558454
2023-02-23,1574.1,2159.15,835.0301684711052,-1.569098129454172,1.0,473.0,-118.0,7074.599999999902,-34402.650000000096,116529.90808663628,343762.71267558454
2023-02-24,1568.95,2134.05,838.4718146149005,-1.3150866982840255,1.0,475.0,-119.0,525.850000000054,-33876.80000000004,116529.90808663628,343762.71267558454
2023-02-27,1565.4,2113.7,841.8875516278979,-1.086869129090977,1.0,476.0,-121.0,735.4000000000649,-33141.39999999997,116529.90808663628,343762.71267558454
2023-02-28,1572.3,2109.15,850.3450014268725,-0.6693528279750077,1.0,474.0,-121.0,3834.9499999999016,-29306.45000000007,116529.90808663628,343762.71267558454
2023-03-01,1587.35,2115.3,863.289876973313,-0.029597415958774496,0.0,0.0,-0.0,5389.549999999968,-23916.900000000103,116529.90808663628,343762.71267558454
2023-03-02,1592.15,2121.6,865.9334080208866,0.14787191047670983,0.0,0.0,-0.0,0.0,-23916.900000000103,116529.90808663628,343762.71267558454
2023-03-03,1589.95,2152.05,853.3104747508243,-0.42548993940169816,0.0,0.0,-0.0,-0.0,-23916.900000000103,116529.90808663628,343762.71267558454
2023-03-06,1592.2,2141.15,859.2915083351816,-0.0672929320027436,0.0,0.0,-0.0,0.0,-23916.900000000103,116529.90808663628,343762.71267558454
2023-03-08,1594.75,2170.8,851.6924123924115,-0.4326790502339257,0.0,0.0,-0.0,0.0,-23916.900000000103,116529.90808663628,343762.71267558454
2023-03-09,1594.9,2193.2,844.1749672282281,-0.8089384659525269,0.0,0.0,-0.0,0.0,-23916.900000000103,116529.90808663628,343762.71267558454
2023-03-10,1589.6,2157.85,850.9751541279552,-0.461070707956831,0.0,0.0,-0.0,0.0,-23916.900000000103,116529.90808663628,343762.71267558454
