date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2024-01-01,1047.85,381.8,115.52774590328897,,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-02,1078.4,392.65,119.58299352783263,,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-03,1094.25,384.55,155.21248608462497,,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-04,1123.2,384.75,183.6741035523586,,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-05,1154.25,384.25,215.94505988302467,,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-08,1168.85,380.4,239.94642362915442,,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-09,1197.1,385.35,256.10895595555894,,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-10,1214.35,382.05,281.41726773795585,,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-11,1202.95,384.35,264.40086861689144,,0.0,0.0,-0.0,-0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-12,1207.1,381.1,276.48708476622164,,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-15,1203.1,384.65,263.8182948184917,1.3249052904982948,0.0,0.0,-0.0,-0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-16,1193.35,381.9,260.7835546371558,1.2882208136482451,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-17,1166.85,379.65,239.77785812515367,0.9224133395456601,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-18,1154.05,375.65,236.7455087704833,0.8097239210929306,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-19,1152.45,383.25,216.58697254435708,0.4032715292098602,0.0,0.0,-0.0,-0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-20,1193.0,398.8,219.16523066063826,0.4267686423487473,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-23,1137.1,375.3,220.65017820194953,0.4224229603416498,0.0,0.0,-0.0,0.0,0.0,87440.95051772679,3077.5275013095415
2024-01-24,1120.6,382.6,186.32421577422303,-0.21637212608173675,0.0,0.0,-0.0,-0.0,0.0,87440.95051772679,3077.5275013095415
