date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2024-01-01,877.6,1703.3,682.8863692174909,,0.0,0.0,-0.0,0.0,0.0,13616.681859617125,382727.6463335877
2024-01-02,870.2,1656.2,680.8706303634171,,0.0,0.0,-0.0,0.0,0.0,13616.681859617125,382727.6463335877
2024-01-03,837.65,1655.25,648.4292301105218,,0.0,0.0,-0.0,0.0,0.0,13616.681859617125,382727.6463335877
2024-01-04,837.1,1641.7,649.4282054508042,,0.0,0.0,-0.0,0.0,0.0,13616.681859617125,382727.6463335877
2024-01-05,829.4,1642.0,641.6939107938238,,0.0,0.0,-0.0,-0.0,0.0,13616.681859617125,382727.6463335877
2024-01-08,821.95,1616.15,637.1989670703035,,0.0,0.0,-0.0,0.0,0.0,13616.681859617125,382727.6463335877
2024-01-09,821.4,1629.9,635.0771286253674,,0.0,0.0,-0.0,-0.0,0.0,13616.681859617125,382727.6463335877
2024-01-10,829.8,1632.8,643.14561360789,,0.0,0.0,-0.0,0.0,0.0,13616.681859617125,382727.6463335877
2024-01-11,822.05,1628.65,635.8700230294525,,0.0,0.0,-0.0,0.0,0.0,13616.681859617125,382727.6463335877
2024-01-12,825.8,1624.45,640.1001482271784,,0.0,0.0,-0.0,0.0,0.0,13616.681859617125,382727.6463335877
2024-01-15,825.15,1635.55,638.1812459189028,-0.8258369023799448,0.0,0.0,-0.0,-0.0,0.0,13616.681859617125,382727.6463335877
2024-01-16,832.3,1620.35,647.0688418725775,-0.37835930205547186,0.0,0.0,-0.0,0.0,0.0,13616.681859617125,382727.6463335877
2024-01-17,812.65,1597.7,630.0080884745994,-1.4054742319290612,0.0,0.0,-0.0,0.0,0.0,13616.681859617125,382727.6463335877
2024-01-18,803.65,1617.25,618.7732199947086,-2.061360534169838,1.0,1117.0,-63.0,-1000.0,-1000.0,13616.681859617125,382727.6463335877
2024-01-19,816.65,1655.55,627.3949354535414,-1.4843833105010364,1.0,1099.0,-62.0,12108.100000000002,11108.100000000002,13616.681859617125,382727.6463335877
2024-01-20,808.2,1622.3,622.7459266022049,-1.7555858233604293,1.0,1110.0,-63.0,-7225.049999999925,3883.0500000000775,13616.681859617125,382727.6463335877
2024-01-23,790.4,1595.2,608.0438772827696,-2.4120003066275975,1.0,1135.0,-64.0,-18050.70000000008,-14167.650000000003,13616.681859617125,382727.6463335877
2024-01-24,812.2,1628.1,626.08289656725,-1.2489150463575722,1.0,1105.0,-63.0,22637.400000000085,8469.750000000082,13616.681859617125,382727.6463335877
2024-01-25,815.7,1635.5,628.7369616950663,-1.0372428272512513,1.0,1100.0,-63.0,3401.2999999999943,11871.050000000076,13616.681859617125,382727.6463335877
2024-01-29,811.7,1640.0,624.22254184036,-1.1880605848091006,1.0,1106.0,-63.0,-4683.5,7187.550000000076,13616.681859617125,382727.6463335877
2024-01-30,812.0,1620.35,626.7688418725776,-0.999323531451981,1.0,1105.0,-63.0,1569.7499999999554,8757.300000000032,13616.681859617125,382727.6463335877
2024-01-31,818.65,1651.55,629.8521975466136,-0.7910552689677178,1.0,1096.0,-62.0,5382.649999999972,14139.950000000004,13616.681859617125,382727.6463335877
2024-02-01,801.7,1651.15,612.947923755921,-1.5278315824089197,1.0,1119.0,-62.0,-18552.399999999936,-4412.449999999932,13616.681859617125,382727.6463335877
2024-02-02,823.55,1660.75,633.7004947325473,-0.4725959483414355,1.0,1090.0,-62.0,23854.949999999906,19442.499999999975,13616.681859617125,382727.6463335877
2024-02-05,814.65,1703.55,619.9077903366739,-1.067992609240964,1.0,1102.0,-60.0,-12354.599999999973,7087.9000000000015,13616.681859617125,382727.6463335877
2024-02-06,818.75,1727.65,621.2527862259133,-0.941184689067752,1.0,1096.0,-59.0,3072.200000000016,10160.100000000017,13616.681859617125,382727.6463335877
2024-02-07,836.6,1721.0,639.862984455646,-0.037443820547223644,0.0,0.0,-0.0,18955.95000000003,29116.050000000047,13616.681859617125,382727.6463335877
2024-02-08,822.1,1685.9,629.3754593223554,-0.48705530145097764,0.0,0.0,-0.0,0.0,29116.050000000047,13616.681859617125,382727.6463335877
2024-02-09,811.75,1646.4,623.5409224914442,-0.7240467665991116,0.0,0.0,-0.0,0.0,29116.050000000047,13616.681859617125,382727.6463335877
2024-02-12,811.5,1660.45,621.6847893895279,-0.7832707207062357,0.0,0.0,-0.0,-0.0,29116.050000000047,13616.681859617125,382727.6463335877
2024-02-13,812.65,1646.75,624.4009120583004,-0.5919946977950856,0.0,0.0,-0.0,0.0,29116.050000000047,13616.681859617125,382727.6463335877
2024-02-14,813.25,1657.05,623.8234621686393,-0.6096380269677184,0.0,0.0,-0.0,0.0,29116.050000000047,13616.681859617125,382727.6463335877
2024-02-15,812.35,1765.05,610.5773856556874,-1.9131643508635392,1.0,1105.0,-58.0,-1000.0,28116.050000000047,13616.681859617125,382727.6463335877
2024-02-16,819.95,1835.55,610.1181412652883,-1.8314011006996311,1.0,1094.0,-56.0,4309.0000000000255,32425.050000000072,13616.681859617125,382727.6463335877
2024-02-19,820.2,1848.55,608.8820394628033,-1.8570054124762103,1.0,1094.0,-55.0,-454.5,31970.550000000072,13616.681859617125,382727.6463335877
2024-02-20,821.2,1853.65,609.2990302941362,-1.6736238144661733,1.0,1093.0,-55.0,813.4999999999925,32784.05000000006,13616.681859617125,382727.6463335877
2024-02-21,828.25,1859.65,615.6631371545276,-0.9453503343200506,1.0,1084.0,-55.0,7375.649999999951,40159.70000000001,13616.681859617125,382727.6463335877
2024-02-22,828.65,1910.35,610.2673401248363,-1.3917796737930788,1.0,1083.0,-54.0,-2354.9000000000146,37804.799999999996,13616.681859617125,382727.6463335877
2024-02-23,821.0,1929.95,600.3767558687821,-2.2690994857663,1.0,1093.0,-53.0,-9343.349999999982,28461.45000000001,13616.681859617125,382727.6463335877
2024-02-26,808.75,1929.8,588.1439031972723,-3.1495920836355413,1.0,1110.0,-53.0,-13381.299999999996,15080.150000000016,13616.681859617125,382727.6463335877
2024-02-27,818.95,1950.6,595.9661403132965,-2.055878039603857,1.0,1096.0,-53.0,10219.600000000053,25299.75000000007,13616.681859617125,382727.6463335877
2024-02-28,798.6,1901.65,581.2118851772686,-3.053170127396549,1.0,1124.0,-54.0,-19709.250000000036,5590.500000000033,13616.681859617125,382727.6463335877
2024-02-29,800.1,1932.4,579.1966828367754,-2.8632650536837487,1.0,1122.0,-53.0,25.499999999999773,5616.000000000033,13616.681859617125,382727.6463335877
2024-03-01,836.2,1972.95,610.661188368255,-0.3433413419233029,1.0,1073.0,-52.0,38355.05000000003,43971.05000000006,13616.681859617125,382727.6463335877
