Date,Price_A,Price_B,Spread,ZScore,Position,Quantity_A,Quantity_B,Daily_PnL,Cumulative_PnL
2024-01-01,1909.15,592.7,1409.4192857210712,1.7827124017889668,0.0,0.0,-0.0,0.0,0.0
2024-01-02,1865.05,594.45,1363.8437858898105,0.886192363104321,0.0,0.0,-0.0,-0.0,0.0
2024-01-03,1865.9,586.85,1371.101670871285,1.0289629163281195,0.0,0.0,-0.0,0.0,0.0
2024-01-04,1863.6,587.65,1368.1271566627086,0.9704509613695503,0.0,0.0,-0.0,-0.0,0.0
2024-01-05,1847.6,581.25,1357.5232703313186,0.7618608939161453,0.0,0.0,-0.0,0.0,0.0
2024-01-08,1826.1,560.9,1353.1812255119771,0.6764481128425645,0.0,0.0,-0.0,0.0,0.0
2024-01-09,1826.65,558.15,1356.049868103958,0.7328774570528749,0.0,0.0,-0.0,0.0,0.0
2024-01-10,1820.8,558.6,1349.8204538616337,0.610338050613264,0.0,0.0,-0.0,-0.0,0.0
2024-01-11,1822.85,562.25,1348.7929827850046,0.5901265682866329,0.0,0.0,-0.0,0.0,0.0
2024-01-12,1833.25,565.1,1356.7900259169517,0.7474371725490205,0.0,0.0,-0.0,0.0,0.0
2024-01-15,1851.5,567.75,1372.805697601043,1.0624829899496582,0.0,0.0,-0.0,0.0,0.0
2024-01-16,1848.0,564.5,1372.0459115733838,1.0475371659558237,0.0,0.0,-0.0,0.0,0.0
2024-01-17,1779.65,551.0,1315.0783388431082,-0.07307743392807874,0.0,0.0,-0.0,0.0,0.0
2024-01-18,1777.25,544.2,1318.4117096160062,-0.007506376993252383,0.0,0.0,-0.0,0.0,0.0
2024-01-19,1764.3,553.4,1297.7047962173792,-0.4148340611636696,0.0,0.0,-0.0,-0.0,0.0
2024-01-20,1806.8,552.45,1341.0057818400637,0.436943789858498,0.0,0.0,-0.0,0.0,0.0
2024-01-23,1784.5,535.1,1333.334308738561,0.28603750496439445,0.0,0.0,-0.0,0.0,0.0
2024-01-24,1788.6,545.75,1328.4548383368897,0.1900529735941766,0.0,0.0,-0.0,0.0,0.0
2024-01-25,1768.4,537.3,1315.3793946649766,-0.06715533591342143,0.0,0.0,-0.0,0.0,0.0
2024-01-29,1822.9,539.65,1367.8980091772837,0.9659433791541455,0.0,0.0,-0.0,0.0,0.0
2024-01-30,1823.6,535.25,1372.307837324453,1.0526895325859305,0.0,0.0,-0.0,0.0,0.0
2024-01-31,1825.25,537.7,1371.8921375606883,1.0445122625686771,0.0,0.0,-0.0,0.0,0.0
2024-02-01,1822.75,530.05,1375.8421796801986,1.1222139208478106,0.0,0.0,-0.0,0.0,0.0
2024-02-02,1822.95,533.65,1373.0068657416057,1.0664401877824217,0.0,0.0,-0.0,0.0,0.0
2024-02-05,1808.35,474.0,1408.7003314185722,1.7685697825862081,-1.0,-553.0,1779.0,-1000.0,-1000.0
2024-02-06,1787.0,481.85,1380.7316607469177,1.2183953729725803,-1.0,-560.0,1750.0,25771.69999999999,24771.69999999999
2024-02-07,1792.6,477.8,1389.746388927835,1.3957249576707178,-1.0,-558.0,1765.0,-10223.499999999967,14548.200000000023
2024-02-08,1729.7,464.85,1337.7650876791631,0.3731957834679481,0.0,0.0,-0.0,11241.449999999943,25789.649999999965
2024-02-09,1742.45,457.95,1356.3327727281332,0.7384425011127025,0.0,0.0,-0.0,0.0,25789.649999999965
2024-02-12,1709.55,458.4,1323.053358485809,0.08379994416006702,0.0,0.0,-0.0,-0.0,25789.649999999965
2024-02-13,1737.15,479.1,1333.2003033388987,0.28340147186472414,0.0,0.0,-0.0,0.0,25789.649999999965
2024-02-14,1748.95,481.4,1343.061074989242,0.47737365898624445,0.0,0.0,-0.0,0.0,25789.649999999965
2024-02-15,1739.25,487.35,1328.344375562956,0.1878800497485377,0.0,0.0,-0.0,-0.0,25789.649999999965
2024-02-16,1735.25,490.9,1321.351218762399,0.05031699002181026,0.0,0.0,-0.0,-0.0,25789.649999999965
2024-02-19,1731.4,497.55,1311.894319403609,-0.13571058642539,0.0,0.0,-0.0,-0.0,25789.649999999965
2024-02-20,1762.5,498.05,1342.5727480232486,0.46776773229177043,0.0,0.0,-0.0,0.0,25789.649999999965
2024-02-21,1746.1,492.15,1331.1472903114984,0.24301645523167464,0.0,0.0,-0.0,0.0,25789.649999999965
2024-02-22,1724.75,492.3,1309.6708188973905,-0.17944927864447097,0.0,0.0,-0.0,-0.0,25789.649999999965
2024-02-23,1724.0,488.7,1311.9561328359837,-0.13449464845457254,0.0,0.0,-0.0,0.0,25789.649999999965
2024-02-26,1706.3,489.15,1293.8767185936595,-0.49013654412077506,0.0,0.0,-0.0,-0.0,25789.649999999965
2024-02-27,1706.75,484.6,1298.1630181549367,-0.40582033337777246,0.0,0.0,-0.0,0.0,25789.649999999965
2024-02-28,1683.6,475.9,1282.3483601732034,-0.7169119909144169,0.0,0.0,-0.0,0.0,25789.649999999965
2024-02-29,1689.45,469.7,1293.4258452896695,-0.49900571622928813,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-01,1727.7,474.55,1327.5866029001759,0.1729738308487989,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-02,1723.7,476.05,1322.3218887590956,0.06941113284438888,0.0,0.0,-0.0,-0.0,25789.649999999965
2024-03-04,1727.2,474.25,1327.339545728392,0.16811394547123876,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-05,1715.7,474.25,1315.839545728392,-0.058103660107311786,0.0,0.0,-0.0,-0.0,25789.649999999965
2024-03-06,1759.75,473.2,1360.7748456271484,0.8258229441579692,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-07,1748.05,482.3,1341.4022465045934,0.444742684389491,0.0,0.0,-0.0,-0.0,25789.649999999965
2024-03-11,1729.65,476.55,1327.8503173787353,0.17816138370933063,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-12,1720.35,474.05,1320.658174280536,0.036684045391683996,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-13,1729.55,451.9,1348.533786430491,0.5850278918785691,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-14,1742.4,462.1,1352.783730271144,0.6686289457460287,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-15,1738.3,475.15,1337.6807172437439,0.3715361245216729,0.0,0.0,-0.0,-0.0,25789.649999999965
2024-03-18,1737.9,466.05,1344.9533163662986,0.5145961210292387,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-19,1749.65,461.05,1360.9190301699002,0.8286592121599489,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-20,1765.4,455.45,1381.390629629934,1.2313580132218607,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-21,1772.15,455.55,1388.056315353862,1.3624793579180436,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-22,1776.4,470.0,1380.1229024614536,1.2064204302148596,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-26,1753.7,465.4,1361.3013591607669,0.8361800424953504,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-27,1775.6,455.5,1391.5484724918979,1.4311739167067863,0.0,0.0,-0.0,0.0,25789.649999999965
2024-03-28,1785.5,456.0,1401.0269011115379,1.6176249973139312,-1.0,-560.0,1849.0,-1000.0,24789.649999999965
2024-04-01,1790.7,466.2,1397.6268449521906,1.5507421657313096,-1.0,-558.0,1809.0,15947.799999999956,40737.449999999924
2024-04-02,1757.4,475.25,1356.696402967672,0.7455955065130846,-1.0,-569.0,1774.0,34952.84999999999,75690.29999999992
2024-04-03,1731.15,476.7,1329.2238459646273,0.20518019656969452,0.0,0.0,-0.0,16508.54999999998,92198.84999999989
2024-04-04,1749.15,492.95,1333.5227761029223,0.2897448646074818,0.0,0.0,-0.0,0.0,92198.84999999989
2024-04-05,1785.15,494.35,1368.3423762379139,0.9746845663240353,0.0,0.0,-0.0,0.0,92198.84999999989
2024-04-08,1788.4,489.05,1376.0610328697317,1.1265190029790633,0.0,0.0,-0.0,0.0,92198.84999999989
2024-04-09,1780.6,489.85,1367.586518661155,0.9598160192655306,0.0,0.0,-0.0,-0.0,92198.84999999989
2024-04-10,1825.95,504.3,1400.7531057687468,1.6122391428039515,-1.0,-548.0,1672.0,-1000.0,91198.84999999989
2024-04-12,1813.05,502.05,1389.7501769803673,1.3957994728162557,-1.0,-552.0,1679.0,3307.200000000049,94506.04999999994
2024-04-15,1798.15,489.95,1385.0522043850833,1.3033852022441865,-1.0,-556.0,1721.0,-12091.100000000117,82414.94999999982
2024-04-16,1792.6,484.65,1383.9708610169007,1.2821139928912721,-1.0,-558.0,1740.0,-6035.499999999918,76379.44999999991
2024-04-18,1786.75,478.4,1383.3905032714028,1.2706977198855773,-1.0,-560.0,1762.0,-7610.700000000051,68768.74999999985
2024-04-19,1792.65,487.55,1381.575747010812,1.2349994750177895,-1.0,-558.0,1729.0,12818.300000000007,81587.04999999986
2024-04-22,1809.95,493.4,1393.943361860598,1.4782840157166024,-1.0,-553.0,1709.0,461.24999999996726,82048.29999999983
2024-04-23,1813.05,495.5,1395.2727620630853,1.504434774904629,-1.0,-552.0,1702.0,1874.6000000000893,83922.89999999992
2024-04-24,1842.8,498.45,1422.5354909189605,2.040722535192745,-1.0,-543.0,1692.0,-11401.10000000002,72521.7999999999
2024-04-25,1642.45,505.9,1215.9040773515942,-2.0239438660699354,0.0,0.0,-0.0,120395.44999999992,192917.24999999983
2024-04-26,1608.5,508.45,1179.8040633117575,-2.7340707128041877,1.0,622.0,-1658.0,-1000.0,191917.24999999983
2024-04-29,1640.4,507.05,1212.8844631767658,-2.0833429868004325,1.0,610.0,-1663.0,22163.00000000002,214080.24999999985
2024-04-30,1623.95,507.15,1196.350148900694,-2.4085910724888002,1.0,616.0,-1663.0,-10200.79999999997,203879.4499999999
2024-05-02,1575.65,498.2,1155.5962766091407,-3.2102644123017763,1.0,635.0,-1692.0,-14868.949999999992,189010.4999999999
2024-05-03,1546.7,493.6,1130.524733308454,-3.703449150879193,1.0,647.0,-1708.0,-10600.050000000087,178410.44999999984
2024-05-06,1624.3,483.4,1216.7247894678012,-2.007799559131009,1.0,616.0,-1744.0,67628.80000000002,246039.24999999985
2024-05-07,1643.9,474.1,1244.1660171425,-1.4680005314174227,1.0,608.0,-1778.0,28292.800000000003,274332.0499999999
2024-05-08,1648.35,477.85,1245.4542317897988,-1.4426599372449773,1.0,607.0,-1764.0,-3961.9000000001106,270370.1499999998
2024-05-09,1643.1,466.45,1249.8160592620104,-1.3568580097049374,1.0,609.0,-1808.0,16922.850000000057,287292.9999999998
2024-05-10,1627.95,501.9,1204.7766483944756,-2.242832590846004,1.0,614.0,-1680.0,-73319.9499999999,213973.04999999993
