Date,Price_A,Price_B,Spread,ZScore,Position,Quantity_A,Quantity_B,Daily_PnL,Cumulative_PnL
2024-01-01,3525.45,1297.15,3211.808545728967,-0.2032349799820923,0.0,0.0,-0.0,0.0,0.0
2024-01-02,3438.1,1278.1,3129.064697449172,-0.8689846580741984,0.0,0.0,-0.0,0.0,0.0
2024-01-03,3440.35,1244.2,3139.5114713764647,-0.7849308398896939,0.0,0.0,-0.0,0.0,0.0
2024-01-04,3458.7,1247.5,3157.063555330445,-0.6437083262510401,0.0,0.0,-0.0,0.0,0.0
2024-01-05,3521.9,1248.3,3220.070121137471,-0.13676307562798934,0.0,0.0,-0.0,0.0,0.0
2024-01-08,3501.1,1228.95,3203.9488106800404,-0.2664737123772586,0.0,0.0,-0.0,0.0,0.0
2024-01-09,3555.95,1235.65,3257.178799313879,0.16181006381348442,0.0,0.0,-0.0,0.0,0.0
2024-01-10,3545.5,1240.9,3245.4593874224847,0.06751671323421458,0.0,0.0,-0.0,-0.0,0.0
2024-01-11,3504.85,1249.4,3202.754149122131,-0.27608585351091536,0.0,0.0,-0.0,-0.0,0.0
2024-01-12,3568.8,1308.05,3252.5230048496906,0.12434995372390516,0.0,0.0,-0.0,0.0,0.0
2024-01-15,3543.05,1337.65,3219.6159397096353,-0.14041737918847177,0.0,0.0,-0.0,-0.0,0.0
2024-01-16,3573.5,1320.4,3254.2368644956473,0.1381395167102978,0.0,0.0,-0.0,0.0,0.0
2024-01-17,3570.95,1326.75,3250.1514805889124,0.10526887946854897,0.0,0.0,-0.0,-0.0,0.0
2024-01-18,3596.0,1355.15,3268.334566738319,0.25156838091009065,0.0,0.0,-0.0,0.0,0.0
2024-01-19,3646.0,1389.9,3309.9322689809906,0.5862598105833241,0.0,0.0,-0.0,0.0,0.0
2024-01-20,3634.5,1385.6,3299.4719777682285,0.5020972335165946,0.0,0.0,-0.0,0.0,0.0
2024-01-23,3551.0,1366.65,3220.553950214311,-0.13287022970826842,0.0,0.0,-0.0,0.0,0.0
2024-01-24,3589.2,1407.95,3248.767910002004,0.09413679301135183,0.0,0.0,-0.0,0.0,0.0
2024-01-25,3593.45,1322.05,3273.787906472637,0.29544546963785306,0.0,0.0,-0.0,0.0,0.0
2024-01-29,3708.0,1314.35,3390.1997105800165,1.2320845397538815,0.0,0.0,-0.0,0.0,0.0
2024-01-30,3633.3,1317.85,3314.6534359857537,0.6242459023470505,0.0,0.0,-0.0,-0.0,0.0
2024-01-31,3479.75,1333.65,3157.2831106745075,-0.6419418033895617,0.0,0.0,-0.0,-0.0,0.0
2024-02-01,3398.0,1312.5,3080.64702715127,-1.2585489469600601,0.0,0.0,-0.0,0.0,0.0
2024-02-02,3376.05,1338.1,3052.5071329760876,-1.4849600443183164,0.0,0.0,-0.0,-0.0,0.0
2024-02-05,3341.75,1332.75,3019.5007241416038,-1.750526687801344,1.0,299.0,-181.0,-1000.0,-1000.0
2024-02-06,3424.25,1351.05,3097.575916977313,-1.1223405981045094,1.0,292.0,-179.0,21355.200000000008,20355.200000000008
2024-02-07,3394.7,1318.0,3076.0171670745704,-1.2958003912638278,1.0,295.0,-183.0,-2712.6500000000615,17642.549999999945
2024-02-08,3335.5,1309.25,3018.932853560229,-1.7550957242265033,1.0,300.0,-185.0,-15862.749999999945,1779.7999999999993
2024-02-09,3324.55,1311.05,3007.5476266260366,-1.8467002522249307,1.0,301.0,-184.0,-3617.9999999999372,-1838.199999999938
2024-02-12,3299.55,1318.8,2980.673732881596,-2.062925222194227,1.0,303.0,-183.0,-8951.0,-10789.199999999939
2024-02-13,3321.5,1328.45,3000.2904329288417,-1.9050909902459874,1.0,301.0,-182.0,4884.899999999929,-5904.30000000001
2024-02-14,3309.0,1292.9,2996.3861648791444,-1.936504385335879,1.0,302.0,-187.0,2707.5999999999913,-3196.700000000019
2024-02-15,3300.3,1300.35,2985.88480895707,-2.020997365418348,1.0,303.0,-186.0,-4020.549999999911,-7217.24999999993
2024-02-16,3386.75,1302.55,3071.80286492639,-1.3297082932633404,1.0,295.0,-186.0,25785.149999999936,18567.900000000005
2024-02-19,3339.85,1310.0,3023.101509004315,-1.7215550915671085,1.0,299.0,-185.0,-15221.200000000033,3346.6999999999716
2024-02-20,3356.75,1320.55,3037.4505955844643,-1.6061036112425864,1.0,298.0,-183.0,3101.350000000036,6448.0500000000075
2024-02-21,3296.4,1296.6,2982.8915317366377,-2.045081008944388,1.0,303.0,-186.0,-13601.449999999964,-7153.399999999957
2024-02-22,3363.75,1328.1,3042.625060388268,-1.5644703255174341,1.0,297.0,-182.0,14548.049999999974,7394.650000000017
