date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2024-01-01,2737.25,1295.1,1347.15096930349,,0.0,0.0,-0.0,0.0,0.0,-103607.63540049316,-30750.521195274447
2024-01-02,2722.3,1305.85,1320.6624282024266,,0.0,0.0,-0.0,-0.0,0.0,-103607.63540049316,-30750.521195274447
2024-01-03,2663.5,1291.65,1277.1040359824358,,0.0,0.0,-0.0,0.0,0.0,-103607.63540049316,-30750.521195274447
2024-01-04,2711.65,1298.3,1318.1162407896852,,0.0,0.0,-0.0,0.0,0.0,-103607.63540049316,-30750.521195274447
2024-01-05,2666.4,1303.85,1266.9091335235546,,0.0,0.0,-0.0,-0.0,0.0,-103607.63540049316,-30750.521195274447
2024-01-08,2619.3,1293.7,1230.7036630282798,,0.0,0.0,-0.0,0.0,0.0,-103607.63540049316,-30750.521195274447
2024-01-09,2592.6,1290.25,1207.7067297072256,,0.0,0.0,-0.0,0.0,0.0,-103607.63540049316,-30750.521195274447
2024-01-10,2578.1,1325.05,1155.8540571195963,,0.0,0.0,-0.0,-0.0,0.0,-103607.63540049316,-30750.521195274447
2024-01-11,2557.2,1359.9,1097.5477168989387,,0.0,0.0,-0.0,-0.0,0.0,-103607.63540049316,-30750.521195274447
2024-01-12,2549.6,1370.7,1078.3555081648472,,0.0,0.0,-0.0,-0.0,0.0,-103607.63540049316,-30750.521195274447
2024-01-15,2547.55,1394.1,1051.1890559076487,-1.9946447053085514,1.0,189.0,-371.0,-1000.0,-1000.0,-103607.63540049316,-30750.521195274447
2024-01-16,2542.05,1374.6,1066.6194327886476,-1.625535357288695,1.0,190.0,-377.0,6195.0,5195.0,-103607.63540049316,-30750.521195274447
2024-01-17,2543.1,1361.6,1081.6230173759802,-1.3347900772955186,1.0,190.0,-380.0,5100.499999999948,10295.499999999949,-103607.63540049316,-30750.521195274447
