date,price_a,price_b,spread,zscore,position,quantity_a,quantity_b,daily_pnl,cumulative_pnl,bh_pnl_a,bh_pnl_b
2024-01-01,2737.25,1080.1,1341.0602306713133,,0.0,0.0,-0.0,0.0,0.0,-103607.63540049316,-76566.9845384686
2024-01-02,2722.3,1097.75,1303.2949826121974,,0.0,0.0,-0.0,-0.0,0.0,-103607.63540049316,-76566.9845384686
2024-01-03,2663.5,1084.95,1261.0408848873635,,0.0,0.0,-0.0,0.0,0.0,-103607.63540049316,-76566.9845384686
2024-01-04,2711.65,1125.55,1256.7093511083203,,0.0,0.0,-0.0,0.0,0.0,-103607.63540049316,-76566.9845384686
2024-01-05,2666.4,1122.95,1214.8202375079634,,0.0,0.0,-0.0,0.0,0.0,-103607.63540049316,-76566.9845384686
2024-01-08,2619.3,1104.95,1190.9879125824161,,0.0,0.0,-0.0,0.0,0.0,-103607.63540049316,-76566.9845384686
2024-01-09,2592.6,1111.65,1155.6271668602585,,0.0,0.0,-0.0,-0.0,0.0,-103607.63540049316,-76566.9845384686
2024-01-10,2578.1,1113.95,1138.1540750451895,,0.0,0.0,-0.0,-0.0,0.0,-103607.63540049316,-76566.9845384686
2024-01-11,2557.2,1119.25,1110.4030373843784,,0.0,0.0,-0.0,-0.0,0.0,-103607.63540049316,-76566.9845384686
2024-01-12,2549.6,1159.0,1051.4202549282957,,0.0,0.0,-0.0,-0.0,0.0,-103607.63540049316,-76566.9845384686
2024-01-15,2547.55,1150.8,1059.9699735733243,-2.9563510654447396,1.0,171.0,-490.0,-1000.0,-1000.0,-103607.63540049316,-76566.9845384686
2024-01-16,2542.05,1143.7,1063.6477787415806,-2.470780405436651,1.0,172.0,-493.0,2538.4999999999554,1538.4999999999554,-103607.63540049316,-76566.9845384686
2024-01-17,2543.1,1138.6,1071.290286679342,-2.0786782210220536,1.0,172.0,-495.0,2694.90000000002,4233.399999999976,-103607.63540049316,-76566.9845384686
2024-01-18,2502.0,1146.8,1019.5905680343137,-2.5349946865296573,1.0,174.0,-492.0,-11128.200000000008,-6894.800000000032,-103607.63540049316,-76566.9845384686
2024-01-19,2514.15,1161.7,1012.4801036671279,-2.303789079134927,1.0,173.0,-485.0,-5216.700000000029,-12111.500000000062,-103607.63540049316,-76566.9845384686
2024-01-20,2479.95,1150.1,993.2748276039972,-2.255891492411845,1.0,176.0,-490.0,-290.59999999998126,-12402.100000000042,-103607.63540049316,-76566.9845384686
2024-01-23,2462.9,1145.65,981.9771139418481,-2.1251017039094795,1.0,177.0,-492.0,-820.3000000000407,-13222.400000000083,-103607.63540049316,-76566.9845384686
2024-01-24,2513.95,1159.0,1015.7702549282956,-1.592257115003654,1.0,174.0,-486.0,2467.649999999996,-10754.750000000087,-103607.63540049316,-76566.9845384686
2024-01-25,2482.15,1136.75,1012.7316866175497,-1.4980666272607879,1.0,176.0,-496.0,5280.3000000000475,-5474.45000000004,-103607.63540049316,-76566.9845384686
2024-01-29,2498.55,1141.05,1023.5732975719861,-1.290242731244713,1.0,175.0,-494.0,753.6000000000386,-4720.850000000001,-103607.63540049316,-76566.9845384686
2024-01-30,2492.05,1122.9,1040.534869938726,-1.0517036626982326,1.0,175.0,-502.0,7828.599999999933,3107.749999999932,-103607.63540049316,-76566.9845384686
2024-01-31,2506.0,1118.0,1060.818848153438,-0.8111617807301799,1.0,174.0,-504.0,4901.050000000014,8008.799999999946,-103607.63540049316,-76566.9845384686
2024-02-01,2467.8,1129.65,1007.5594917858061,-1.2265356493733823,1.0,177.0,-499.0,-12518.400000000014,-4509.600000000069,-103607.63540049316,-76566.9845384686
2024-02-02,2481.4,1162.75,978.3728226211181,-1.4064507074791215,1.0,176.0,-485.0,-14109.699999999973,-18619.300000000043,-103607.63540049316,-76566.9845384686
2024-02-05,2462.7,1150.75,975.1846060040864,-1.3355617336693508,1.0,177.0,-490.0,2528.799999999952,-16090.500000000091,-103607.63540049316,-76566.9845384686
2024-02-06,2456.65,1163.55,952.5887037289203,-1.4379789866288217,1.0,178.0,-485.0,-7342.849999999929,-23433.35000000002,-103607.63540049316,-76566.9845384686
2024-02-07,2499.6,1166.2,992.1131848985144,-1.0047689439303606,1.0,174.0,-483.0,6359.849999999924,-17073.500000000095,-103607.63540049316,-76566.9845384686
2024-02-08,2423.05,1137.9,952.1451407100153,-1.2830791260213898,1.0,180.0,-495.0,349.2000000000262,-16724.30000000007,-103607.63540049316,-76566.9845384686
2024-02-09,2450.1,1129.25,990.3765512319048,-0.8732496412609295,1.0,178.0,-499.0,9150.749999999996,-7573.550000000072,-103607.63540049316,-76566.9845384686
2024-02-12,2459.05,1122.2,1008.439723969399,-0.6592507955886242,1.0,177.0,-502.0,5111.050000000027,-2462.5000000000455,-103607.63540049316,-76566.9845384686
2024-02-13,2457.35,1137.8,986.57440557154,-0.8095756440528896,1.0,177.0,-496.0,-8132.100000000004,-10594.60000000005,-103607.63540049316,-76566.9845384686
2024-02-14,2487.0,1135.6,1019.0682325250843,-0.4483610686501403,1.0,175.0,-496.0,6339.250000000039,-4255.35000000001,-103607.63540049316,-76566.9845384686
2024-02-15,2453.55,1131.4,991.0473567091233,-0.7203755206880794,1.0,178.0,-498.0,-3770.5500000000584,-8025.900000000069,-103607.63540049316,-76566.9845384686
2024-02-16,2487.65,1147.45,1004.4003464344028,-0.5137309640158197,1.0,175.0,-491.0,-1923.099999999994,-9949.000000000062,-103607.63540049316,-76566.9845384686
2024-02-19,2513.25,1155.0,1020.2408493892851,-0.2339916438567436,1.0,174.0,-488.0,772.9500000000053,-9176.050000000057,-103607.63540049316,-76566.9845384686
2024-02-20,2539.4,1154.4,1047.1664385584336,0.31024549931414264,0.0,0.0,-0.0,3842.8999999999714,-5333.150000000086,-103607.63540049316,-76566.9845384686
